date,edit_count
2015-11-11,6
2015-11-12,10
2015-11-13,1
2015-11-17,1
2015-11-19,1
2015-12-16,1
2016-03-19,1
2016-05-19,3
2016-05-23,1
2016-06-07,1
2016-06-10,2
2016-06-12,1
2016-06-19,2
2016-06-21,1
2016-06-22,1
2016-06-24,1
2016-06-25,1
2016-07-07,1
2016-07-08,4
2016-10-30,1
2016-12-19,2
2016-12-20,4
2017-01-23,3
2017-02-18,1
2017-05-30,3
2017-09-02,1
2017-09-07,1
2017-09-19,1
2018-04-04,1
2018-07-17,2
2019-11-27,1
2020-03-31,1
2020-09-22,3
2020-10-10,1
2020-10-11,1
2020-11-01,1
2021-01-09,1
2021-07-15,2
2021-09-08,1
2021-11-14,2
2022-02-06,1
2022-10-23,1
2023-03-01,1
2024-06-17,1
2024-08-25,1
2025-08-18,1
