date,edit_count
2016-09-07,1
2016-09-19,16
2016-09-22,1
2016-09-24,1
2016-09-26,1
2016-10-03,7
2016-10-06,1
2016-10-12,4
2016-10-13,1
2016-10-31,2
2016-11-03,1
2016-11-04,1
2016-11-27,1
2016-12-10,2
2016-12-14,1
2016-12-20,2
2016-12-21,1
2016-12-28,1
2017-01-02,1
2017-01-13,2
2017-01-14,1
2017-01-27,3
2017-02-02,1
2017-02-03,1
2017-02-05,1
2017-02-06,2
2017-02-07,2
2017-02-11,1
2017-02-12,3
2017-02-13,1
2017-03-03,1
2017-03-08,2
2017-03-15,2
2017-03-16,1
2017-03-28,1
2017-03-29,1
2017-04-07,1
2017-04-13,1
2017-04-16,3
2017-04-24,2
2017-04-25,2
2017-04-26,1
2017-05-22,2
2017-05-24,2
2017-05-25,3
2017-05-27,1
2017-06-07,2
2017-07-01,1
2017-07-10,1
2017-07-16,1
2017-07-17,1
2017-07-28,1
2017-07-29,1
2017-08-01,2
2017-08-12,1
2017-08-13,1
2017-08-18,3
2017-08-22,1
2017-08-23,1
2017-08-24,1
2017-08-28,1
2017-08-30,1
2017-09-01,1
2017-09-07,2
2017-09-08,1
2017-09-13,1
2017-09-16,1
2017-09-19,1
2017-09-22,1
2017-09-28,4
2017-09-30,1
2017-10-04,2
2017-10-05,1
2017-10-06,1
2017-10-07,2
2017-10-08,2
2017-10-12,1
2017-10-14,1
2017-10-21,2
2017-11-11,2
2017-11-15,1
2017-11-17,1
2017-11-18,2
2017-11-21,1
2017-11-30,8
2017-12-03,1
2017-12-10,2
2017-12-13,1
2017-12-18,2
2017-12-29,2
2018-01-03,2
2018-01-04,2
2018-01-10,1
2018-01-16,6
2018-01-18,2
2018-01-28,1
2018-02-19,1
2018-02-20,10
2018-02-24,1
2018-03-02,1
2018-03-23,2
2018-03-24,1
2018-03-27,1
2018-04-04,7
2018-04-26,1
2018-05-08,2
2018-06-07,5
2018-06-22,2
2018-06-28,2
2018-07-26,1
2018-07-27,3
2018-08-22,1
2018-08-31,1
2018-09-06,1
2018-09-08,2
2018-09-26,2
2018-10-03,1
2018-10-05,1
2018-10-13,2
2018-10-29,1
2018-11-10,4
2018-11-11,1
2018-11-14,2
2018-11-27,1
2018-12-02,8
2018-12-07,1
2018-12-24,1
2018-12-30,1
2019-01-07,2
2019-01-09,4
2019-01-11,4
2019-01-14,2
2019-01-15,6
2019-01-18,4
2019-01-20,2
2019-01-21,2
2019-01-24,2
2019-01-25,4
2019-01-26,2
2019-01-27,2
2019-01-29,4
2019-01-30,21
2019-02-01,4
2019-02-03,2
2019-02-04,4
2019-02-06,6
2019-02-07,8
2019-02-10,1
2019-02-11,2
2019-02-12,2
2019-02-13,2
2019-02-16,2
2019-02-17,8
2019-02-19,2
2019-02-20,2
2019-02-21,4
2019-02-22,4
2019-02-25,3
2019-03-01,2
2019-03-02,3
2019-03-03,4
2019-03-04,2
2019-03-05,7
2019-03-06,1
2019-03-08,2
2019-03-09,2
2019-03-10,1
2019-03-12,2
2019-03-15,1
2019-03-16,7
2019-03-18,1
2019-03-20,19
2019-03-21,4
2019-03-24,10
2019-03-25,1
2019-03-26,4
2019-03-27,2
2019-03-28,1
2019-03-29,2
2019-03-30,2
2019-04-01,4
2019-04-03,4
2019-04-05,2
2019-04-06,1
2019-04-07,4
2019-04-08,3
2019-04-18,1
2019-04-24,2
