date,edit_count
2017-02-16,12
2017-02-17,2
2017-02-23,1
2017-02-25,2
2017-06-27,1
2017-06-30,2
2017-08-24,1
2017-08-29,1
2017-08-31,1
2017-10-12,1
2017-10-27,2
2017-11-15,1
2017-12-02,7
2017-12-03,1
2017-12-27,1
2018-01-03,1
2018-01-10,2
2018-02-02,1
2018-02-25,1
2019-01-22,4
2019-04-07,1
2019-12-05,2
2019-12-08,1
2020-01-11,2
2021-02-02,1
2021-02-09,1
2021-04-28,3
2022-03-17,1
2022-03-30,2
2022-04-19,1
2022-05-16,2
2022-05-17,3
2022-05-18,15
2022-05-19,7
2022-05-20,1
2022-05-21,1
2022-05-29,1
2022-06-23,1
2022-06-26,1
2022-06-27,3
2022-11-16,1
2022-11-17,1
2022-11-23,1
2023-01-24,1
2023-10-16,4
2023-12-22,1
2024-08-17,3
2024-09-02,1
2024-10-03,1
2025-06-18,2
2026-02-01,2
2026-03-22,1
2026-03-26,1
2026-05-10,1
2026-06-15,1
2026-06-27,1
