date,edit_count
2015-07-01,10
2015-07-02,7
2015-07-03,14
2015-07-04,5
2015-07-08,4
2015-07-09,1
2015-07-13,1
2015-07-17,1
2015-07-18,1
2015-07-26,2
2015-07-27,6
2015-08-02,2
2015-08-08,1
2015-08-09,1
2015-08-14,1
2015-08-23,2
2015-08-29,3
2015-08-30,1
2015-09-01,2
2015-09-04,1
2015-09-05,1
2015-09-12,1
2015-09-18,2
2015-09-24,1
2015-09-29,1
2015-10-03,6
2015-10-04,3
2015-10-12,2
2015-10-13,1
2015-10-20,2
2015-10-21,1
2015-10-22,2
2015-10-28,2
2015-10-29,1
2015-11-01,1
2015-11-11,4
2015-11-12,1
2015-11-13,1
2015-11-14,3
2015-11-19,4
2015-11-25,1
2015-11-29,3
2015-12-16,2
2015-12-21,3
2015-12-23,1
2015-12-27,2
2015-12-28,1
2015-12-30,1
2016-01-11,1
2016-01-12,1
2016-01-21,2
2016-01-22,2
2016-02-09,2
2016-02-17,2
2016-02-26,3
2016-03-07,1
2016-03-19,1
2016-03-20,2
2016-04-02,1
2016-04-03,1
2016-04-04,3
2016-04-05,1
2016-04-08,1
2016-04-16,9
2016-04-17,3
2016-04-18,2
2016-04-20,3
2016-04-24,3
2016-04-26,1
2016-04-27,1
2016-04-28,1
2016-05-04,1
2016-05-05,1
2016-05-06,6
2016-05-08,2
2016-05-11,1
2016-05-17,1
2016-05-18,1
2016-05-31,3
2016-06-04,2
2016-06-05,1
2016-06-12,1
2016-06-13,2
2016-06-14,1
2016-06-17,1
2016-07-05,1
2016-07-08,1
2016-07-15,4
2016-07-16,1
2016-07-17,1
2016-08-02,1
2016-08-04,2
2016-08-05,2
2016-08-06,1
2016-08-14,1
2016-08-16,2
2016-08-17,2
2016-08-18,1
2016-08-21,2
2016-08-29,1
2016-09-07,1
2016-09-08,1
2016-09-09,1
2016-09-13,2
2016-09-16,1
2016-09-17,1
2016-09-19,2
2016-09-24,1
2016-09-26,1
2016-09-28,2
2016-10-02,2
2016-10-03,1
2016-10-06,3
2016-10-10,2
2016-10-13,1
2016-10-14,1
2016-11-12,2
2016-11-16,3
2016-11-20,1
2016-11-28,2
2016-11-30,4
2016-12-02,1
2016-12-03,1
2016-12-07,4
2016-12-09,2
2017-02-12,2
2017-02-15,1
2017-02-21,2
2017-02-23,2
2017-02-27,1
2017-03-06,1
2017-03-12,1
2017-03-13,1
2017-03-22,1
2017-03-23,2
2017-03-25,2
2017-03-30,2
2017-03-31,1
2017-04-02,2
2017-04-11,2
2017-04-13,1
2017-04-14,1
2017-04-18,3
2017-04-22,2
2017-04-23,2
2017-05-16,3
2017-05-25,2
2017-05-27,1
2017-05-28,1
2017-06-05,1
2017-06-08,15
2017-06-09,3
2017-06-11,2
2017-06-13,1
2017-06-15,1
2017-06-16,1
2017-06-28,2
2017-06-30,1
2017-07-02,1
2017-07-06,1
2017-07-08,1
2017-07-16,3
2017-07-19,3
2017-07-22,2
2017-08-14,1
2017-08-24,3
2017-08-30,1
2017-09-03,1
2017-09-07,2
2017-09-08,1
2017-09-22,1
2017-09-28,33
2017-09-29,6
2017-10-09,2
2017-11-06,2
2017-11-08,3
2017-11-09,1
2017-11-17,2
2017-12-08,2
2017-12-10,1
2017-12-13,1
2017-12-14,1
2018-01-03,1
2018-01-27,1
2018-02-04,2
2018-02-05,1
2018-02-06,3
2018-02-09,2
2018-02-14,1
2018-03-08,1
2018-03-09,4
2018-03-13,1
2018-03-16,1
2018-03-20,1
2018-03-21,3
2018-03-22,1
2018-04-07,1
2018-04-11,3
2018-04-18,1
2018-04-24,2
2018-04-25,1
2018-06-02,2
2018-06-08,1
2018-06-14,1
2018-06-18,1
2018-06-26,2
2018-07-10,1
2018-07-16,1
2018-07-21,1
2018-07-24,1
2018-07-30,1
2018-08-03,1
2018-08-05,5
2018-08-07,1
2018-08-09,3
2018-08-22,1
2018-08-25,1
2018-08-27,3
2018-10-09,1
2018-11-21,1
2018-11-30,1
2018-12-03,2
2018-12-07,1
2018-12-12,5
2018-12-27,2
2018-12-29,3
2019-01-05,2
2019-01-06,1
2019-01-08,1
2019-01-10,4
2019-01-21,2
2019-01-30,3
2019-02-01,3
2019-02-05,2
2019-03-09,2
2019-03-12,1
2019-03-26,1
2019-03-30,1
2019-04-01,3
2019-04-04,1
2019-04-26,2
2019-05-06,1
2019-06-04,1
2019-06-06,1
2019-06-09,1
2019-06-13,1
2019-06-24,1
2019-06-27,1
2019-06-28,1
2019-07-01,3
2019-07-30,1
2019-08-02,2
2019-09-10,1
2019-09-12,3
2019-09-18,1
2019-09-21,1
2019-09-24,2
2019-09-25,17
2019-09-26,1
2019-09-27,2
2019-10-08,1
2019-10-18,1
2019-10-24,2
2019-10-31,1
2019-11-20,3
2019-11-21,1
2019-11-22,1
2019-11-23,1
2019-11-26,1
2019-11-29,2
2019-12-05,1
2019-12-06,1
2019-12-29,2
2020-01-08,2
2020-02-15,2
2020-03-02,1
2020-03-12,1
2020-03-17,2
2020-03-18,1
2020-03-23,5
2020-04-06,1
2020-04-09,1
2020-04-18,1
2020-04-21,1
2020-04-23,4
2020-04-27,1
2020-04-28,1
2020-05-06,1
2020-05-07,1
2020-05-17,1
2020-05-20,1
2020-05-30,3
2020-06-04,3
2020-06-11,1
2020-06-19,1
2020-07-16,1
2020-08-01,1
2020-08-07,1
2020-08-09,1
2020-08-10,1
2020-08-11,2
2020-08-15,1
2020-08-18,5
2020-08-24,3
2020-09-01,1
2020-09-03,1
2020-09-06,2
2020-09-29,2
2020-09-30,1
2020-10-01,1
2020-10-02,1
2020-10-04,1
2020-10-10,2
2020-10-13,1
2020-10-20,1
2020-10-21,1
2020-10-23,1
2020-11-23,1
2020-11-28,1
2020-12-14,5
2020-12-23,1
2020-12-25,1
2020-12-26,2
2021-01-04,1
2021-01-05,1
2021-01-07,1
2021-01-30,1
2021-02-01,4
2021-02-28,1
2021-03-05,1
2021-03-17,2
2021-05-17,1
2021-05-21,2
2021-05-25,1
2021-06-06,1
