date,edit_count
2015-09-09,1
2015-09-10,53
2015-09-11,11
2015-09-12,2
2015-09-13,2
2015-09-14,4
2015-09-15,16
2015-09-16,5
2015-09-22,1
2015-09-26,3
2015-09-29,5
2015-10-02,2
2015-10-03,2
2015-10-11,1
2015-10-12,1
2015-10-15,2
2015-10-19,2
2015-10-25,1
2015-10-27,3
2015-10-28,1
2015-10-30,2
2015-11-05,2
2015-11-06,8
2015-11-07,1
2015-11-09,3
2015-11-10,3
2015-11-11,1
2015-11-12,3
2015-11-14,3
2015-11-15,1
2015-11-16,1
2015-12-02,2
2015-12-03,2
2015-12-09,1
2015-12-11,2
2015-12-17,3
2015-12-18,1
2015-12-22,1
2015-12-28,1
2016-01-26,1
2016-02-24,1
2016-03-06,3
2016-03-24,1
2016-03-26,7
2016-03-27,1
2016-03-30,1
2016-03-31,1
2016-04-03,1
2016-04-07,4
2016-04-15,1
2016-05-10,1
2016-05-26,1
2016-05-27,1
2016-06-11,2
2016-06-14,1
2016-07-05,1
2016-07-08,1
2016-07-13,1
2016-07-26,1
2016-08-23,1
2016-09-05,1
2016-09-15,1
2016-12-16,1
2017-01-17,1
2017-06-14,1
2017-07-31,1
2017-08-24,1
2017-08-30,1
2017-09-01,1
2017-09-03,1
2017-09-08,1
2017-09-13,1
2017-09-16,1
2017-10-09,1
2017-10-25,1
2017-10-28,1
2017-11-04,1
2017-11-14,2
2018-01-06,1
2018-03-27,3
2018-03-28,1
2018-03-29,1
2018-04-03,1
2018-04-24,2
2018-05-04,1
2018-08-02,1
2018-08-15,2
2018-08-24,1
2018-09-19,1
2018-10-16,2
2018-10-17,1
2018-10-22,5
2018-10-30,2
2018-11-01,1
2018-11-02,1
2018-11-07,2
2018-11-08,1
2018-11-10,2
2018-11-12,1
2018-11-23,2
2018-11-24,1
2018-12-04,2
2018-12-14,2
2018-12-30,1
2019-01-05,2
2019-01-09,3
2019-01-14,1
2019-01-30,1
2019-01-31,1
2019-02-11,2
2019-02-22,2
2019-02-28,2
2019-03-10,4
2019-03-12,1
2019-03-17,1
2019-03-18,1
2019-04-18,2
2019-04-24,1
2019-06-14,1
2019-06-16,2
2019-06-23,3
2019-06-28,1
2019-06-29,1
2019-07-20,2
2019-07-22,1
2019-07-23,1
2019-08-16,2
2019-09-12,1
2019-09-14,1
2019-09-16,1
2019-09-17,1
2019-09-18,1
2019-09-19,1
2019-09-21,1
2019-09-29,1
2019-10-08,4
2019-10-10,1
2019-10-12,1
2019-10-15,1
2019-10-16,1
2019-11-08,1
2019-11-11,5
2019-11-21,1
2019-12-08,1
2019-12-09,1
2019-12-24,1
2019-12-25,2
2019-12-28,2
2020-01-01,2
2020-01-05,1
2020-01-09,1
2020-01-10,2
2020-01-30,1
2020-02-04,1
2020-02-10,1
2020-02-19,1
2020-02-20,1
2020-03-19,2
2020-03-20,6
2020-03-24,1
2020-03-26,2
2020-04-03,3
2020-05-01,2
2020-05-25,2
2020-06-10,1
2020-07-10,1
2020-07-12,1
2020-08-02,1
2020-08-13,2
2020-08-24,1
2020-08-27,1
2020-09-03,2
2020-09-13,1
2020-09-16,2
2020-09-17,1
2020-09-23,4
2020-09-26,1
2020-09-29,1
2020-10-13,2
2020-10-18,2
2020-10-22,1
2020-10-24,1
2020-11-01,1
2020-11-19,2
2020-12-13,1
2020-12-30,1
2021-01-26,2
2021-02-01,1
2021-02-25,1
2021-04-16,5
2021-05-06,1
2021-05-24,1
2021-05-30,1
2021-07-11,1
2021-07-21,1
2021-08-15,2
2021-09-15,2
2021-09-20,1
2021-09-25,3
2021-09-29,1
2021-10-11,1
2021-10-21,1
2021-11-01,1
2021-11-21,1
2021-11-26,1
2021-12-10,1
2022-01-03,1
2022-03-02,1
2022-04-28,2
2022-05-06,2
2022-06-07,2
2022-06-16,2
2022-07-17,2
2022-08-09,1
2022-10-19,5
2022-10-21,1
2022-10-22,1
2022-10-27,1
2022-11-22,2
2022-12-14,2
2022-12-16,1
2022-12-21,7
2022-12-22,2
2023-01-29,1
2023-02-15,1
2023-02-18,1
2023-03-13,1
2023-03-14,6
2023-03-30,2
2023-08-03,2
2023-08-08,1
2023-09-07,1
2023-09-16,1
2023-10-12,1
2023-10-17,4
2023-10-19,2
2023-10-21,1
2023-10-22,1
2023-10-26,2
2023-11-02,3
2023-11-07,1
2024-02-12,2
2024-04-17,1
2024-04-23,1
2024-05-07,7
2024-05-22,1
2024-06-06,2
2024-06-24,2
2024-08-01,1
2024-08-08,4
2024-08-24,1
2024-09-09,3
2024-09-19,1
2024-10-09,4
2024-10-16,2
2024-10-20,1
2025-01-09,2
2025-02-01,1
2025-02-02,1
2025-02-03,1
2025-02-05,1
2025-03-05,1
2025-03-13,2
2025-04-05,1
2025-04-14,2
2025-04-16,3
2025-07-11,4
2025-07-12,1
2025-07-20,1
2025-08-05,1
2025-08-25,1
2025-10-15,1
2025-10-18,1
2025-10-19,4
2026-01-21,1
2026-02-01,2
2026-02-09,2
2026-02-20,1
2026-02-24,4
2026-03-02,1
2026-03-30,1
2026-04-04,1
2026-04-11,1
2026-05-02,1
2026-05-19,1
2026-06-18,1
2026-06-21,8
2026-06-22,12
