date,edit_count
2015-10-11,4
2015-10-20,1
2015-11-04,2
2015-11-29,1
2015-12-27,2
2016-01-19,1
2016-01-30,1
2016-02-05,3
2016-04-12,8
2016-04-29,2
2016-05-06,1
2016-05-15,1
2016-06-07,1
2016-06-15,1
2016-06-24,2
2016-07-01,1
2016-07-10,2
2016-07-14,2
2016-07-16,2
2016-07-17,1
2016-07-22,1
2016-08-26,1
2016-09-06,1
2016-09-15,2
2016-09-16,1
2016-09-24,2
2016-09-28,4
2016-09-29,2
2016-10-06,4
2016-10-07,1
2016-10-19,1
2016-10-29,8
2016-10-30,2
2016-10-31,1
2016-11-01,2
2016-11-02,1
2016-11-19,1
2016-11-20,1
2016-11-30,5
2016-12-20,1
2017-01-10,1
2017-01-15,1
2017-01-17,1
2017-01-22,3
2017-01-26,1
2017-02-01,1
2017-03-03,2
2017-03-06,1
2017-03-13,1
2017-03-14,1
2017-03-25,2
2017-03-26,1
2017-03-27,1
2017-03-31,1
2017-04-07,1
2017-04-28,1
2017-05-03,4
2017-05-07,1
2017-05-11,1
2017-05-12,1
2017-05-24,3
2017-05-25,1
2017-06-01,6
2017-06-18,1
2017-07-09,14
2017-07-18,3
2017-08-30,2
2017-11-11,2
2017-12-06,3
2018-02-07,2
2018-04-05,1
2018-04-24,8
2018-04-25,4
2018-04-26,1
2018-04-27,3
2018-05-04,1
2018-05-15,8
2018-05-16,4
2018-05-30,1
2018-06-27,1
2018-07-18,2
2018-09-14,1
2018-10-10,1
2018-10-25,2
2018-11-09,1
2018-11-15,1
2018-11-19,1
2019-01-26,1
2019-02-03,1
2019-02-07,1
2019-03-08,3
2019-05-24,2
2019-06-12,3
2019-06-19,1
2019-07-04,1
2019-09-27,1
2019-10-27,1
2020-04-18,2
2020-09-02,1
2020-11-04,1
2020-11-05,1
2020-11-30,1
2021-04-15,1
2021-09-27,1
2021-09-29,1
2021-10-14,1
2022-01-05,1
2022-01-22,1
2022-01-23,1
2022-03-14,1
2022-06-30,1
2022-09-04,1
2023-02-03,1
2023-02-26,1
2023-04-23,1
2023-08-17,1
2023-08-27,1
2023-09-12,1
2023-12-28,1
2024-03-04,1
2024-04-12,2
2024-05-19,1
2024-07-10,1
2024-07-19,1
2024-08-06,3
2024-08-28,1
2024-09-03,1
2024-11-17,1
2025-02-22,1
2025-07-20,1
2025-08-20,1
2026-02-01,1
2026-02-24,1
2026-03-07,2
2026-03-31,1
2026-04-25,1
