date,edit_count
2018-01-16,9
2018-01-18,7
2018-01-20,1
2018-01-29,1
2018-02-07,1
2018-12-04,2
2019-01-08,1
2019-01-23,1
2019-01-29,2
2019-01-31,2
2019-02-06,11
2019-02-07,7
2019-02-13,1
2019-02-14,2
2019-02-21,1
2019-03-07,2
2019-08-06,1
2019-09-12,2
2019-11-28,1
2019-12-02,1
2019-12-03,2
2020-02-09,1
2020-02-10,3
2020-03-08,1
2020-03-15,3
2020-06-05,1
2020-06-25,2
2020-06-27,1
2020-09-01,1
2020-10-20,1
2021-01-04,1
2021-04-29,1
2021-05-11,1
2021-06-14,1
2021-08-19,1
2021-08-31,1
2021-12-20,2
2022-01-05,4
2022-01-07,1
2022-01-14,2
2022-05-07,1
2022-11-09,10
2022-11-11,1
2022-12-12,1
2023-02-01,2
2023-06-27,1
2023-07-06,2
2023-07-19,1
2023-08-12,1
2023-12-19,1
2023-12-20,2
2024-01-05,1
2024-02-02,1
2024-07-24,1
2024-08-13,1
2024-08-26,1
2025-02-05,2
2025-06-20,1
2025-08-19,2
2025-08-28,2
2025-09-12,3
2025-11-17,1
2026-01-30,15
2026-02-24,2
2026-03-20,1
