date,edit_count
2015-09-04,2
2015-11-04,5
2015-11-16,2
2016-03-19,1
2016-04-10,4
2016-04-29,1
2016-05-09,2
2016-05-10,1
2016-08-06,2
2016-09-01,2
2016-10-06,1
2016-10-24,1
2016-11-06,1
2016-11-07,1
2016-12-17,1
2016-12-27,1
2017-02-09,2
2017-02-12,1
2017-03-20,2
2017-06-16,1
2017-07-09,1
2017-07-23,1
2017-07-24,1
2017-07-26,2
2017-08-26,1
2017-09-12,2
2017-09-18,1
2017-12-12,1
2018-01-19,2
2018-04-12,1
2018-04-13,1
2018-04-27,1
2018-05-23,1
2018-06-02,1
2018-06-03,1
2018-07-25,1
2018-07-26,1
2018-08-24,2
2018-09-05,1
2018-10-05,2
2018-10-31,1
2018-12-24,1
2018-12-26,1
2019-01-02,1
2019-01-03,1
2019-01-04,1
2019-03-13,2
2019-03-22,1
2019-04-27,1
2019-05-06,1
2019-09-09,1
2019-11-15,3
2019-12-29,3
2020-01-02,2
2020-02-03,7
2020-02-04,3
2020-02-08,2
2020-02-16,1
2020-03-08,1
2020-03-28,1
2020-04-01,2
2020-05-11,5
2020-05-13,2
2020-05-18,1
2020-05-22,1
2020-05-28,12
2020-05-29,1
2020-06-09,1
2020-07-16,2
2020-08-14,2
2020-08-25,1
2020-08-26,1
2020-09-18,1
2020-10-04,1
2020-10-12,1
2020-12-22,2
2021-01-01,1
2021-01-03,1
2021-01-14,1
2021-01-15,1
2021-01-17,2
2021-01-19,1
2021-01-24,1
2021-02-16,1
2021-02-24,1
2021-02-26,1
2021-03-02,1
2021-03-04,1
2021-05-17,1
2021-06-12,1
2021-07-26,1
2021-08-02,1
2021-08-10,1
2021-09-20,1
2021-10-10,1
2021-10-15,2
2021-10-25,2
2022-01-08,1
2022-01-28,1
2022-03-18,1
2022-06-11,1
2022-10-06,1
2023-01-14,1
2023-03-10,1
2023-09-24,1
2023-11-18,1
2024-08-18,1
2024-10-31,1
2024-11-21,1
2024-12-01,1
2025-01-09,1
2025-05-25,1
2025-05-26,1
2025-06-07,1
2025-06-18,1
2025-06-21,1
2025-07-14,1
2025-07-26,1
2025-08-20,1
2025-09-15,2
2025-10-07,2
2025-11-04,1
2026-01-15,2
2026-01-26,8
2026-02-09,6
