date,edit_count
2015-11-05,3
2015-11-06,1
2015-11-07,11
2015-11-09,2
2015-11-12,27
2015-11-13,8
2015-11-19,1
2015-12-31,1
2016-05-27,6
2016-05-28,1
2016-07-11,1
2016-08-04,1
2016-08-28,1
2016-10-13,1
2016-12-14,1
2017-01-09,3
2017-01-28,1
2017-03-10,1
2017-08-26,1
2017-11-14,14
2017-12-29,1
2018-04-04,1
2018-06-18,1
2018-06-21,2
2018-07-05,1
2018-07-12,2
2018-07-29,1
2018-09-06,1
2018-09-07,1
2018-09-26,1
2018-09-27,1
2019-08-24,1
2019-09-22,1
2019-11-29,1
2021-10-01,1
2021-10-02,1
2021-12-09,1
2021-12-12,1
2023-04-21,1
2023-04-30,1
2023-08-09,1
2025-12-01,1
2026-02-01,2
2026-02-19,1
