date,edit_count
2017-04-04,12
2017-04-05,19
2017-04-06,5
2017-04-08,1
2017-04-09,1
2017-04-10,4
2017-04-11,3
2017-04-12,2
2017-04-15,2
2017-04-17,1
2017-04-18,1
2017-04-19,19
2017-04-20,2
2017-04-21,9
2017-04-22,2
2017-04-28,8
2017-04-29,1
2017-05-02,3
2017-05-04,3
2017-05-05,31
2017-05-06,21
2017-05-07,25
2017-05-08,1
2017-05-09,22
2017-05-10,5
2017-05-11,10
2017-05-12,15
2017-05-13,4
2017-05-15,8
2017-05-16,2
2017-05-17,11
2017-05-18,4
2017-05-19,5
2017-05-20,3
2017-05-21,1
2017-05-22,3
2017-05-24,1
2017-05-26,9
2017-05-28,6
2017-05-29,4
2017-05-30,3
2017-05-31,2
2017-06-01,1
2017-06-02,3
2017-06-03,6
2017-06-04,5
2017-06-05,1
2017-06-06,1
2017-06-07,1
2017-06-11,1
2017-06-13,3
2017-06-14,5
2017-06-17,4
2017-06-18,5
2017-06-19,2
2017-06-21,1
2017-06-22,4
2017-06-23,2
2017-06-24,4
2017-06-27,21
2017-06-29,5
2017-07-03,1
2017-07-04,6
2017-07-05,2
2017-07-06,3
2017-07-08,12
2017-07-09,13
2017-07-10,1
2017-07-11,6
2017-07-14,2
2017-07-17,2
2017-07-20,3
2017-07-23,1
2017-07-29,2
2017-07-30,3
2017-08-07,1
2017-08-08,2
2017-08-09,1
2017-08-10,6
2017-08-11,10
2017-08-12,2
2017-08-13,11
2017-08-14,2
2017-08-15,4
2017-08-16,2
2017-08-17,8
2017-08-18,19
2017-08-21,1
2017-08-27,1
2017-08-29,1
2017-08-30,1
2017-09-01,4
2017-09-02,3
2017-09-03,5
2017-09-05,1
2017-09-15,1
2017-09-21,3
2017-09-22,2
2017-10-05,2
2017-11-09,3
2017-11-15,1
2017-12-01,1
2017-12-10,1
2017-12-14,1
2017-12-27,1
2017-12-29,1
2017-12-30,1
2017-12-31,1
2018-01-01,2
2018-01-04,1
2018-01-05,2
2018-01-06,2
2018-01-21,1
2018-02-02,1
2018-02-03,3
2018-02-25,1
2018-03-04,5
2018-03-06,6
2018-03-08,5
2018-03-13,5
2018-03-14,6
2018-03-15,3
2018-03-16,2
2018-03-18,4
2018-03-19,4
2018-03-20,2
2018-03-22,5
2018-03-23,2
2018-03-25,2
2018-03-26,1
2018-03-27,2
2018-03-29,4
2018-04-01,2
2018-04-02,2
2018-04-04,3
2018-04-05,3
2018-04-06,5
2018-04-08,4
2018-04-09,7
2018-04-10,1
2018-04-12,3
2018-04-13,2
2018-04-15,12
2018-04-17,1
2018-04-18,6
2018-04-20,1
2018-04-23,3
2018-04-24,6
2018-04-25,3
2018-04-27,4
2018-04-28,2
2018-05-01,2
2018-05-03,20
2018-05-06,4
2018-05-09,6
2018-05-12,3
2018-06-01,2
2018-06-18,1
2018-06-23,5
2018-07-16,1
2018-07-27,1
2018-08-26,1
2018-08-31,1
2018-12-27,2
2019-01-03,1
2019-03-16,1
2019-05-12,1
2019-05-15,6
2019-05-17,7
2019-05-24,3
2019-05-27,8
2019-05-30,2
2019-06-20,2
2019-06-22,8
2019-06-29,1
2019-07-01,4
2019-07-02,2
2019-07-08,2
2019-07-10,2
2019-07-22,2
2019-07-23,1
2019-07-25,2
2019-07-26,1
2019-08-03,1
2019-08-13,2
2019-08-17,2
2019-08-27,2
2019-08-28,2
2019-09-19,5
2019-09-22,1
2019-09-30,3
2019-10-06,1
2019-10-11,2
2019-10-12,3
2019-10-14,8
2019-10-16,14
2019-10-24,5
2019-10-29,1
2019-11-01,2
2019-11-04,5
2019-11-10,2
2019-12-11,1
2019-12-15,2
2019-12-27,3
2020-01-02,2
2020-01-23,1
2020-01-25,2
2020-01-26,1
2020-02-15,4
2020-02-24,10
2020-02-26,2
2020-03-01,3
2020-03-06,2
2020-03-08,2
2020-03-18,1
2020-03-26,1
2020-03-28,4
2020-04-12,1
2020-04-25,1
2020-04-26,4
2020-04-30,4
2020-05-10,1
2020-06-03,2
2020-06-04,2
2020-06-06,2
2020-06-13,2
2020-08-10,2
2020-08-13,6
2020-08-15,2
2020-08-18,4
2020-08-25,1
2020-08-26,3
2020-08-28,1
2020-09-01,4
2020-09-21,2
2020-10-16,2
2020-10-29,2
2020-10-31,2
2020-11-02,2
2020-11-11,4
2020-12-08,1
2020-12-16,1
2020-12-29,2
2021-01-05,2
2021-01-07,2
2021-02-03,1
2021-02-05,2
2021-02-08,2
2021-02-13,1
2021-02-19,4
2021-03-04,2
2021-03-23,1
2021-04-01,1
2021-04-09,4
2021-04-10,2
2021-04-17,1
2021-04-23,2
2021-04-25,2
2021-04-30,6
2021-05-01,3
2021-05-05,1
2021-05-13,1
2021-05-18,1
2021-06-20,3
2021-07-14,2
2021-07-17,1
2021-07-21,1
2021-08-06,2
2021-08-07,1
2021-08-08,1
2021-08-09,1
2021-08-12,2
2021-09-02,2
2021-09-22,1
2021-09-25,5
2021-09-26,1
2021-09-27,1
2021-10-11,2
2021-10-12,3
2021-10-20,4
2021-10-26,1
2021-11-06,1
2021-11-21,1
2021-11-27,1
2021-11-28,1
2021-12-14,1
2022-01-12,2
2022-01-22,1
2022-01-26,5
2022-02-01,2
2022-02-05,1
2022-02-07,1
2022-03-18,2
2022-04-12,2
2022-04-16,4
2022-04-22,3
2022-05-11,1
2022-05-27,3
2022-05-31,2
2022-06-05,1
2022-06-22,1
2022-09-01,5
2022-10-15,3
2022-10-20,2
2022-10-24,1
2022-11-24,2
2022-12-09,2
2022-12-10,2
2022-12-19,2
2023-02-12,2
2023-02-23,1
2023-02-26,1
2023-02-28,3
2023-03-25,1
2023-04-12,2
2023-04-16,3
2023-04-30,6
2023-05-03,1
2023-05-08,4
2023-05-16,2
2023-06-02,2
2023-06-03,1
2023-06-21,2
2023-07-02,2
2023-07-17,1
2023-07-18,2
2023-08-24,1
2023-09-22,2
2023-09-23,1
2023-09-29,27
2023-09-30,2
2023-10-01,1
2023-10-09,2
2023-10-21,1
2023-11-09,1
2024-01-01,4
2024-01-03,6
2024-02-14,2
2024-02-16,1
2024-03-22,2
2024-04-16,1
2024-04-24,1
2024-06-19,1
2024-06-22,2
2024-06-25,1
2024-06-27,1
2024-07-29,1
2024-08-01,2
2024-09-05,1
2024-09-06,1
2024-09-07,1
2024-09-08,2
2024-09-16,1
2024-09-17,7
2024-09-29,31
2024-10-10,3
2024-10-11,5
2024-10-12,1
2024-11-11,1
2024-11-12,3
2024-11-25,8
2024-12-10,1
2024-12-15,2
2024-12-22,1
2024-12-24,2
2024-12-27,1
2025-01-18,3
2025-01-27,1
2025-02-03,1
2025-02-09,2
2025-02-13,1
2025-03-10,2
2025-03-27,2
2025-05-05,2
2025-05-21,2
2025-07-10,1
2025-07-12,1
2025-07-19,1
2025-08-04,1
2025-08-05,2
2025-08-09,2
2025-09-19,2
2025-09-27,1
2025-09-28,2
2025-10-18,1
2025-10-29,1
2025-12-03,4
2025-12-23,1
2025-12-27,2
2026-01-05,1
2026-01-10,4
2026-01-20,1
2026-01-28,1
2026-02-04,6
2026-03-03,1
2026-03-12,2
2026-04-02,1
2026-04-16,2
2026-04-19,1
2026-04-26,1
2026-05-04,1
2026-05-22,1
