date,edit_count
2019-02-19,3
2019-02-20,1
2019-02-21,1
2019-03-22,1
2019-03-25,1
2019-04-22,3
2019-06-29,4
2019-06-30,1
2019-11-14,1
2019-11-15,1
2019-11-29,1
2020-01-14,1
2020-02-26,2
2020-03-31,1
2020-04-05,1
2020-07-08,1
2020-07-10,1
2020-07-15,2
2020-10-22,1
2020-10-28,1
2020-11-17,3
2020-12-02,1
2020-12-04,1
2021-01-07,1
2021-02-12,1
2021-02-13,1
2021-03-05,1
2021-03-21,1
2021-05-25,1
2021-07-25,2
2021-07-29,2
2021-08-18,1
2021-10-19,2
2022-01-04,1
2022-11-28,1
2023-02-26,2
2023-04-12,1
2023-04-27,1
2023-06-12,2
2023-08-09,1
2023-08-31,2
2023-09-26,4
2023-09-27,3
2023-10-17,2
2023-12-07,2
2023-12-27,4
2024-01-05,1
2024-01-18,1
2024-02-14,1
2024-03-03,4
2024-03-10,1
2024-03-13,1
2024-03-28,3
2024-04-03,2
2024-04-04,3
2024-04-05,2
2024-04-06,1
2024-04-08,2
2024-04-11,7
2024-04-13,1
2024-04-14,1
2024-04-16,2
2024-04-18,2
2024-04-19,1
2024-04-20,1
2024-04-23,1
2024-05-26,1
2024-06-28,3
2024-06-29,1
2024-07-01,1
2024-07-04,5
2024-07-26,1
2024-08-04,1
2024-10-26,2
2024-11-07,1
2024-11-27,3
2024-12-28,2
2025-01-05,2
2025-03-08,2
2025-05-27,1
2025-06-22,1
2025-11-03,2
2026-04-03,1
2026-04-20,1
2026-05-03,3
2026-05-28,3
