date,edit_count
2015-09-09,43
2015-09-10,74
2015-09-11,27
2015-09-12,11
2015-09-13,10
2015-09-14,5
2015-09-15,8
2015-09-16,13
2015-09-17,11
2015-09-18,1
2015-09-19,4
2015-09-20,1
2015-09-21,5
2015-09-22,5
2015-09-28,1
2015-10-01,2
2015-10-06,4
2015-10-12,3
2015-10-14,1
2015-10-15,1
2015-10-24,4
2015-10-27,11
2015-10-30,1
2015-11-02,2
2015-11-04,1
2015-11-05,1
2015-11-08,1
2015-11-09,9
2015-11-10,5
2015-11-11,4
2015-11-13,1
2015-11-16,3
2015-11-18,1
2015-11-22,1
2015-11-23,4
2015-11-24,2
2015-12-01,2
2015-12-02,1
2015-12-09,1
2015-12-17,1
2015-12-18,2
2016-01-17,1
2016-01-21,2
2016-02-16,3
2016-02-25,1
2016-03-08,2
2016-03-13,2
2016-03-19,2
2016-03-21,8
2016-03-22,3
2016-03-23,24
2016-03-24,12
2016-03-25,3
2016-03-27,2
2016-03-29,1
2016-03-31,4
2016-04-01,2
2016-04-02,4
2016-04-04,11
2016-04-05,9
2016-04-06,6
2016-04-07,12
2016-04-08,2
2016-04-09,4
2016-04-10,11
2016-04-11,10
2016-04-18,1
2016-04-26,2
2016-04-27,1
2016-05-01,1
2016-05-14,1
2016-05-15,6
2016-05-17,1
2016-06-14,2
2016-07-13,1
2016-07-14,2
2016-07-19,1
2016-07-27,1
2016-08-06,1
2016-08-10,1
2016-08-13,1
2016-08-14,1
2016-08-18,1
2016-08-27,1
2016-09-13,2
2016-09-15,1
2016-09-17,3
2016-09-18,1
2016-09-23,1
2016-10-02,3
2016-10-03,1
2016-10-04,1
2016-10-11,1
2016-10-14,1
2016-10-16,2
2016-10-26,1
2016-10-29,1
2016-10-31,1
2016-11-06,5
2016-11-08,1
2016-11-12,1
2016-11-27,1
2016-12-02,1
2016-12-10,3
2016-12-12,1
2016-12-13,1
2016-12-18,2
2017-01-10,1
2017-01-16,3
2017-01-23,2
2017-01-24,1
2017-01-30,2
2017-02-03,1
2017-02-10,1
2017-02-21,2
2017-03-09,2
2017-03-19,1
2017-03-21,1
2017-04-02,2
2017-04-03,1
2017-04-04,2
2017-04-13,6
2017-04-24,3
2017-05-15,1
2017-05-20,4
2017-05-22,2
2017-05-25,4
2017-05-27,1
2017-06-02,2
2017-06-04,4
2017-06-05,16
2017-06-06,15
2017-06-07,4
2017-06-08,6
2017-06-09,4
2017-06-10,3
2017-06-12,7
2017-06-13,6
2017-06-14,2
2017-06-15,2
2017-06-16,1
2017-06-17,1
2017-06-19,16
2017-06-20,2
2017-06-21,6
2017-06-22,3
2017-06-24,3
2017-06-25,1
2017-06-26,1
2017-07-01,1
2017-07-02,1
2017-07-08,3
2017-07-20,1
2017-07-26,1
2017-07-27,2
2017-07-28,4
2017-07-29,3
2017-07-30,2
2017-07-31,1
2017-08-01,1
2017-08-02,2
2017-08-04,1
2017-08-05,3
2017-08-06,2
2017-08-09,7
2017-08-10,2
2017-08-11,8
2017-08-12,7
2017-08-13,6
2017-08-14,3
2017-08-17,4
2017-08-25,1
2017-08-28,1
2017-08-29,1
2017-08-31,1
2017-09-09,1
2017-09-16,5
2017-09-19,2
2017-09-20,2
2017-09-24,2
2017-09-26,2
2017-10-03,3
2017-10-04,14
2017-10-05,3
2017-10-12,1
2017-10-21,1
2017-10-23,2
2017-10-29,1
2017-10-31,1
2017-11-02,1
2017-11-06,1
2017-11-10,1
2017-11-17,1
2017-11-19,2
2017-11-21,2
2017-12-05,1
2017-12-08,1
2017-12-13,1
2017-12-24,2
2017-12-27,1
2017-12-30,2
2018-01-05,1
2018-01-09,1
2018-01-13,1
2018-01-17,1
2018-01-19,1
2018-01-20,1
2018-01-23,1
2018-01-24,5
2018-01-27,1
2018-02-05,1
2018-02-06,2
2018-02-19,3
2018-03-11,1
