date,edit_count
2017-11-25,14
2017-11-26,24
2018-01-20,1
2018-01-27,1
2018-02-28,3
2018-03-18,1
2018-04-03,1
2018-09-09,1
2018-11-03,2
2018-11-23,2
2018-11-30,1
2019-02-20,2
2019-03-07,1
2019-10-14,1
2020-03-05,2
2020-06-17,1
2020-08-09,1
2020-09-10,1
2020-09-15,3
2020-09-24,4
2020-10-25,1
2020-11-07,1
2020-11-19,2
2021-01-01,1
2021-01-17,1
2021-10-05,1
2021-11-25,1
2022-01-16,1
2022-03-30,1
2022-04-09,1
2022-04-11,1
2022-05-14,2
2023-01-13,1
2023-05-23,1
2023-12-20,1
2024-08-24,1
2024-08-26,1
2025-10-05,1
2026-02-01,1
