date,edit_count
2016-10-28,1
2016-11-14,1
2016-11-19,1
2016-11-20,1
2016-11-21,1
2016-12-14,1
2017-01-01,1
2017-04-11,2
2017-05-23,1
2017-06-02,1
2017-06-11,1
2017-09-01,1
2017-09-15,1
2017-10-13,1
2018-01-13,1
2018-01-29,2
2018-03-30,2
2018-04-01,1
2018-04-26,2
2018-06-18,1
2018-09-25,2
2018-12-03,1
2018-12-05,2
2018-12-13,1
2019-01-20,1
2019-03-13,2
2019-08-19,3
2019-09-02,1
2019-10-01,1
2019-12-18,1
2020-01-24,1
2020-07-01,1
2020-09-10,1
2020-10-06,3
2020-10-09,1
2020-10-10,1
2020-10-14,2
2020-10-29,3
2020-11-04,2
2020-11-10,2
2020-11-12,2
2020-11-26,1
2020-12-01,1
2020-12-04,2
2020-12-07,2
2020-12-11,2
2020-12-17,2
2021-01-12,2
2021-02-03,1
2021-02-04,1
2021-03-11,2
2021-03-24,2
2021-04-02,1
2021-04-27,1
2021-05-04,1
2021-05-07,1
2021-05-11,2
2021-05-22,1
2021-07-03,1
2021-07-08,1
2021-08-14,3
2021-08-21,2
2021-12-31,1
2022-01-09,2
2022-02-06,1
2022-02-08,1
2022-02-17,3
2022-03-08,2
2022-03-31,3
2022-06-14,2
2022-07-05,1
2022-09-18,1
2022-09-20,1
2022-10-18,2
2022-10-26,4
2022-11-19,1
2022-11-21,1
2023-02-22,1
2023-03-23,2
2023-05-25,1
2023-07-04,1
2023-09-28,1
2023-09-30,1
2023-10-02,2
2023-10-03,2
2023-10-09,2
2023-11-07,1
2023-11-14,1
2023-11-15,1
2023-12-27,2
2024-01-01,2
2024-01-05,1
2024-03-23,2
2024-04-24,1
2024-06-28,1
2024-07-28,2
2024-07-31,1
2024-08-02,1
2024-08-07,1
2024-10-10,1
2024-10-13,1
2024-10-14,1
2024-12-04,1
2024-12-13,2
2025-01-01,1
2025-01-07,1
2025-02-10,1
2025-04-23,1
2026-01-27,1
2026-02-01,1
2026-02-11,2
2026-02-21,2
2026-04-04,2
2026-05-22,1
