date,edit_count
2015-08-31,5
2015-10-03,1
2015-10-07,1
2015-10-08,2
2015-10-13,1
2015-11-12,1
2015-11-25,1
2015-12-16,2
2015-12-18,2
2016-02-01,1
2016-02-04,1
2016-02-05,1
2016-03-18,1
2016-03-24,1
2016-03-25,5
2016-03-31,1
2016-09-21,2
2017-01-11,1
2017-01-14,1
2017-02-14,9
2017-02-15,7
2017-02-16,4
2017-02-26,1
2017-02-27,1
2017-03-01,1
2017-03-13,3
2017-03-14,2
2017-03-15,2
2017-06-14,2
2017-09-02,1
2017-09-19,1
2018-01-15,2
2018-03-31,1
2018-04-09,1
2018-09-14,1
2019-08-30,1
2023-10-15,3
2024-05-10,1
2025-05-06,1
2025-11-01,2
2026-01-25,1
2026-02-01,1
2026-04-29,1
