date,edit_count
2016-08-08,1
2016-10-10,5
2017-05-13,1
2017-05-16,1
2017-08-07,1
2017-08-22,1
2017-08-30,1
2017-09-02,1
2017-12-13,1
2017-12-20,1
2018-03-10,1
2018-08-09,6
2018-10-28,3
2018-10-29,1
2018-11-06,1
2018-11-07,2
2019-01-05,1
2019-02-15,1
2019-02-18,1
2019-02-25,1
2019-02-27,1
2019-03-18,2
2019-03-31,6
2019-04-03,4
2019-05-12,1
2019-05-13,1
2019-06-05,2
2019-06-23,2
2019-09-10,1
2019-09-21,1
2019-09-22,1
2020-02-24,1
2020-06-06,1
2020-06-08,1
2020-06-13,1
2020-06-25,1
2020-10-02,1
2020-10-15,1
2020-10-16,1
2020-12-01,1
2020-12-08,1
2020-12-20,1
2020-12-25,4
2020-12-28,1
2021-01-25,3
2021-02-08,1
2021-02-21,2
2021-02-22,2
2021-03-30,1
2021-04-18,2
2021-04-23,2
2021-05-15,1
2021-06-10,1
2021-06-26,2
2021-06-30,1
2021-07-01,1
2021-08-08,1
2021-08-09,2
2021-08-18,1
2021-08-25,1
2021-08-26,2
2021-08-28,1
2021-08-30,1
2021-09-05,1
2021-09-10,1
2021-09-23,2
2021-10-12,1
2021-11-12,1
2021-11-18,1
2021-11-19,2
2021-12-11,2
2021-12-12,1
2021-12-14,1
2021-12-15,1
2021-12-20,1
2022-01-07,1
2022-02-08,1
2022-02-09,1
2022-03-07,1
2022-03-28,1
2022-04-26,3
2022-06-01,1
2022-06-02,2
2022-06-23,1
2022-06-26,1
2022-09-17,1
2022-10-08,1
2022-10-24,1
2022-10-30,1
2022-10-31,1
2022-11-17,3
2022-12-25,2
2023-01-09,2
2023-02-27,1
2023-02-28,1
2023-03-14,1
2023-03-15,1
2023-03-23,1
2023-04-19,4
2023-04-20,3
2023-05-24,2
2023-05-25,1
2023-05-28,1
2023-06-03,1
2023-06-12,1
2023-06-16,2
2023-07-15,1
2023-07-19,1
2023-08-26,1
2023-09-21,2
2023-10-12,1
2023-12-23,3
2024-02-20,5
2024-04-06,1
2024-05-28,1
2024-06-13,2
2024-06-30,5
2024-07-09,1
2024-07-13,2
2024-07-28,1
2024-08-21,1
2024-08-30,1
2024-09-01,8
2024-09-21,1
2024-09-22,1
2025-03-29,1
2025-06-05,1
2025-08-04,1
2025-09-15,1
2026-05-10,2
