date,edit_count
2015-07-07,26
2015-07-08,56
2015-07-09,23
2015-07-10,10
2015-07-11,2
2015-07-12,1
2015-07-15,1
2015-07-16,4
2015-07-20,2
2015-07-21,8
2015-07-22,2
2015-07-24,2
2015-08-01,1
2015-08-02,2
2015-08-06,4
2015-08-07,1
2015-08-28,4
2015-09-01,1
2015-09-24,2
2015-09-28,2
2015-11-13,3
2015-11-17,2
2015-11-22,1
2015-12-01,1
2016-01-01,2
2016-01-02,1
2016-01-25,1
2016-02-08,1
2016-02-11,2
2016-02-13,1
2016-02-25,1
2016-02-29,2
2016-03-01,5
2016-03-02,1
2016-03-16,1
2016-03-22,4
2016-03-28,2
2016-04-02,4
2016-04-03,4
2016-04-04,7
2016-04-05,2
2016-04-07,1
2016-04-18,1
2016-04-24,4
2016-04-27,1
2016-04-28,6
2016-04-30,1
2016-05-15,1
2016-05-18,2
2016-05-21,1
2016-05-31,4
2016-06-06,1
2016-06-19,4
2016-06-28,1
2016-07-04,4
2016-07-09,2
2016-07-21,2
2016-07-22,1
2016-08-22,2
2016-09-14,2
2016-09-18,3
2016-10-07,3
2016-10-13,4
2016-10-28,2
2016-10-30,1
2016-11-05,4
2016-11-07,9
2016-11-08,5
2016-11-09,1
2016-11-11,3
2016-11-14,4
2016-11-17,1
2016-12-15,2
2016-12-22,1
2016-12-27,1
2016-12-30,2
2017-01-15,2
2017-01-19,2
2017-01-21,2
2017-02-07,4
2017-02-09,2
2017-02-18,1
2017-02-20,5
2017-03-02,1
2017-03-05,1
2017-03-16,3
2017-03-17,1
2017-03-23,2
2017-03-28,2
2017-04-08,5
2017-04-21,2
2017-04-24,2
2017-05-10,8
2017-05-13,1
2017-06-12,5
2017-06-23,3
2017-06-28,2
2017-08-28,1
2017-09-04,1
2017-09-05,1
2017-10-01,1
2017-10-07,1
2017-10-08,2
2017-10-20,2
2017-10-23,1
2017-11-09,1
2017-11-24,2
2017-11-29,1
2017-12-06,1
2017-12-16,1
2018-01-24,2
2018-01-25,1
2018-02-15,1
2018-02-26,2
2018-03-11,4
2018-03-17,2
2018-03-26,1
2018-04-12,6
2018-04-16,1
2018-04-17,1
2018-05-01,2
2018-05-19,2
2018-05-23,1
2018-06-01,1
2018-06-21,1
2018-06-25,1
2018-07-25,1
2018-07-29,1
2018-08-01,1
2018-08-14,1
2018-08-18,1
2018-08-23,1
2018-09-12,1
2018-09-13,4
2018-10-11,16
2018-10-12,1
2018-10-22,19
2018-11-08,2
2018-11-28,2
2018-12-02,1
2018-12-03,4
2018-12-06,1
2018-12-14,2
2019-01-07,2
2019-01-11,2
2019-01-29,2
2019-02-08,2
2019-02-10,2
2019-02-12,2
2019-03-14,1
2019-04-09,1
2019-04-14,2
2019-04-24,2
2019-04-27,1
2019-05-02,2
2019-05-06,2
2019-05-16,4
2019-05-31,2
2019-06-01,2
2019-06-05,8
2019-06-14,1
2019-06-17,6
2019-08-03,1
2019-08-11,1
2019-08-13,2
2019-08-31,4
2019-09-01,1
2019-10-05,3
2019-10-13,2
2019-10-20,2
2019-11-09,2
2019-11-12,1
2019-11-13,1
2019-11-22,1
2019-11-23,1
2019-11-25,3
2019-12-23,6
2020-01-15,2
2020-01-18,2
2020-01-22,1
2020-01-30,2
2020-02-05,1
2020-02-13,2
2020-02-21,1
2020-03-01,1
2020-03-04,1
2020-03-30,1
2020-04-02,1
2020-04-05,1
2020-05-14,1
2020-05-23,1
2020-06-01,4
2020-06-03,1
2020-07-11,2
2020-07-12,1
2020-07-19,9
2020-08-03,2
2020-08-25,1
2020-10-22,1
2020-11-11,2
2020-11-16,1
2020-11-20,1
2020-11-23,1
2020-11-29,2
2020-12-17,2
2020-12-19,2
2020-12-20,1
2020-12-29,1
2021-01-24,1
2021-02-22,5
2021-02-24,3
2021-03-03,2
2021-03-05,1
2021-03-27,2
2021-04-01,1
2021-04-08,1
2021-04-11,2
2021-05-04,2
2021-05-24,1
2021-06-17,1
2021-07-08,6
2021-07-11,3
2021-08-13,1
2021-10-10,1
2021-11-02,2
2021-11-20,1
2021-12-08,1
2022-02-07,1
2022-02-14,1
2022-03-02,1
2022-03-18,1
2022-05-12,1
2022-05-14,1
2022-05-21,1
2022-06-23,2
2022-07-22,1
2022-08-11,2
2022-08-22,1
2022-11-06,5
2022-11-10,1
2022-11-27,1
2022-12-07,4
2023-05-15,2
2023-07-04,1
2023-07-10,1
2023-07-15,2
2023-07-19,1
2023-09-14,1
2023-09-16,1
2023-09-21,2
2023-10-10,1
2023-10-25,1
2023-11-02,1
2023-12-14,3
2024-02-02,9
2024-03-08,1
2024-03-10,3
2024-04-09,2
2024-04-26,4
2024-05-19,1
2024-09-10,2
2024-11-22,2
2024-11-29,2
2025-01-20,1
2025-01-29,2
2025-02-18,2
2025-03-07,1
2025-03-09,1
2025-03-15,2
2025-03-30,1
2025-04-27,1
2025-05-01,1
2025-06-09,1
2025-06-29,2
2025-07-13,2
2025-07-22,1
2025-07-27,1
2025-08-14,1
2025-08-20,2
2025-08-30,1
2025-09-10,2
2025-09-15,1
2025-12-15,2
2025-12-17,1
2025-12-31,1
2026-01-15,3
2026-02-01,1
2026-03-29,1
2026-04-20,1
2026-04-27,1
2026-05-09,2
