date,edit_count
2016-07-30,4
2016-07-31,9
2016-08-01,8
2016-08-02,2
2016-08-03,1
2016-08-04,1
2016-08-05,2
2016-08-08,1
2016-08-09,10
2016-08-10,1
2016-08-13,1
2016-08-14,1
2016-08-15,5
2016-08-19,1
2016-08-20,1
2016-08-21,2
2016-09-08,6
2016-09-09,4
2016-09-30,11
2016-10-01,2
2016-10-04,1
2016-10-05,1
2016-10-06,2
2016-10-07,1
2016-10-08,3
2016-10-09,2
2016-10-12,1
2016-10-16,1
2016-10-17,6
2016-10-20,1
2016-10-27,3
2016-10-29,1
2016-10-30,4
2016-11-04,7
2016-11-06,2
2016-11-07,4
2016-11-10,1
2016-11-11,12
2016-11-12,2
2016-11-13,5
2016-11-14,2
2016-11-15,2
2016-11-16,2
2016-11-17,3
2016-11-18,3
2016-11-20,1
2016-11-21,1
2016-11-22,2
2016-11-23,1
2016-11-24,1
2016-11-25,7
2016-11-26,3
2016-11-27,4
2016-11-28,8
2016-11-29,1
2016-11-30,1
2016-12-02,3
2016-12-05,1
2016-12-06,5
2016-12-10,1
2016-12-19,1
2016-12-20,1
2016-12-22,1
2016-12-24,1
2017-01-04,3
2017-01-10,2
2017-01-12,11
2017-01-13,1
2017-01-14,1
2017-01-18,14
2017-01-19,1
2017-01-22,1
2017-01-25,3
2017-01-26,1
2017-02-01,3
2017-02-15,1
2017-02-18,2
2017-02-19,1
2017-02-22,1
2017-02-24,2
2017-03-02,5
2017-03-03,1
2017-03-06,1
2017-03-07,1
2017-03-15,1
2017-03-22,2
2017-03-28,2
2017-03-30,4
2017-03-31,1
2017-04-13,5
2017-04-14,3
2017-04-16,3
2017-04-17,2
2017-04-18,2
2017-04-19,3
2017-04-20,2
2017-04-21,1
2017-04-25,1
2017-04-26,2
2017-04-27,10
2017-04-28,4
2017-04-29,1
2017-05-01,3
2017-05-02,1
2017-05-03,1
2017-06-01,1
2017-06-09,1
2017-06-16,2
2017-06-17,3
2017-06-18,2
2017-06-21,2
2017-06-26,18
2017-06-27,4
2017-06-28,9
2017-07-02,1
2017-07-11,2
2017-07-12,1
2017-07-16,1
2017-07-30,1
2017-08-02,1
2017-08-11,1
2017-08-12,6
2017-08-14,2
2017-08-22,2
2017-09-05,1
2017-09-11,1
2017-09-12,2
2017-09-13,4
2017-09-16,1
2017-09-18,2
2017-09-23,3
2017-09-25,8
2017-09-28,5
2017-10-02,1
2017-10-03,1
2017-10-09,1
2017-10-12,1
2017-10-15,1
2017-10-23,1
2017-10-25,3
2017-11-14,2
2017-12-13,1
2018-01-09,3
2018-01-20,5
2018-01-30,2
2018-02-11,5
2018-03-05,1
2018-03-21,2
2018-04-06,2
2018-04-17,2
2018-04-22,2
2018-05-13,3
2018-05-14,9
2018-05-15,3
2018-05-17,5
2018-05-19,1
2018-05-20,3
2018-05-23,1
2018-06-01,1
2018-06-05,2
2018-06-19,2
2018-06-20,1
2018-06-22,7
2018-06-24,1
2018-06-29,3
2018-07-06,3
2018-07-07,1
2018-07-10,1
2018-07-11,1
2018-07-12,1
2018-07-13,10
2018-07-14,3
2018-07-15,1
2018-07-16,1
2018-07-17,1
2018-07-28,1
2018-07-31,3
2018-08-03,1
2018-08-04,2
2018-08-14,1
2018-08-23,1
2018-08-26,2
2018-09-01,2
2018-09-09,1
2018-09-11,2
2018-09-19,2
2018-09-27,2
2018-10-18,1
2018-10-31,1
2018-11-18,1
2018-11-19,1
2018-12-01,2
2018-12-03,1
2018-12-07,1
2018-12-13,2
2018-12-21,1
2018-12-29,5
2018-12-31,1
2019-01-17,1
2019-01-19,2
2019-02-01,1
2019-02-13,1
2019-02-22,1
2019-02-27,1
2019-04-12,1
2019-04-18,1
2019-06-20,1
2019-08-15,1
2019-09-02,1
2019-09-26,2
2019-10-14,1
2019-12-09,1
2020-01-16,1
2020-03-22,1
2020-04-03,1
2020-04-20,1
