date,edit_count
2017-04-28,34
2017-04-29,20
2017-04-30,6
2017-05-01,5
2017-05-03,1
2017-05-04,3
2017-05-05,3
2017-05-08,1
2017-05-14,3
2017-05-30,1
2017-06-04,1
2017-06-19,1
2017-06-20,1
2017-06-22,1
2017-06-28,1
2017-07-13,1
2017-07-14,1
2017-07-17,8
2017-07-28,2
2017-08-04,2
2017-09-02,1
2017-09-16,1
2017-09-29,3
2017-10-05,2
2017-10-26,1
2017-10-27,3
2017-11-27,2
2017-12-19,1
2018-01-16,2
2018-01-18,1
2018-01-24,2
2018-02-12,1
2018-04-09,1
2018-04-16,2
2018-06-19,2
2018-07-15,3
2018-07-20,2
2018-08-12,2
2018-08-23,1
2018-08-26,1
2018-09-16,3
2018-09-21,1
2018-10-26,2
2019-01-15,1
2019-02-04,4
2019-02-10,3
2019-02-12,1
2019-02-26,5
2019-02-27,1
2019-03-01,1
2019-03-03,2
2019-03-13,7
2019-03-14,2
2019-04-25,3
2019-04-29,2
2019-05-02,2
2019-05-14,1
2019-05-24,2
2019-06-02,1
2019-07-30,2
2019-08-20,1
2019-08-24,1
2019-08-30,2
2019-09-08,2
2019-10-13,1
2019-11-16,1
2019-12-28,2
2020-02-03,2
2020-02-23,2
2020-03-08,1
2020-04-02,1
2020-04-07,1
2020-04-12,3
2020-04-29,2
2020-04-30,1
2020-05-03,1
2020-05-10,1
2020-05-26,1
2020-06-01,1
2020-06-02,2
2020-06-04,1
2020-06-05,3
2020-06-08,3
2020-06-09,5
2020-06-17,2
2020-07-12,2
2020-07-28,2
2020-09-15,1
2020-09-17,15
2020-09-18,2
2020-09-21,2
2020-09-24,1
2020-10-02,2
2020-10-18,1
2020-11-02,1
2020-11-05,1
2020-11-06,1
2020-11-07,1
2020-11-16,1
2020-11-17,2
2020-11-21,1
2020-11-22,1
2020-11-25,2
2020-11-29,2
2020-11-30,1
2020-12-01,1
2020-12-04,3
2021-01-11,3
2021-01-30,1
2021-02-21,1
2021-03-24,1
2021-04-03,5
2021-04-19,7
2021-05-17,2
2021-05-21,2
2021-06-22,3
2021-07-16,2
2021-07-27,1
2021-07-28,2
2021-08-01,1
2021-08-15,2
2021-08-20,1
2021-09-21,4
2021-10-26,1
2021-11-15,1
2021-11-24,2
2021-12-02,2
2021-12-22,1
2022-02-12,1
2022-02-13,1
2022-03-26,2
2022-04-07,1
2022-04-20,2
2022-04-22,2
2022-05-12,2
2022-05-22,2
2022-06-12,2
2022-06-13,5
2022-08-14,1
2022-09-05,1
2022-09-11,2
2022-09-15,1
2022-11-02,1
2022-11-27,2
2022-12-04,2
2022-12-18,1
2023-01-05,2
2023-02-02,1
2023-02-04,3
2023-02-12,1
2023-02-13,1
2023-02-26,1
2023-04-28,1
2023-05-23,1
2023-05-30,1
2023-06-09,4
2023-06-14,1
2023-07-12,1
2023-07-16,2
2023-10-27,2
2024-09-04,1
2024-09-18,3
2024-09-19,2
2024-09-26,1
2024-10-30,1
2024-11-01,2
2024-12-14,1
2024-12-18,1
2024-12-22,1
2024-12-25,1
2024-12-28,1
2024-12-31,1
2025-01-17,1
2025-02-13,1
2025-02-22,1
2025-03-08,1
2025-03-17,1
2025-03-29,8
2025-04-06,2
2025-04-11,1
2025-05-10,1
2025-05-11,1
2025-05-25,2
2025-06-07,2
2025-06-24,2
2025-06-26,1
2025-06-27,3
2025-07-18,2
2025-08-07,1
2025-08-14,2
2025-12-26,4
2025-12-27,1
2025-12-29,3
2025-12-30,1
2026-01-08,2
2026-02-01,1
2026-03-06,4
2026-03-14,1
2026-03-22,1
2026-04-17,1
2026-05-07,1
2026-05-19,1
2026-06-26,1
