date,edit_count
2016-02-11,4
2016-03-03,1
2016-05-20,1
2016-06-28,1
2016-07-14,2
2016-07-20,1
2016-07-21,3
2018-08-16,5
2018-08-17,2
2019-11-28,2
2019-12-09,1
2020-04-18,1
2020-06-22,1
2020-07-29,1
2020-10-08,1
2020-11-17,1
2020-12-24,1
2021-01-03,1
2021-02-05,1
2021-02-15,3
2021-02-18,1
2021-03-10,1
2021-03-20,1
2021-06-06,1
2021-08-25,1
2021-10-04,3
2021-11-19,1
2022-03-30,2
2023-04-09,1
2024-04-06,1
2024-10-03,1
2024-11-17,1
2024-12-01,1
2025-10-03,2
2025-10-28,1
2025-11-21,1
2025-12-21,1
2026-01-22,1
2026-02-01,1
2026-03-23,2
2026-03-28,1
2026-04-10,1
2026-04-25,1
2026-05-02,1
2026-06-12,1
2026-06-24,1
