date,edit_count
2018-01-17,17
2018-01-18,50
2018-01-19,1
2018-01-20,6
2018-01-21,2
2018-01-22,2
2018-01-23,3
2018-01-27,4
2018-02-01,1
2018-02-02,2
2018-02-09,1
2018-02-14,3
2018-02-15,1
2018-02-19,5
2018-02-20,2
2018-02-23,2
2018-03-01,1
2018-03-02,2
2018-03-06,5
2018-03-08,1
2018-03-09,1
2018-03-10,2
2018-03-11,2
2018-03-13,1
2018-03-14,1
2018-03-15,4
2018-03-16,2
2018-03-17,3
2018-03-24,1
2018-04-05,2
2018-04-06,6
2018-04-15,1
2018-04-19,7
2018-04-20,12
2018-04-21,5
2018-04-22,3
2018-04-25,2
2018-04-29,2
2018-05-02,6
2018-05-07,2
2018-05-15,4
2018-05-16,4
2018-05-21,4
2018-05-23,1
2018-05-25,4
2018-06-25,1
2018-06-26,2
2018-06-28,3
2018-07-14,2
2018-07-25,2
2018-07-27,2
2018-07-31,3
2018-08-18,1
2018-08-22,1
2018-08-26,2
2018-08-31,2
2018-09-07,1
2018-09-18,1
2018-09-20,3
2018-10-11,2
2018-10-15,2
2018-10-23,1
2018-11-03,2
2018-11-18,1
2018-12-01,3
2018-12-07,1
2018-12-12,1
2018-12-19,3
2018-12-31,2
2019-01-05,1
2019-01-08,2
2019-01-18,1
2019-01-20,2
2019-01-23,1
2019-01-31,1
2019-02-04,1
2019-02-20,1
2019-02-28,1
2019-03-07,10
2019-03-11,1
2019-03-13,1
2019-03-14,3
2019-03-15,1
2019-03-21,2
2019-03-22,1
2019-03-23,2
2019-03-25,3
2019-04-02,2
2019-04-03,1
2019-04-04,3
2019-04-05,8
2019-04-16,1
2019-04-17,1
2019-04-25,3
2019-04-28,3
2019-05-12,1
2019-05-20,2
2019-05-25,2
2019-05-27,2
2019-05-30,2
2019-05-31,1
2019-06-02,2
2019-06-03,3
2019-06-09,1
2019-06-19,1
2019-07-16,1
2019-07-18,2
2019-08-10,3
2019-08-21,2
2019-08-29,1
2019-09-07,1
2019-09-12,3
2019-09-13,1
2019-09-21,1
2019-09-24,1
2019-09-29,3
2019-09-30,2
2019-11-16,1
2019-12-19,1
2019-12-27,1
2019-12-30,2
2019-12-31,1
2020-01-04,2
2020-01-07,1
2020-01-08,1
2020-01-16,2
2020-01-22,1
2020-01-23,2
2020-02-06,2
2020-04-19,1
2020-05-10,1
2020-06-24,1
2020-06-27,1
2020-07-04,1
2020-07-08,1
2020-07-20,1
2020-09-06,2
2020-11-06,1
2020-11-23,1
2020-11-24,2
2020-12-06,1
2020-12-12,1
2021-01-08,1
2021-02-14,1
2021-02-20,1
2021-03-18,1
2021-04-09,1
2021-08-06,1
2021-10-26,1
2021-12-08,1
2022-01-06,1
2022-02-07,1
2022-02-26,1
2022-04-08,1
2022-04-15,1
2022-06-14,1
2022-06-21,1
2022-07-20,1
2022-08-01,1
2022-08-07,1
2022-08-09,1
2022-11-24,2
2023-01-28,1
2023-02-02,1
2023-02-12,2
2023-06-18,1
2023-11-01,1
2024-06-20,2
2024-07-13,1
2024-07-14,1
2024-10-18,1
2024-10-28,1
2024-12-22,1
2025-01-19,1
2025-01-27,1
2025-04-06,1
2025-04-18,1
2025-05-01,2
2025-05-02,1
2025-07-06,1
2025-07-07,1
2025-08-01,1
2026-02-03,1
2026-02-06,1
2026-02-07,2
2026-02-16,3
2026-02-17,1
2026-02-22,1
2026-03-02,1
2026-04-03,1
2026-04-22,2
