date,edit_count
2015-07-05,2
2016-01-09,2
2016-02-15,2
2016-02-17,3
2016-04-07,9
2016-04-27,6
2016-05-02,1
2016-05-17,2
2016-06-14,1
2016-06-20,1
2016-07-11,2
2016-07-12,1
2016-07-23,1
2016-07-26,4
2016-07-28,2
2016-08-19,2
2016-08-24,1
2016-09-24,3
2016-10-03,2
2016-10-05,1
2016-10-06,1
2016-10-20,280
2016-10-21,86
2016-10-22,26
2016-10-23,13
2016-10-24,25
2016-10-25,17
2016-10-26,14
2016-10-27,22
2016-10-28,11
2016-10-29,7
2016-10-30,4
2016-10-31,8
2016-11-01,13
2016-11-02,23
2016-11-03,17
2016-11-04,15
2016-11-05,3
2016-11-06,11
2016-11-07,6
2016-11-08,6
2016-11-11,5
2016-11-13,1
2016-11-14,1
2016-11-15,1
2016-11-16,1
2016-11-17,9
2016-11-19,13
2016-11-21,11
2016-11-23,1
2016-11-27,2
2016-11-28,2
2016-11-29,9
2016-12-01,3
2016-12-04,3
2016-12-05,1
2016-12-06,6
2016-12-07,5
2016-12-08,24
2016-12-09,11
2016-12-10,3
2016-12-11,3
2016-12-12,1
2016-12-13,10
2016-12-14,18
2016-12-15,4
2016-12-16,2
2016-12-17,2
2016-12-18,3
2016-12-20,5
2016-12-21,3
2016-12-23,2
2016-12-26,45
2016-12-27,11
2016-12-28,5
2016-12-29,1
2016-12-30,5
2016-12-31,1
2017-01-01,1
2017-01-02,3
2017-01-03,8
2017-01-04,6
2017-01-05,8
2017-01-06,5
2017-01-07,1
2017-01-08,10
2017-01-09,4
2017-01-10,4
2017-01-11,10
2017-01-12,10
2017-01-13,179
2017-01-14,45
2017-01-15,48
2017-01-16,17
2017-01-17,18
2017-01-18,41
2017-01-19,14
2017-01-20,10
2017-01-21,5
2017-01-22,8
2017-01-23,37
2017-01-24,4
2017-01-25,3
2017-01-26,2
2017-01-27,12
2017-01-28,2
2017-01-29,1
2017-01-30,11
2017-01-31,7
2017-02-01,22
2017-02-02,16
2017-02-03,8
2017-02-04,1
2017-02-05,1
2017-02-06,23
2017-02-07,14
2017-02-08,16
2017-02-09,7
2017-02-10,6
2017-02-11,2
2017-02-12,8
2017-02-13,3
2017-02-14,6
2017-02-15,5
2017-02-16,2
2017-02-17,13
2017-02-18,10
2017-02-19,4
2017-02-21,6
2017-02-22,8
2017-02-23,2
2017-02-24,4
2017-02-25,1
2017-02-26,7
2017-02-27,9
2017-02-28,4
2017-03-01,5
2017-03-02,22
2017-03-03,18
2017-03-04,37
2017-03-05,15
2017-03-06,11
2017-03-07,13
2017-03-08,9
2017-03-09,21
2017-03-10,12
2017-03-11,4
2017-03-13,5
2017-03-14,8
2017-03-15,3
2017-03-16,5
2017-03-17,13
2017-03-18,18
2017-03-19,2
2017-03-20,3
2017-03-21,20
2017-03-22,22
2017-03-23,1
2017-03-24,5
2017-03-25,2
2017-03-27,2
2017-03-28,3
2017-03-30,2
2017-03-31,1
2017-04-02,2
2017-04-03,1
2017-04-04,3
2017-04-05,3
2017-04-06,1
2017-04-07,1
2017-04-10,2
2017-04-11,1
2017-04-12,4
2017-04-14,6
2017-04-16,2
2017-04-18,14
2017-04-19,3
2017-04-20,4
2017-04-22,2
2017-04-23,1
2017-04-24,2
2017-04-25,2
2017-04-26,4
2017-04-27,13
2017-04-28,19
2017-04-29,4
2017-04-30,3
2017-05-01,4
2017-05-02,4
2017-05-03,13
2017-05-05,2
2017-05-06,6
2017-05-07,4
2017-05-08,8
2017-05-09,4
2017-05-10,3
2017-05-12,4
2017-05-13,3
2017-05-14,5
2017-05-15,5
2017-05-16,1
2017-05-17,6
2017-05-18,3
2017-05-20,3
2017-05-21,10
2017-05-22,5
2017-05-23,13
2017-05-24,8
2017-05-25,6
2017-05-26,4
2017-05-27,1
2017-05-28,7
2017-05-29,1
2017-05-30,11
2017-05-31,3
2017-06-01,6
2017-06-02,16
2017-06-03,9
2017-06-04,2
2017-06-05,3
2017-06-07,3
2017-06-08,5
2017-06-09,3
2017-06-10,1
2017-06-11,2
2017-06-12,7
2017-06-13,4
2017-06-14,3
2017-06-15,3
2017-06-16,3
2017-06-17,5
2017-06-18,2
2017-06-19,4
2017-06-20,2
2017-06-21,3
2017-06-22,5
2017-06-23,1
2017-06-24,8
2017-06-27,1
2017-06-28,5
2017-06-29,1
2017-06-30,2
2017-07-02,3
2017-07-03,3
2017-07-04,4
2017-07-05,6
2017-07-06,8
2017-07-07,3
2017-07-10,4
2017-07-11,2
2017-07-12,18
2017-07-13,2
2017-07-16,13
2017-07-19,1
2017-07-21,2
2017-07-24,1
2017-07-26,2
2017-07-28,3
2017-08-01,2
2017-08-09,2
2017-08-11,1
2017-08-12,1
2017-08-13,3
2017-08-15,1
2017-08-17,1
2017-08-19,4
2017-08-20,6
2017-08-26,2
2017-08-28,1
2017-09-02,2
2017-09-05,2
2017-09-06,1
2017-09-08,1
2017-09-10,2
2017-09-11,3
2017-09-13,3
2017-09-20,10
2017-09-21,3
2017-09-25,1
2017-09-27,1
2017-09-30,1
2017-10-05,1
2017-10-06,1
2017-10-08,1
2017-10-09,6
2017-10-10,1
2017-10-11,1
2017-10-12,1
2017-10-13,1
2017-10-14,1
2017-10-16,1
2017-10-17,3
2017-10-19,5
2017-10-20,2
2017-10-21,2
2017-10-22,4
2017-10-23,3
2017-10-24,6
2017-10-25,6
2017-10-27,2
2017-10-28,2
2017-10-30,3
2017-10-31,17
2017-11-01,2
2017-11-02,5
2017-11-03,2
2017-11-04,1
2017-11-05,7
2017-11-06,5
2017-11-07,2
2017-11-08,9
2017-11-09,4
2017-11-10,16
2017-11-11,9
2017-11-12,2
2017-11-14,2
2017-11-16,2
2017-11-17,2
2017-11-25,2
2017-11-28,1
2017-11-29,2
2017-12-03,2
2017-12-06,2
2017-12-09,5
2017-12-12,7
2017-12-14,4
2017-12-16,1
2017-12-18,1
2017-12-20,1
2017-12-26,1
2017-12-27,3
2017-12-28,4
2017-12-29,7
2017-12-30,3
2018-01-02,3
2018-01-04,7
2018-01-05,2
2018-01-06,5
2018-01-09,2
2018-01-10,3
2018-01-11,1
2018-01-12,1
2018-01-13,2
2018-01-15,2
2018-01-17,4
2018-01-18,2
2018-01-22,2
2018-01-23,2
2018-01-25,2
2018-01-26,1
2018-01-28,1
2018-01-31,8
2018-02-01,2
2018-02-07,1
2018-02-08,1
2018-02-09,1
2018-02-13,4
2018-02-19,2
2018-02-23,1
2018-02-26,1
2018-02-27,1
2018-03-03,2
2018-03-09,2
2018-03-11,2
2018-03-12,2
2018-03-14,5
2018-03-22,7
2018-03-27,4
2018-03-31,1
2018-04-01,1
2018-04-05,1
2018-04-08,2
2018-04-11,1
2018-04-12,1
2018-04-15,1
2018-04-16,2
2018-04-17,1
2018-04-21,1
2018-04-22,1
2018-04-24,1
2018-04-26,5
2018-04-27,2
2018-04-28,1
2018-04-30,1
2018-05-02,1
2018-05-06,2
2018-05-07,1
2018-05-08,4
2018-05-11,4
2018-05-12,2
2018-05-13,1
2018-05-14,1
2018-05-16,2
2018-05-21,1
2018-05-23,3
2018-05-24,2
2018-05-25,1
2018-05-28,3
2018-05-29,2
2018-06-03,3
2018-06-08,1
2018-06-09,1
2018-06-10,1
2018-06-12,1
2018-06-13,2
2018-06-16,1
2018-06-18,4
2018-06-19,3
2018-06-20,2
2018-06-27,4
2018-06-30,2
2018-07-04,1
2018-07-13,2
2018-07-14,1
2018-07-18,3
2018-07-21,1
2018-07-26,3
2018-07-27,1
2018-07-29,2
2018-07-31,3
2018-08-10,1
2018-08-11,8
2018-08-12,4
2018-08-13,5
2018-08-14,13
2018-08-15,5
2018-08-17,1
2018-08-19,1
2018-08-20,2
2018-08-21,6
2018-08-22,5
2018-08-23,7
2018-08-24,2
2018-08-27,1
2018-08-28,3
2018-08-31,3
2018-09-01,7
2018-09-03,18
2018-09-04,9
2018-09-05,1
2018-09-06,12
2018-09-07,5
2018-09-08,5
2018-09-09,15
2018-09-10,3
2018-09-11,1
2018-09-12,7
2018-09-13,4
2018-09-14,10
2018-09-15,20
2018-09-16,9
2018-09-17,9
2018-09-18,11
2018-09-19,20
2018-09-20,7
2018-09-21,2
2018-09-22,9
2018-09-23,5
2018-09-24,1
2018-09-25,1
2018-09-27,2
2018-09-29,2
2018-10-04,8
2018-10-05,7
2018-10-06,3
2018-10-08,3
2018-10-09,4
2018-10-10,3
2018-10-11,4
2018-10-12,2
2018-10-14,1
2018-10-15,8
2018-10-16,1
2018-10-17,1
2018-10-21,4
2018-10-22,1
2018-10-24,7
2018-10-26,1
2018-10-30,6
2018-10-31,3
2018-11-01,1
2018-11-02,1
2018-11-06,4
2018-11-08,3
2018-11-09,3
2018-11-10,5
2018-11-11,2
2018-11-12,10
2018-11-13,1
2018-11-14,7
2018-11-15,3
2018-11-16,4
2018-11-17,5
2018-11-18,1
2018-11-19,10
2018-11-20,2
2018-11-21,10
2018-11-22,2
2018-11-23,1
2018-11-24,10
2018-11-25,2
2018-11-27,4
2018-11-28,10
2018-11-29,5
2018-11-30,6
2018-12-01,14
2018-12-02,14
2018-12-03,2
2018-12-07,3
2018-12-08,1
2018-12-09,8
2018-12-10,16
2018-12-13,3
2018-12-14,3
2018-12-15,2
2018-12-16,8
2018-12-17,3
2018-12-18,1
2018-12-19,4
2018-12-24,1
2018-12-31,1
2019-01-03,1
2019-01-05,1
2019-01-07,1
2019-01-08,1
2019-01-09,3
2019-01-12,1
2019-01-13,2
2019-01-16,3
2019-01-22,1
2019-01-23,6
2019-01-24,3
2019-01-26,1
2019-01-29,3
2019-01-30,1
2019-01-31,13
2019-02-01,2
2019-02-02,4
2019-02-05,4
2019-02-06,2
2019-02-07,1
2019-02-11,1
2019-02-12,9
2019-02-13,11
2019-02-14,18
2019-02-15,7
2019-02-16,6
2019-02-17,4
2019-02-18,2
2019-02-19,5
2019-02-21,1
2019-02-22,2
2019-02-27,2
2019-02-28,2
2019-03-01,9
2019-03-04,1
2019-03-07,2
2019-03-10,2
2019-03-14,1
2019-03-19,3
2019-03-20,1
2019-03-21,2
2019-03-28,2
2019-04-03,2
2019-04-06,3
2019-04-12,2
2019-04-14,1
2019-04-18,1
2019-04-23,1
2019-04-24,2
2019-04-25,11
2019-04-27,5
2019-05-01,2
2019-05-07,1
2019-05-10,1
2019-05-12,1
2019-05-15,1
2019-05-18,5
2019-05-19,4
2019-05-21,2
2019-05-25,1
2019-05-26,2
2019-06-01,1
2019-06-02,2
2019-06-07,1
2019-06-08,1
2019-06-11,1
2019-06-12,3
2019-06-13,1
2019-06-14,1
2019-06-19,1
2019-06-20,1
2019-06-27,1
2019-06-30,1
2019-07-08,1
2019-07-09,1
2019-07-10,26
2019-07-11,1
2019-07-12,8
2019-07-13,1
2019-07-14,3
2019-07-15,2
2019-07-16,1
2019-07-17,9
2019-07-18,4
2019-07-19,1
2019-07-21,1
2019-07-22,8
2019-07-23,2
2019-07-25,3
2019-07-26,2
2019-07-27,1
2019-07-29,2
2019-07-30,6
2019-07-31,2
2019-08-01,1
2019-08-02,1
2019-08-03,1
2019-08-04,1
2019-08-05,3
2019-08-06,1
2019-08-07,1
2019-08-09,3
2019-08-10,1
2019-08-11,1
2019-08-13,2
2019-08-14,2
2019-08-15,1
2019-08-17,1
2019-08-19,1
2019-08-20,1
2019-08-23,1
2019-08-24,1
2019-08-27,1
2019-08-28,3
2019-08-31,2
2019-09-02,3
2019-09-04,1
2019-09-05,3
2019-09-06,5
2019-09-07,2
2019-09-09,1
2019-09-11,1
2019-09-12,2
2019-09-14,3
2019-09-15,1
2019-09-20,4
2019-09-21,5
2019-09-28,4
2019-09-29,1
2019-09-30,2
2019-10-01,3
2019-10-04,2
2019-10-05,2
2019-10-06,1
2019-10-13,1
2019-10-20,1
2019-10-26,6
2019-10-30,3
2019-10-31,12
2019-11-01,4
2019-11-02,3
2019-11-03,1
2019-11-06,2
2019-11-21,1
2019-11-26,2
2019-11-30,1
2019-12-02,2
2019-12-04,7
2019-12-05,1
2019-12-07,1
2019-12-08,2
2019-12-10,1
2019-12-11,7
2019-12-12,2
2019-12-13,10
2019-12-14,2
2019-12-15,2
2019-12-16,1
2019-12-17,5
2019-12-18,3
2019-12-23,4
2019-12-24,1
2019-12-26,9
2019-12-27,3
2019-12-30,1
2019-12-31,2
2020-01-01,4
2020-01-02,4
2020-01-04,2
2020-01-05,1
2020-01-06,3
2020-01-07,1
2020-01-09,1
2020-01-10,2
2020-01-11,7
2020-01-14,8
2020-01-15,1
2020-01-16,2
2020-01-19,2
2020-01-21,2
2020-01-22,3
2020-01-24,3
2020-01-26,4
2020-01-28,2
2020-01-29,1
2020-01-30,16
2020-01-31,7
2020-02-01,2
2020-02-02,5
2020-02-03,8
2020-02-04,8
2020-02-10,3
2020-02-13,1
2020-02-14,8
2020-02-20,1
2020-02-22,1
2020-02-28,3
2020-03-03,1
2020-03-06,2
2020-03-07,6
2020-03-12,7
2020-03-18,1
2020-03-19,1
2020-03-22,2
2020-03-24,1
2020-03-25,1
2020-03-27,3
2020-03-28,6
2020-03-29,1
2020-04-01,3
2020-04-02,3
2020-04-03,2
2020-04-04,2
2020-04-06,1
2020-04-07,2
2020-04-08,4
2020-04-09,3
2020-04-10,1
2020-04-13,4
2020-04-14,10
2020-04-16,8
2020-04-17,4
2020-04-19,1
2020-04-21,4
2020-04-22,10
2020-04-27,2
2020-04-28,3
2020-04-29,4
2020-04-30,1
2020-05-02,1
2020-05-03,4
2020-05-04,4
2020-05-05,2
2020-05-06,11
2020-05-07,16
2020-05-08,1
2020-05-11,3
2020-05-12,3
2020-05-13,4
2020-05-14,8
2020-05-15,1
2020-05-18,2
2020-05-21,2
2020-05-23,1
2020-05-24,3
2020-05-26,1
2020-05-27,1
2020-05-28,1
2020-05-29,1
2020-06-01,3
2020-06-02,36
2020-06-03,2
2020-06-04,1
2020-06-05,4
2020-06-08,4
2020-06-09,2
2020-06-10,8
2020-06-11,3
2020-06-12,2
2020-06-13,4
2020-06-14,2
2020-06-15,2
2020-06-17,1
2020-06-18,9
2020-06-19,26
2020-06-23,5
2020-06-24,4
2020-06-27,4
2020-06-28,8
2020-06-29,4
2020-06-30,3
2020-07-01,3
2020-07-03,3
2020-07-11,3
2020-07-13,3
2020-07-14,3
2020-07-15,1
2020-07-18,11
2020-07-20,1
2020-07-21,4
2020-07-23,6
2020-07-24,2
2020-07-26,2
2020-07-28,10
2020-08-01,1
2020-08-03,5
2020-08-06,7
2020-08-13,1
2020-08-23,1
2020-08-24,1
2020-08-25,1
2020-09-04,1
2020-09-06,2
2020-09-07,1
2020-09-08,1
2020-09-09,1
2020-09-10,1
2020-09-12,3
2020-09-15,1
2020-09-17,2
2020-09-18,2
2020-09-21,1
2020-09-25,2
2020-09-27,3
2020-09-28,1
2020-10-05,3
2020-10-09,2
2020-10-16,1
2020-10-17,2
2020-10-18,1
2020-10-19,14
2020-10-24,1
2020-11-03,7
2020-11-04,2
2020-11-05,7
2020-11-11,1
2020-11-20,2
2020-11-22,4
2020-11-30,2
2020-12-01,3
2020-12-05,2
2020-12-07,1
2020-12-09,1
2020-12-11,2
2020-12-12,3
2020-12-14,1
2020-12-15,1
2020-12-17,2
2020-12-30,1
2021-01-04,5
2021-01-05,3
2021-01-13,1
2021-01-20,1
2021-01-30,1
2021-01-31,3
2021-02-01,12
2021-02-02,3
2021-02-03,2
2021-02-06,2
2021-02-07,1
2021-02-12,3
2021-02-14,4
2021-02-15,1
2021-03-03,1
2021-03-04,2
2021-03-08,2
2021-03-12,1
2021-03-15,7
2021-03-21,5
2021-03-23,3
2021-03-28,3
2021-03-31,4
2021-04-01,1
2021-04-05,1
2021-04-06,1
2021-04-15,2
2021-04-18,2
2021-04-22,2
2021-04-23,1
2021-05-05,3
2021-05-06,6
2021-05-14,1
2021-05-24,2
2021-05-27,2
2021-05-29,1
2021-06-01,3
2021-06-02,6
2021-06-03,1
2021-06-08,1
2021-06-09,1
2021-06-10,1
2021-06-13,2
2021-06-16,1
2021-06-18,3
2021-06-22,1
2021-06-23,1
2021-06-24,1
