date,edit_count
2015-08-12,3
2016-03-18,1
2016-04-19,1
2016-04-25,1
2016-12-07,2
2017-01-30,1
2017-02-01,1
2018-05-22,1
2018-06-21,1
2018-07-22,1
2018-09-24,1
2018-10-19,1
2018-11-26,1
2018-11-28,2
2018-12-24,1
2019-01-06,1
2019-01-19,1
2019-03-18,1
2019-04-14,2
2019-09-10,1
2019-09-11,1
2019-10-16,1
2020-01-27,1
2020-01-31,1
2020-02-10,1
2020-04-11,1
2020-04-23,3
2020-04-24,1
2020-07-19,1
2020-10-03,2
2020-10-11,1
2021-01-22,1
2021-11-03,3
2021-11-04,1
2021-12-12,6
2022-01-08,1
2022-01-17,5
2022-04-29,1
2022-05-31,1
2022-07-21,3
2022-08-29,1
2022-09-25,1
2023-04-29,1
2024-01-08,1
2024-11-01,4
2025-02-03,1
2025-04-03,3
2025-09-17,1
2025-10-08,2
