date,edit_count
2015-08-23,2
2015-08-24,1
2015-08-25,1
2015-08-29,1
2015-09-15,2
2015-09-16,1
2015-09-23,2
2015-09-24,1
2015-09-30,9
2015-10-01,1
2015-10-15,1
2015-11-13,1
2015-11-15,1
2015-11-24,2
2015-11-28,1
2015-11-30,1
2015-12-07,1
2016-02-19,1
2016-02-21,1
2016-02-28,7
2016-02-29,1
2016-03-01,2
2016-03-19,1
2016-04-17,1
2016-04-18,1
2016-05-13,1
2016-05-22,1
2016-05-24,2
2016-05-26,1
2016-05-28,1
2016-05-31,1
2016-06-17,1
2016-06-30,1
2016-07-07,1
2016-07-30,1
2016-10-03,1
2016-10-15,1
2016-11-18,2
2016-11-30,2
2016-12-07,3
2016-12-08,2
2016-12-13,1
2016-12-22,1
2016-12-24,2
2017-01-23,1
2017-02-07,1
2017-02-13,1
2017-03-10,1
2017-08-01,1
2017-08-22,1
2017-09-01,4
2017-09-08,1
2017-09-16,2
2017-12-28,1
2018-01-24,1
2018-02-04,1
2018-06-16,1
2018-12-03,1
2019-01-30,1
2019-03-23,1
2019-07-07,1
2019-09-08,2
2019-09-27,1
2020-04-28,1
2020-06-26,1
2021-02-18,1
2021-05-07,1
2021-06-18,3
2021-11-01,1
2021-12-05,1
2021-12-07,2
2022-03-04,1
2023-03-26,9
2023-03-29,1
2023-06-03,1
2023-06-05,1
2023-06-09,1
2023-12-26,2
2025-02-17,1
2025-04-18,1
2025-08-18,3
2026-02-01,1
2026-02-16,1
