date,edit_count
2016-08-03,4
2017-03-21,1
2017-03-22,1
2017-04-20,2
2017-07-06,12
2017-07-09,3
2017-10-25,6
2017-10-26,16
2018-12-07,1
2019-04-16,2
2019-04-17,8
2019-04-18,4
2019-04-19,4
2019-05-06,6
2019-06-08,2
2019-10-08,1
2019-12-13,5
2020-01-09,19
2020-01-13,32
2020-01-14,2
2020-01-15,1
2020-01-16,1
2020-01-20,1
2020-01-27,3
2020-01-29,1
2020-01-30,6
2020-02-02,1
2020-02-04,2
2020-02-05,8
2020-02-07,2
2020-02-08,2
2020-02-11,1
2020-02-14,8
2020-02-17,6
2020-02-19,2
2020-02-22,1
2020-02-29,4
2020-03-04,2
2020-03-05,2
2020-03-06,4
2020-03-07,2
2020-03-09,1
2020-03-11,1
2020-03-16,3
2020-03-18,38
2020-03-19,5
2020-03-20,3
2020-03-21,2
2020-03-22,1
2020-03-24,1
2020-03-25,2
2020-03-27,1
2020-04-03,7
2020-04-04,1
2020-04-05,1
2020-04-07,7
2020-04-08,24
2020-04-09,5
2020-04-12,4
2020-04-13,17
2020-04-14,2
2020-04-16,4
2020-04-17,1
2020-04-24,2
2020-04-26,3
2020-04-30,6
2020-05-02,16
2020-05-03,3
2020-05-05,2
2020-05-06,2
2020-05-07,2
2020-05-08,4
2020-05-09,1
2020-05-11,1
2020-05-14,2
2020-05-16,2
2020-05-17,2
2020-05-23,1
2020-05-29,4
2020-05-30,3
2020-05-31,8
2020-06-01,7
2020-06-06,1
2020-06-08,1
2020-06-09,7
2020-06-10,8
2020-06-11,44
2020-06-12,36
2020-06-13,12
2020-06-14,11
2020-06-15,24
2020-06-16,1
2020-06-17,5
2020-06-18,3
2020-06-19,6
2020-06-20,2
2020-06-22,2
2020-06-25,3
2020-06-26,3
2020-06-27,1
2020-06-28,1
2020-06-29,1
2020-07-08,2
2020-07-10,1
2020-07-11,1
2020-07-15,4
2020-07-16,1
2020-07-17,4
2020-07-18,1
2020-07-19,2
2020-07-23,1
2020-07-25,2
2020-07-27,3
2020-07-28,1
2020-08-02,1
2020-08-03,4
2020-08-06,1
2020-08-07,2
2020-08-23,1
2020-08-24,1
2020-08-27,6
2020-08-30,2
2020-09-04,2
2020-09-06,1
2020-09-08,4
2020-09-12,1
2020-09-13,3
2020-09-14,3
2020-09-15,2
2020-09-16,22
