date,edit_count
2015-07-03,1
2015-07-08,2
2015-07-10,1
2015-08-05,1
2015-08-08,1
2015-08-18,1
2015-08-27,1
2015-08-30,2
2015-09-02,1
2015-09-03,9
2015-09-08,1
2015-09-15,14
2015-09-16,12
2015-09-20,1
2015-09-24,1
2015-09-26,3
2015-09-28,1
2015-09-29,3
2015-10-04,4
2015-10-08,2
2015-10-11,5
2015-10-14,1
2015-10-15,1
2015-10-21,1
2015-10-23,2
2015-10-24,2
2015-10-26,1
2015-10-27,7
2015-10-28,11
2015-10-29,6
2015-10-30,3
2015-10-31,1
2015-11-01,1
2015-11-02,1
2015-11-04,2
2015-11-06,3
2015-11-07,2
2015-11-08,2
2015-11-12,1
2015-11-16,3
2015-11-17,2
2015-11-20,2
2015-11-26,4
2015-12-01,2
2015-12-04,5
2015-12-05,1
2015-12-06,3
2015-12-08,14
2015-12-11,1
2015-12-12,1
2015-12-17,2
2015-12-19,2
2015-12-21,2
2015-12-24,1
2015-12-28,1
2016-01-02,1
2016-01-03,7
2016-01-05,1
2016-01-06,2
2016-01-07,7
2016-01-08,1
2016-01-09,3
2016-01-10,1
2016-01-12,2
2016-01-14,5
2016-01-15,6
2016-01-16,1
2016-01-17,1
2016-01-23,2
2016-01-28,7
2016-01-29,1
2016-02-02,1
2016-02-03,1
2016-02-11,2
2016-02-13,5
2016-02-16,1
2016-02-27,1
2016-02-29,2
2016-03-01,4
2016-03-05,1
2016-03-08,1
2016-03-09,1
2016-03-11,1
2016-03-13,8
2016-03-15,22
2016-03-16,17
2016-03-17,13
2016-03-18,10
2016-03-19,4
2016-03-20,10
2016-03-21,2
2016-03-23,3
2016-03-24,5
2016-03-28,1
2016-03-29,4
2016-03-30,2
2016-04-02,1
2016-04-07,2
2016-04-08,3
2016-04-09,1
2016-04-15,3
2016-04-16,2
2016-04-17,2
2016-04-19,3
2016-04-23,5
2016-04-26,1
2016-04-28,1
2016-05-02,4
2016-05-07,2
2016-05-15,2
2016-05-18,2
2016-05-19,5
2016-05-27,1
2016-05-29,1
2016-06-01,1
2016-06-07,2
2016-06-08,3
2016-06-09,1
2016-06-11,5
2016-06-14,21
2016-06-15,4
