date,edit_count
2016-06-25,6
2016-06-26,4
2016-06-27,1
2016-06-28,10
2016-06-29,10
2016-06-30,1
2016-07-01,2
2016-07-02,4
2016-07-06,3
2016-07-07,2
2016-07-08,4
2016-07-14,1
2016-07-18,1
2016-07-29,3
2016-07-30,1
2016-08-13,1
2016-09-13,1
2016-09-19,2
2016-10-06,1
2016-10-16,1
2016-10-20,1
2016-11-25,5
2017-03-18,7
2017-04-13,1
2017-05-02,1
2017-05-07,1
2017-08-04,1
2017-08-09,1
2017-10-24,2
2017-10-25,1
2017-11-01,2
2017-11-22,1
2017-12-11,1
2017-12-17,1
2017-12-24,2
2018-01-23,2
2018-02-10,1
2018-03-14,2
2018-03-24,1
2018-03-29,1
2018-04-19,1
2018-05-08,1
2018-06-01,1
2018-10-01,3
2018-11-10,1
2018-11-30,6
2018-12-01,1
2018-12-04,1
2018-12-05,1
2018-12-11,1
2018-12-26,1
2019-01-10,1
2019-01-11,2
2019-02-13,1
2019-02-22,1
2019-02-28,1
2019-03-05,2
2019-04-17,1
2019-04-22,2
2019-06-13,2
2019-07-08,1
2019-07-21,2
2019-07-26,1
2019-12-08,1
2019-12-25,10
2019-12-26,1
2019-12-30,1
2020-02-11,2
2020-04-25,1
2020-05-23,1
2020-06-27,2
2020-06-29,2
2020-07-01,4
2020-07-11,1
2020-10-09,2
2020-11-27,1
2020-12-15,1
2020-12-29,2
2021-01-12,4
2021-01-17,2
2021-01-21,6
2021-01-23,1
2021-02-16,2
2021-02-21,4
2021-03-17,1
2021-03-25,1
2021-03-27,2
2021-04-17,1
2021-04-18,1
2021-04-19,1
2021-04-23,1
2021-05-18,1
2021-07-31,1
2021-08-05,2
2021-08-17,1
2021-09-07,2
2021-09-19,1
2021-11-05,2
2022-01-13,1
2022-01-30,2
2022-03-13,2
2022-03-14,7
2022-03-15,1
2022-04-18,1
2022-05-05,1
2022-05-15,1
2022-05-24,1
2022-06-23,1
2022-07-06,1
2022-07-23,1
2022-08-07,2
2022-08-11,1
2022-10-05,1
2022-12-10,1
2022-12-30,1
2023-01-16,1
2023-01-23,1
2023-03-30,1
2023-04-01,1
2023-04-02,4
2023-04-23,1
2023-05-07,1
2023-05-09,1
2023-05-10,1
2023-05-11,3
2023-05-28,1
2023-08-13,3
2023-09-27,1
2023-10-03,2
2023-11-13,1
2023-11-21,1
2023-11-26,1
2024-02-08,1
2024-03-15,1
2024-03-19,1
2024-03-22,1
2024-03-27,1
2024-04-17,1
2024-04-26,2
2024-06-16,1
2024-06-21,2
2024-06-25,6
2024-06-26,2
2024-06-28,1
2024-07-04,1
2024-10-11,1
2024-11-05,1
2024-11-21,2
2024-12-12,2
2024-12-25,1
2024-12-26,1
2025-01-03,1
2025-01-04,1
2025-01-25,1
2025-01-26,1
2025-01-29,1
2025-02-26,2
2025-03-02,1
2025-03-03,4
2025-03-23,1
2025-04-04,1
2025-04-07,3
2025-04-10,2
2025-04-26,1
2025-05-16,2
2025-05-23,2
2025-06-01,1
2025-10-03,2
2025-10-06,1
2025-10-13,2
2025-12-14,1
2025-12-28,1
2026-03-12,1
2026-03-26,1
2026-04-09,1
2026-04-18,2
2026-06-07,1
