date,edit_count
2018-03-12,1
2018-03-13,2
2018-04-10,2
2018-04-12,1
2018-06-01,1
2018-07-03,1
2018-12-16,1
2018-12-19,1
2019-06-03,1
2019-06-08,5
2019-06-11,5
2019-08-19,2
2019-08-25,1
2019-11-03,1
2019-11-26,1
2019-12-12,3
2019-12-26,3
2020-04-05,1
2020-04-11,1
2020-05-02,5
2020-11-01,1
2020-12-21,2
2021-01-15,3
2021-02-09,1
2021-02-18,1
2021-03-02,1
2021-03-15,1
2021-04-05,1
2021-04-14,1
2021-04-17,2
2021-05-02,1
2021-05-13,2
2021-06-04,3
2021-06-17,1
2021-06-22,1
2021-07-01,3
2021-08-02,1
2021-09-26,1
2022-02-04,1
2022-04-13,1
2022-06-05,1
2022-07-13,2
2022-10-10,1
2022-10-31,1
2022-11-14,1
2022-11-29,1
2022-11-30,2
2023-01-31,1
2023-02-28,1
2023-03-24,2
2023-04-01,1
2023-04-02,1
2023-05-02,9
2023-05-03,2
2023-05-04,2
2023-07-09,1
2023-07-11,1
2023-07-30,1
2023-08-13,2
2023-11-21,1
2024-01-11,1
2024-01-31,2
2024-02-12,1
2024-04-24,2
2024-08-28,1
2024-09-08,2
2024-09-12,1
2024-09-23,6
2024-09-25,2
2025-01-01,1
2025-02-21,1
2025-03-08,1
2025-05-03,1
2025-09-10,2
2025-09-26,7
2025-10-03,2
2025-11-04,1
2025-11-08,2
2025-12-18,3
2026-05-14,2
2026-05-19,1
2026-05-20,9
2026-06-09,1
