date,edit_count
2022-07-20,1
2022-08-23,16
2022-08-25,1
2022-08-26,1
2022-08-30,2
2022-09-19,2
2022-09-27,6
2022-10-13,2
2022-10-23,1
2022-11-28,1
2023-01-03,1
2023-02-20,4
2023-03-02,1
2023-04-28,2
2023-07-24,1
2023-07-26,1
2023-07-27,2
2023-07-29,2
2023-08-10,1
2023-09-27,2
2023-12-29,2
2024-03-17,1
2024-06-13,2
2024-06-30,2
2024-07-29,5
2024-07-30,2
2024-08-03,1
2024-08-15,2
2024-08-20,11
2024-10-20,1
2025-03-06,1
2025-04-01,1
2025-05-15,1
2025-06-19,1
2025-08-04,1
2025-10-04,1
2025-12-16,2
2026-01-19,1
2026-02-09,1
2026-03-17,1
2026-04-27,1
2026-06-28,1
