date,edit_count
2018-08-09,10
2018-08-10,2
2018-08-11,1
2018-08-14,1
2018-08-20,1
2018-08-27,2
2018-09-02,3
2018-09-05,1
2018-09-07,2
2018-09-22,4
2018-09-26,2
2018-10-03,1
2018-10-15,1
2018-11-17,1
2018-11-28,1
2018-12-30,1
2019-02-14,1
2019-02-17,2
2019-03-03,2
2019-04-03,2
2019-04-15,4
2019-04-16,1
2019-05-25,1
2019-06-18,1
2019-07-01,1
2019-07-15,2
2019-08-04,2
2019-08-15,2
2019-08-26,1
2019-08-29,1
2019-08-30,1
2019-09-02,1
2019-09-29,2
2019-10-09,1
2019-11-30,1
2019-12-21,1
2019-12-31,2
2020-01-07,1
2020-02-22,1
2020-03-05,4
2020-04-04,1
2020-05-20,1
2020-05-22,6
2020-08-04,4
2020-08-06,1
2020-08-15,3
2020-08-27,1
2020-08-30,2
2020-09-21,1
2020-09-22,2
2020-10-28,2
2020-12-28,1
2021-01-11,1
2021-02-27,1
2022-02-13,1
2022-02-22,1
2022-03-14,2
2022-07-05,1
2022-07-15,1
2023-01-03,1
2023-02-20,2
2023-05-28,3
2023-08-08,1
2023-08-17,1
2023-09-27,1
2024-07-03,1
2024-10-07,3
2025-05-16,1
2025-09-29,1
2025-10-04,1
2026-02-01,1
2026-03-11,1
2026-04-06,1
2026-04-27,1
2026-05-08,2
2026-06-28,1
