date,edit_count
2016-09-01,19
2016-09-03,4
2016-09-04,2
2016-12-09,2
2016-12-13,5
2017-01-07,1
2017-01-10,4
2017-01-13,1
2017-01-17,1
2017-01-25,1
2017-02-06,1
2017-02-07,1
2017-02-08,1
2017-03-01,1
2017-03-18,4
2017-03-19,2
2017-09-01,1
2017-10-16,2
2017-11-17,1
2017-11-22,1
2017-12-04,1
2017-12-14,1
2017-12-19,1
2017-12-27,1
2018-01-04,1
2018-01-11,1
2018-01-14,5
2018-03-31,1
2018-06-02,1
2018-06-24,1
2018-08-09,1
2018-08-11,1
2018-08-21,1
2018-08-24,1
2018-09-04,1
2019-02-03,1
2019-02-10,1
2019-04-17,1
2019-04-18,6
2020-02-15,1
2020-06-29,1
2020-06-30,2
2020-12-18,4
2021-08-06,1
2023-01-03,2
2023-03-28,1
2023-06-20,1
2024-07-10,1
2024-09-17,1
2025-08-03,1
2025-10-02,1
2025-10-04,1
2026-02-01,1
2026-03-25,1
2026-03-31,1
