date,edit_count
2020-08-10,9
2020-08-11,90
2020-08-12,52
2020-08-13,23
2020-08-14,17
2020-08-15,1
2020-08-16,7
2020-08-17,1
2020-08-18,4
2020-08-19,17
2020-08-20,9
2020-08-21,45
2020-08-22,21
2020-08-23,1
2020-08-25,1
2020-08-26,1
2020-08-27,1
2020-08-28,1
2020-08-29,1
2020-08-31,4
2020-09-01,2
2020-09-04,2
2020-09-05,7
2020-09-06,53
2020-09-07,4
2020-09-08,16
2020-09-09,7
2020-09-10,10
2020-09-11,7
2020-09-13,2
2020-09-14,1
2020-09-16,1
2020-09-21,1
2020-09-24,1
2020-09-26,3
2020-09-28,5
2020-09-29,3
2020-09-30,1
2020-10-10,1
2020-10-12,1
2020-10-14,1
2020-10-19,1
2020-10-23,2
2020-10-24,4
2020-11-07,1
2020-11-08,1
2020-11-09,1
2020-11-10,4
2020-11-11,2
2020-11-12,10
2020-11-13,3
2020-11-15,4
2020-11-16,2
2020-11-18,7
2020-11-19,3
2020-11-20,1
2020-11-22,6
2020-11-23,2
2020-11-25,2
2020-11-27,3
2020-11-28,1
2020-11-30,4
2020-12-02,2
2020-12-03,8
2020-12-04,2
2020-12-05,6
2020-12-06,19
2020-12-07,4
2020-12-08,1
2020-12-09,4
2020-12-10,7
2020-12-11,3
2020-12-12,9
2020-12-13,2
2020-12-14,1
2020-12-15,12
2020-12-16,2
2020-12-17,4
2020-12-18,7
2020-12-20,6
2020-12-21,7
2020-12-22,17
2020-12-23,6
2020-12-24,2
2020-12-25,1
2020-12-26,2
2020-12-27,6
2020-12-28,1
2020-12-29,2
2020-12-31,1
2021-01-01,3
2021-01-02,1
2021-01-03,4
2021-01-05,2
2021-01-06,1
2021-01-08,1
2021-01-10,1
2021-01-11,1
2021-01-13,1
2021-01-14,10
2021-01-15,4
2021-01-16,11
2021-01-17,3
2021-01-19,1
2021-01-20,3
2021-01-22,2
2021-01-23,3
2021-01-24,1
2021-01-26,2
2021-01-27,12
2021-01-28,4
2021-01-29,5
2021-01-30,8
2021-01-31,6
2021-02-02,21
2021-02-03,25
2021-02-04,3
2021-02-05,12
2021-02-06,1
2021-02-07,12
2021-02-08,5
2021-02-09,5
2021-02-11,9
2021-02-12,6
2021-02-13,2
2021-02-14,11
2021-02-16,4
2021-02-17,2
2021-02-18,3
2021-02-19,2
2021-02-20,4
2021-02-23,3
2021-02-24,2
2021-02-25,3
2021-02-26,1
2021-02-28,3
2021-03-01,12
2021-03-02,5
2021-03-03,9
2021-03-04,10
2021-03-05,2
2021-03-07,2
2021-03-08,5
2021-03-09,2
2021-03-10,8
2021-03-11,4
2021-03-12,12
2021-03-13,18
2021-03-14,1
2021-03-15,9
2021-03-16,2
2021-03-17,2
2021-03-18,1
2021-03-19,6
2021-03-20,4
2021-03-21,5
2021-03-22,5
2021-03-24,7
2021-03-25,3
2021-03-27,4
2021-03-29,5
2021-03-30,3
2021-03-31,1
2021-04-01,5
2021-04-02,5
2021-04-03,5
2021-04-06,1
2021-04-07,3
2021-04-08,3
2021-04-09,5
2021-04-11,3
2021-04-12,10
2021-04-13,10
2021-04-14,3
2021-04-15,1
2021-04-17,10
2021-04-18,8
2021-04-20,4
2021-04-21,6
2021-04-22,4
2021-04-23,4
2021-04-25,2
2021-04-26,1
2021-04-27,8
2021-04-28,12
2021-04-29,4
2021-04-30,14
2021-05-01,2
2021-05-02,3
2021-05-03,3
2021-05-04,2
2021-05-05,3
2021-05-06,5
2021-05-07,1
2021-05-09,1
2021-05-10,3
2021-05-11,8
2021-05-12,1
2021-05-13,2
2021-05-14,6
2021-05-15,2
2021-05-16,6
2021-05-17,6
2021-05-19,1
2021-05-20,2
2021-05-23,1
2021-05-24,2
2021-05-25,3
2021-05-26,2
2021-05-30,1
2021-05-31,2
2021-06-01,2
2021-06-02,1
2021-06-05,5
2021-06-06,5
2021-06-07,1
2021-06-10,2
2021-06-11,7
2021-06-13,1
2021-06-16,4
2021-06-19,1
2021-06-20,2
2021-06-22,2
2021-06-23,3
2021-06-25,1
2021-06-26,2
2021-06-27,2
2021-06-28,3
2021-06-29,2
2021-06-30,5
2021-07-01,1
2021-07-02,5
2021-07-03,1
2021-07-06,2
2021-07-07,1
2021-07-08,2
2021-07-09,2
2021-07-10,3
2021-07-11,7
2021-07-12,1
2021-07-14,1
2021-07-15,2
2021-07-16,1
2021-07-17,1
2021-07-18,1
2021-07-20,1
2021-07-21,1
2021-07-23,2
2021-07-24,5
2021-07-27,2
2021-07-28,3
2021-07-31,1
2021-08-03,1
2021-08-04,2
2021-08-05,4
2021-08-07,4
2021-08-08,2
2021-08-09,3
2021-08-10,2
2021-08-12,3
2021-08-13,1
2021-08-18,2
2021-08-20,7
2021-08-25,2
2021-08-26,1
2021-08-27,1
2021-08-28,3
2021-08-30,1
2021-09-02,1
2021-09-07,3
2021-09-08,4
2021-09-09,1
2021-09-10,2
2021-09-11,2
2021-09-13,1
2021-09-14,2
2021-09-19,2
2021-09-21,1
2021-09-25,1
2021-09-27,1
2021-10-03,1
2021-10-04,1
2021-10-05,1
2021-10-10,1
2021-10-14,1
2021-10-15,1
2021-10-16,1
2021-10-22,1
2021-10-25,1
2021-11-07,2
2021-11-10,1
2021-11-11,1
2021-11-14,2
2021-11-16,6
2021-11-18,2
2021-11-19,1
2021-11-20,3
2021-11-21,10
2021-11-24,6
2021-11-25,2
2021-11-26,8
2021-12-02,1
2021-12-07,2
2021-12-10,2
2021-12-11,1
2021-12-12,3
2021-12-13,2
2021-12-14,1
2021-12-17,1
2021-12-19,2
2021-12-21,4
2021-12-22,1
2021-12-23,2
2021-12-25,1
2021-12-29,3
2021-12-30,1
