date,edit_count
2021-07-15,83
2021-07-16,34
2021-07-17,8
2021-07-18,9
2021-07-19,13
2021-07-20,3
2021-07-21,7
2021-07-22,3
2021-07-23,8
2021-07-24,10
2021-07-25,8
2021-07-26,1
2021-07-27,3
2021-07-29,2
2021-07-30,1
2021-07-31,1
2021-08-01,2
2021-08-06,4
2021-08-08,3
2021-08-09,3
2021-08-10,2
2021-08-12,2
2021-08-14,1
2021-08-15,1
2021-08-16,1
2021-08-19,2
2021-08-24,11
2021-09-02,1
2021-09-05,1
2021-09-06,1
2021-09-11,2
2021-09-14,3
2021-09-15,1
2021-09-23,3
2021-09-24,1
2021-09-25,3
2021-10-03,1
2021-10-07,1
2021-10-15,2
2021-10-18,4
2021-10-19,1
2021-10-20,2
2021-10-26,1
2021-11-01,3
2021-11-09,2
2021-11-10,7
2021-11-11,2
2021-11-13,2
2021-11-15,2
2021-11-16,1
2021-11-25,2
2021-12-03,1
2021-12-13,4
2021-12-14,2
2021-12-17,1
2021-12-23,1
2022-01-07,2
2022-01-12,1
2022-01-13,1
2022-01-14,2
2022-01-15,2
2022-01-22,2
2022-01-25,1
2022-01-26,2
2022-01-28,3
2022-01-31,3
2022-02-02,1
2022-02-04,3
2022-02-13,1
2022-02-16,1
2022-02-23,5
2022-02-25,9
2022-02-26,24
2022-02-27,5
2022-02-28,7
2022-03-01,2
2022-03-02,2
2022-03-03,3
2022-03-04,3
2022-03-06,4
2022-03-07,4
2022-03-08,2
2022-03-11,3
2022-03-14,3
2022-03-15,5
2022-03-16,2
2022-03-18,3
2022-03-22,2
2022-03-23,1
2022-03-28,2
2022-03-29,2
2022-04-02,1
2022-04-08,1
2022-04-10,2
2022-04-11,3
2022-04-15,1
2022-04-17,1
2022-04-22,1
2022-04-28,1
2022-05-03,2
2022-05-08,1
2022-05-13,2
2022-05-15,2
2022-05-19,3
2022-05-20,12
2022-05-22,4
2022-05-23,1
2022-05-25,1
2022-05-30,1
2022-06-03,1
2022-06-13,8
2022-06-14,4
2022-06-18,2
