date,edit_count
2017-06-26,1
2017-08-13,1
2017-08-14,1
2017-09-01,1
2017-09-09,1
2017-09-10,5
2017-09-15,1
2017-09-18,2
2017-09-27,1
2017-10-18,1
2017-10-19,1
2017-10-20,1
2017-11-04,1
2017-11-22,1
2017-12-07,1
2017-12-13,1
2017-12-25,1
2017-12-31,1
2018-01-02,2
2018-02-04,1
2018-02-08,1
2018-02-23,1
2018-03-18,2
2018-05-09,1
2018-05-25,2
2018-06-21,1
2018-06-24,1
2018-06-27,1
2018-10-27,1
2018-11-04,1
2018-11-20,2
2018-11-21,1
2018-12-03,2
2018-12-06,2
2018-12-15,4
2018-12-16,3
2018-12-17,1
2018-12-31,4
2019-01-02,3
2019-02-23,2
2019-03-14,1
2019-03-26,1
2019-04-02,2
2019-05-04,2
2019-05-13,1
2019-05-16,3
2019-05-26,1
2019-06-07,7
2019-06-09,1
2019-06-17,1
2019-07-11,1
2019-07-16,2
2019-08-30,1
2019-10-06,1
2019-10-08,1
2019-10-13,2
2019-10-16,1
2019-11-13,2
2019-11-27,2
2019-12-03,2
2019-12-04,8
2020-01-26,1
2020-04-11,2
2020-04-12,2
2020-05-11,1
2020-06-05,1
2020-06-27,2
2020-08-21,1
2020-08-26,1
2020-08-29,1
2020-09-03,1
2020-11-30,1
2020-12-23,1
2021-01-09,1
2021-03-03,2
2021-03-23,1
2021-05-27,1
2021-05-28,1
2021-07-15,1
2021-07-16,2
2021-07-18,2
2021-08-29,1
2021-09-19,2
2021-10-10,1
2021-10-18,2
2021-10-27,1
2022-03-18,1
2022-09-30,4
2023-01-20,1
2023-01-26,1
2023-01-28,1
2023-03-28,1
2023-05-19,1
2023-10-14,1
2023-12-01,2
2023-12-03,1
2024-03-25,1
2024-03-27,1
2024-04-06,1
2024-04-25,1
2024-08-20,1
2024-09-02,3
2024-09-20,1
2024-12-26,2
2025-02-14,1
2025-11-12,2
2025-12-20,3
2026-01-15,1
2026-02-01,1
2026-02-08,1
2026-02-18,1
2026-04-28,1
2026-05-05,2
2026-05-06,2
2026-05-07,11
2026-05-13,3
2026-05-15,2
2026-05-20,1
2026-05-27,2
2026-05-30,1
2026-06-22,1
2026-06-26,2
