date,edit_count
2017-04-19,1
2017-06-26,29
2017-06-27,21
2017-06-28,5
2017-06-29,7
2017-07-03,1
2017-07-06,3
2017-07-14,4
2017-07-15,5
2017-07-16,5
2017-08-08,8
2017-08-09,1
2017-08-11,2
2017-08-13,2
2017-08-15,1
2017-08-16,2
2017-08-22,4
2017-08-23,7
2017-08-24,2
2017-08-29,1
2017-08-31,1
2017-09-01,4
2017-09-02,1
2017-09-05,1
2017-09-06,1
2017-09-08,2
2017-09-09,2
2017-09-11,3
2017-09-12,4
2017-09-13,2
2017-09-16,2
2017-09-18,2
2017-09-23,2
2017-09-24,1
2017-09-26,1
2017-09-27,3
2017-09-28,3
2017-09-29,13
2017-09-30,3
2017-10-01,2
2017-10-02,2
2017-10-03,2
2017-10-05,2
2017-10-06,4
2017-10-07,3
2017-10-08,2
2017-10-09,1
2017-10-11,1
2017-10-12,3
2017-10-15,1
2017-10-21,1
2017-10-23,1
2017-10-24,1
2017-10-31,1
2017-11-14,2
2017-11-18,2
2017-11-21,1
2017-11-22,1
2017-11-24,2
2017-11-25,1
2017-11-29,2
2017-12-09,2
2017-12-10,2
2017-12-13,2
2017-12-24,2
2017-12-26,1
2018-01-05,1
2018-01-12,1
2018-01-28,2
2018-02-01,1
2018-02-03,2
2018-02-04,1
2018-02-05,1
2018-02-11,6
2018-02-13,2
2018-02-17,2
2018-02-26,3
2018-03-16,1
2018-03-28,1
2018-04-03,2
2018-04-10,5
2018-04-14,1
2018-04-16,2
2018-04-26,3
2018-05-08,1
2018-05-14,2
2018-05-15,6
2018-05-16,4
2018-05-18,2
2018-05-19,1
2018-05-20,2
2018-05-23,2
2018-06-15,1
2018-06-23,1
2018-06-25,1
2018-07-03,3
2018-07-13,4
2018-07-14,4
2018-07-16,3
2018-07-24,1
2018-07-28,3
2018-08-03,1
2018-08-06,1
2018-08-24,1
2018-09-05,1
2018-09-08,2
2018-09-15,1
2018-09-17,1
2018-09-19,1
2018-09-20,1
2018-09-27,4
2018-10-31,1
2018-11-19,2
2018-11-27,1
2018-12-03,8
2018-12-04,2
2018-12-05,10
2018-12-06,2
2018-12-07,1
2018-12-13,2
2018-12-14,4
2018-12-29,3
2019-01-14,1
2019-01-20,1
2019-02-18,2
2019-02-20,1
2019-02-24,1
2019-03-19,1
2019-04-04,2
2019-04-19,2
2019-05-22,1
2019-06-12,2
2019-06-16,1
2019-06-20,1
2019-07-03,1
2019-07-16,2
2019-08-15,4
2019-09-17,1
2019-09-24,1
2019-09-26,2
2019-11-06,1
2019-12-28,1
2020-01-03,1
2020-01-06,2
2020-01-12,1
2020-01-16,1
2020-01-28,3
2020-02-08,2
2020-03-21,1
2020-04-02,1
2020-04-03,1
2020-04-09,2
2020-04-11,2
2020-04-20,1
2020-05-06,1
2020-05-12,1
2020-06-07,4
2020-06-08,1
2020-06-17,2
2020-06-28,2
2020-06-29,1
2020-06-30,2
2020-07-03,2
2020-07-04,4
2020-07-05,2
2020-07-06,1
2020-07-07,1
2020-09-21,2
2020-10-05,2
2020-10-09,2
2020-10-15,1
2020-11-28,1
2021-01-07,1
2021-02-16,1
2021-03-08,4
2021-03-09,4
2021-04-21,2
2021-04-23,2
2021-05-03,1
2021-05-22,1
2021-05-31,4
2021-07-16,1
2021-08-30,2
2021-08-31,2
2021-09-17,2
2021-10-03,14
2021-10-20,2
2021-12-16,1
2022-01-18,2
2022-02-19,1
2022-03-15,2
2022-04-20,2
2022-05-02,2
2022-05-12,2
2022-05-15,1
2022-05-19,3
2022-05-31,4
2022-06-03,1
2022-08-15,1
2022-10-01,1
2022-11-04,1
2022-11-07,2
2022-11-12,3
2022-11-17,1
2022-11-18,3
2023-01-19,1
2023-01-28,1
2023-02-19,2
2023-03-16,2
2023-05-08,2
2023-06-09,1
2023-07-26,2
2023-08-26,1
2023-09-18,1
2023-12-09,1
2024-01-27,4
2024-01-28,1
2024-02-26,3
2024-04-15,1
2024-04-28,1
2024-08-04,1
2024-09-07,1
2024-10-19,1
2024-11-02,1
2025-03-17,1
2025-04-05,1
2025-04-21,2
2025-06-29,1
2025-08-11,2
2025-08-31,1
2025-09-30,1
2025-10-30,1
2026-01-15,1
2026-01-18,1
2026-01-26,2
2026-02-01,1
2026-03-20,1
2026-03-28,1
2026-04-15,1
2026-05-08,1
2026-05-10,1
2026-05-14,1
2026-05-19,1
2026-06-24,1
