date,edit_count
2015-09-09,2
2015-09-15,1
2015-11-14,9
2015-11-16,1
2015-11-18,3
2015-11-19,1
2015-11-20,1
2015-11-21,6
2015-11-22,15
2015-11-23,13
2015-11-24,3
2015-11-25,1
2015-11-26,2
2015-11-29,2
2015-12-03,2
2015-12-04,2
2015-12-05,1
2015-12-06,2
2015-12-08,2
2015-12-09,3
2015-12-11,3
2015-12-13,1
2015-12-14,1
2015-12-26,2
2015-12-30,3
2016-01-05,2
2016-01-08,2
2016-01-09,6
2016-01-10,1
2016-01-13,1
2016-01-16,6
2016-01-17,1
2016-01-19,2
2016-01-20,1
2016-01-21,1
2016-01-24,5
2016-01-25,30
2016-01-26,6
2016-02-06,1
2016-02-08,3
2016-02-09,1
2016-02-11,1
2016-02-16,2
2016-02-22,4
2016-02-23,2
2016-02-28,2
2016-03-01,4
2016-03-02,2
2016-03-08,1
2016-03-10,1
2016-03-11,1
2016-03-13,2
2016-03-14,3
2016-03-16,1
2016-03-17,2
2016-03-18,3
2016-03-21,1
2016-03-22,2
2016-03-29,5
2016-04-06,2
2016-04-08,1
2016-04-09,2
2016-04-12,8
2016-04-13,1
2016-04-14,5
2016-04-15,3
2016-04-21,1
2016-04-23,1
2016-04-25,1
2016-04-27,2
2016-05-04,2
2016-05-11,2
2016-05-12,5
2016-05-16,2
2016-05-19,1
2016-05-23,1
2016-05-24,2
2016-05-28,1
2016-05-30,1
2016-06-06,1
2016-06-14,12
2016-06-16,1
2016-06-19,1
2016-06-22,1
2016-06-24,2
2016-06-25,4
2016-06-28,2
2016-06-29,1
2016-07-05,1
2016-07-07,1
2016-07-09,7
2016-07-10,2
2016-07-18,2
2016-07-28,1
2016-08-01,1
2016-08-09,4
2016-08-10,1
2016-08-15,1
2016-08-26,1
2016-09-05,1
2016-09-14,5
2016-09-15,2
2016-10-08,1
2016-10-21,1
2016-10-26,1
2016-11-03,1
2016-11-17,2
2016-12-03,1
2016-12-04,1
2016-12-08,1
2016-12-11,1
2016-12-12,1
2017-01-24,1
2017-02-06,2
2017-02-21,1
2017-03-07,1
2017-03-11,2
2017-03-17,3
2017-03-18,2
2017-03-27,1
2017-04-09,1
2017-05-03,1
2017-05-16,9
2017-05-20,1
2017-05-27,1
2017-06-03,1
2017-06-15,4
2017-06-22,2
2017-08-15,2
2017-09-06,1
2017-09-13,2
2017-09-15,2
2017-09-17,4
2017-09-19,3
2017-09-20,2
2017-09-26,2
2017-09-27,1
2017-10-02,2
2017-10-07,1
2017-10-09,1
2017-10-17,4
2017-10-21,2
2017-10-23,1
2017-10-28,1
2017-10-31,2
2017-11-04,1
2017-11-05,1
2017-11-07,1
2017-11-14,2
2017-11-17,1
2017-11-29,1
2017-12-05,1
2017-12-13,1
2017-12-20,2
2018-01-04,1
2018-01-10,1
2018-01-14,1
2018-01-17,1
2018-01-23,1
2018-01-24,1
2018-01-28,3
2018-02-01,1
2018-02-07,1
2018-02-13,1
2018-02-16,3
2018-02-20,1
2018-02-21,1
2018-03-01,1
2018-03-06,1
2018-03-10,1
2018-03-15,1
2018-03-20,2
2018-03-22,2
2018-03-26,5
2018-03-29,1
2018-04-03,1
2018-04-18,1
2018-04-24,1
2018-05-08,2
2018-05-10,1
2018-05-14,2
2018-05-26,1
2018-05-29,1
2018-06-08,4
2018-06-19,2
2018-06-20,3
2018-06-30,2
2018-07-01,1
2018-07-03,1
2018-07-09,2
2018-07-11,1
2018-07-12,2
2018-07-17,1
2018-07-18,2
2018-07-30,1
2018-08-06,1
2018-08-17,1
2018-08-21,1
2018-09-12,3
2018-09-17,3
2018-09-19,1
2018-09-20,1
2018-09-21,1
2018-09-24,1
2018-09-28,1
2018-10-09,2
2018-10-15,1
2018-10-22,1
2018-10-28,1
2018-10-30,1
2018-10-31,1
2018-11-01,1
2018-11-08,1
2018-11-14,5
2018-11-15,1
2018-11-19,2
2018-11-30,1
2018-12-05,1
2018-12-10,1
2018-12-11,5
2018-12-19,1
2018-12-29,1
2019-01-08,1
2019-01-22,1
2019-01-24,1
2019-02-04,1
2019-02-11,1
2019-02-19,1
2019-03-02,5
2019-03-03,1
2019-03-04,1
2019-03-11,1
2019-03-18,1
2019-03-25,1
2019-03-27,1
2019-03-28,1
2019-03-30,2
2019-04-08,2
2019-04-19,1
2019-04-22,2
2019-04-29,2
2019-05-01,1
2019-05-07,2
2019-05-13,5
2019-05-15,1
2019-05-21,2
2019-05-28,1
2019-06-03,1
2019-06-04,7
2019-06-05,3
2019-06-06,1
2019-06-07,1
2019-06-08,1
2019-06-11,1
2019-06-17,1
2019-06-18,2
2019-06-19,1
2019-06-23,1
2019-07-02,1
2019-07-11,1
2019-07-17,1
2019-07-22,3
2019-07-23,1
2019-07-29,1
2019-08-07,2
2019-08-15,1
2019-08-26,1
2019-08-27,2
2019-08-30,3
2019-09-03,1
2019-09-04,1
2019-09-10,1
2019-09-18,1
2019-09-20,1
2019-09-24,5
2019-09-27,3
2019-10-02,1
2019-10-03,1
2019-10-06,1
2019-10-10,1
2019-10-16,1
2019-10-22,1
2019-10-23,1
2019-10-28,1
2019-11-05,1
2019-11-07,2
2019-11-11,1
2019-11-12,4
2019-11-20,1
2019-12-05,1
2019-12-10,1
2019-12-13,1
2019-12-17,1
2019-12-20,3
2020-01-14,1
2020-01-23,1
2020-01-28,1
2020-02-05,8
2020-02-09,2
2020-02-15,1
2020-02-19,1
2020-02-26,1
2020-03-03,1
2020-03-10,1
2020-03-19,1
2020-03-24,3
2020-03-25,1
2020-03-26,4
2020-03-31,1
2020-04-14,3
