date,edit_count
2017-04-19,15
2017-04-20,6
2017-04-21,2
2017-04-22,31
2017-04-24,2
2017-04-25,4
2017-04-27,2
2017-04-30,6
2017-05-03,1
2017-05-04,12
2017-05-05,2
2017-05-06,1
2017-05-14,1
2017-06-02,6
2017-06-04,1
2017-06-11,1
2017-06-13,1
2017-06-24,1
2017-07-03,1
2017-08-28,2
2017-09-02,2
2017-11-08,2
2017-11-09,2
2017-11-15,2
2017-12-08,1
2017-12-16,3
2018-01-17,2
2018-02-03,2
2018-02-18,4
2018-04-17,5
2018-05-29,2
2018-09-06,1
2018-10-14,2
2018-10-31,1
2018-11-21,2
2019-01-09,3
2019-06-10,3
2019-06-21,6
2019-06-22,1
2019-07-18,2
2019-08-04,2
2019-08-23,1
2019-09-08,2
2019-09-15,1
2019-10-14,1
2019-11-06,1
2020-02-07,2
2020-10-28,1
2020-11-08,4
2020-12-03,1
2020-12-04,1
2021-01-22,4
2021-01-30,1
2021-01-31,1
2021-04-19,5
2021-05-18,1
2021-09-05,1
2021-09-17,2
2022-03-26,1
2022-08-31,2
2022-11-18,2
2023-02-22,1
2023-06-30,1
2023-07-03,1
2023-08-02,2
2023-08-24,1
2023-11-14,1
2024-11-30,1
2024-12-23,2
2025-09-16,2
2025-09-20,1
2025-10-19,1
2025-10-31,1
2026-01-05,6
2026-01-08,2
2026-01-27,1
2026-03-02,1
2026-04-04,1
2026-04-05,1
2026-04-17,1
2026-06-16,6
