date,edit_count
2015-07-17,1
2015-07-25,2
2015-08-02,2
2015-08-03,1
2015-08-04,2
2015-08-11,1
2015-08-16,1
2015-08-21,1
2015-08-22,1
2015-09-02,1
2015-09-19,6
2015-09-20,2
2015-10-17,1
2015-10-19,1
2015-10-21,1
2015-11-04,1
2015-11-11,1
2016-01-28,2
2016-02-12,1
2016-02-26,2
2016-02-29,2
2016-03-15,1
2016-04-21,3
2016-04-22,1
2016-09-07,1
2016-09-09,1
2016-09-17,1
2016-10-27,1
2016-12-31,1
2017-01-06,1
2017-03-19,1
2017-03-29,1
2017-04-22,1
2017-05-05,1
2017-06-17,1
2017-07-09,1
2017-07-20,2
2017-08-06,1
2017-08-08,1
2017-08-12,1
2017-08-26,3
2017-09-18,1
2017-11-21,1
2017-12-23,3
2018-01-11,1
2018-02-14,1
2018-04-26,4
2018-04-27,2
2018-04-29,1
2018-05-28,2
2018-06-24,1
2018-08-04,1
2019-05-02,1
2019-06-18,2
2019-06-24,1
2019-06-27,1
2019-07-14,4
2019-09-15,1
2019-10-13,1
2020-05-04,1
2020-06-18,3
2020-10-16,1
2021-01-21,1
2021-03-17,1
2021-07-03,1
2021-09-25,1
2021-09-28,2
2021-11-23,1
2021-12-30,3
2022-04-16,1
2022-07-19,1
2022-09-16,1
2022-10-11,1
2022-10-12,1
2022-11-09,1
2022-11-27,1
2022-11-29,1
2022-11-30,1
2022-12-06,1
2022-12-17,2
2023-01-13,1
2023-03-07,1
2023-03-27,1
2023-04-13,1
2023-04-19,1
2023-05-29,1
2023-07-07,1
2023-08-31,1
2023-09-15,1
2023-11-18,1
2023-12-19,2
2023-12-21,1
2024-03-10,2
2024-04-12,1
2024-07-01,6
2024-10-21,1
2024-12-14,1
2024-12-24,2
2025-01-26,1
2025-12-02,1
