date,edit_count
2019-12-13,8
2019-12-15,6
2019-12-16,23
2019-12-17,15
2019-12-18,18
2019-12-19,11
2019-12-20,6
2019-12-21,4
2019-12-23,5
2019-12-25,1
2019-12-27,1
2019-12-29,1
2019-12-30,8
2019-12-31,1
2020-01-01,1
2020-01-02,4
2020-01-04,5
2020-01-05,5
2020-01-06,2
2020-01-07,3
2020-01-08,4
2020-01-09,2
2020-01-10,6
2020-01-11,10
2020-01-12,3
2020-01-13,4
2020-01-14,2
2020-01-15,4
2020-01-16,2
2020-01-17,3
2020-01-20,5
2020-01-21,2
2020-01-22,3
2020-01-24,3
2020-01-25,1
2020-01-26,2
2020-01-27,1
2020-01-28,3
2020-01-29,2
2020-01-30,9
2020-01-31,8
2020-02-01,3
2020-02-02,20
2020-02-08,1
2020-02-10,3
2020-02-11,1
2020-02-14,1
2020-02-17,5
2020-02-18,7
2020-02-19,7
2020-02-20,9
2020-02-22,2
2020-02-24,4
2020-02-25,18
2020-02-26,3
2020-02-27,2
2020-02-28,4
2020-02-29,3
2020-03-01,1
2020-03-02,3
2020-03-03,4
2020-03-06,6
2020-03-07,8
2020-03-08,3
2020-03-10,7
2020-03-13,8
2020-03-15,2
2020-03-16,40
2020-03-17,5
2020-03-18,38
2020-03-19,11
2020-03-20,5
2020-03-21,2
2020-03-22,10
2020-03-23,6
2020-03-24,4
2020-03-25,3
2020-03-27,3
2020-03-29,3
2020-03-30,7
2020-03-31,1
2020-04-04,1
2020-04-05,4
2020-04-06,7
2020-04-08,3
2020-04-11,1
2020-04-13,1
2020-04-15,3
2020-04-18,1
2020-04-19,1
2020-04-20,4
2020-04-22,3
2020-04-23,1
2020-04-26,2
2020-04-30,12
2020-05-01,3
2020-05-05,12
2020-05-06,14
2020-05-07,12
2020-05-08,1
2020-05-09,3
2020-05-14,2
2020-05-16,4
2020-05-19,2
2020-05-21,2
2020-05-22,1
2020-05-23,3
2020-05-26,1
2020-05-28,4
2020-05-29,2
2020-05-31,4
2020-06-02,1
2020-06-03,1
2020-06-04,2
2020-06-05,2
2020-06-08,4
2020-06-09,4
2020-06-10,2
2020-06-11,4
2020-06-12,3
2020-06-13,9
2020-06-14,6
2020-06-15,2
2020-06-17,1
2020-06-18,2
2020-06-19,1
2020-06-23,1
2020-06-24,2
2020-06-25,1
2020-07-04,1
2020-07-14,3
2020-07-15,2
2020-07-16,10
2020-07-17,14
2020-07-18,10
2020-07-20,1
2020-07-21,1
2020-07-23,1
2020-07-24,4
2020-07-25,3
2020-07-29,2
2020-07-30,2
2020-08-01,1
2020-08-04,1
2020-08-07,12
2020-08-08,5
2020-08-09,4
2020-08-10,1
2020-08-11,6
2020-08-12,11
2020-08-13,7
2020-08-14,3
2020-08-16,2
2020-08-17,1
2020-08-18,2
2020-08-19,3
2020-08-20,2
2020-08-21,5
2020-08-22,6
2020-08-23,1
2020-09-01,2
2020-09-07,3
2020-09-08,51
2020-09-09,56
2020-09-10,20
2020-09-11,15
2020-09-12,4
2020-09-13,5
2020-09-14,13
2020-09-15,13
2020-09-16,6
2020-09-17,3
2020-09-18,6
2020-09-19,8
2020-09-20,1
2020-09-21,3
2020-09-22,3
2020-09-25,3
2020-09-27,4
2020-09-28,1
2020-09-29,2
2020-09-30,1
2020-10-01,1
2020-10-02,1
2020-10-04,1
2020-10-07,2
2020-10-08,3
2020-10-09,1
2020-10-11,3
2020-10-12,1
2020-10-13,3
2020-10-14,2
2020-10-15,4
2020-10-16,3
