product,avg_views_pre,median_views_pre,max_views_pre,min_views_pre,range_views_pre,volatility_pre,cv_pre,total_views_pre,growth_rate_pre,trend_slope_pre,trend_r2_pre,largest_jump_pre,largest_drop_pre,days_above_mean_pre,view_skew_pre,acceleration_pre,avg_edits_pre,total_edits_pre,edit_view_ratio_pre,peak_views_post,log_peak_views_post
Meta Quest Pro,362.1666666666667,343.0,626,217,409,94.3889412072316,0.25990529933152345,10865,0.6476868327402135,1.8956618464961064,0.03021745995088761,345,-324,14,0.5757887418627116,18.582142857142856,3.5555555555555554,32,0.009790423741777573,367,5.908082938168931
Fenty X Puma,12.066666666666666,9.0,47,4,43,8.71754297698357,0.667158901299763,362,0.875,-0.14549499443826472,0.020868265621372253,40,-20,8,2.458687892675316,-0.06428571428571428,4.25,17,0.3252551020408163,54,4.007333185232471
Samsung Galaxy Watch 6 Classic,52.06666666666667,52.0,78,20,58,11.14430597011566,0.21000576576851115,1562,-0.6153846153846154,-0.4649610678531702,0.1304084014206707,22,-48,14,-0.46830811215668017,-1.4178571428571427,1.0,1,0.018844221105527637,67,4.219507705176107
Steam Controller (1st generation),416.8333333333333,354.5,1105,164,941,225.31031687183986,0.5392349027646746,12505,-0.5983935742971888,-14.799777530589543,0.3232411649542184,649,-492,11,1.535817290468119,-21.324999999999996,2.8333333333333335,34,0.0067810131631432,447,6.104793232414985
Ray-Ban Meta,242.73333333333332,239.5,420,43,377,74.10575026421515,0.30404438018687835,7282,5.8604651162790695,2.328364849833148,0.07395655915053968,92,-133,15,-0.32978642003829434,-21.592857142857138,1.5,3,0.006154266958424508,1912,7.556427969440253
Lego Life,19.6,10.0,115,5,110,25.790954486667097,1.2519880818770435,588,-0.9111111111111111,-1.7477196885428252,0.3440227578072993,25,-48,4,2.580722666478916,6.046428571428571,6.0,24,0.2912621359223301,69,4.248495242049359
Xiaomi Mi Band 3,90.23333333333333,88.0,140,65,75,15.808612280090312,0.17327671479821313,2707,-0.4,-0.5968854282536152,0.10680040574275745,28,-54,12,1.5085892055518124,1.085714285714285,2.3333333333333335,7,0.025575447570332484,1545,7.343426229147367
Xiaomi Mi Band 2,117.23333333333333,113.0,274,40,234,48.13916169698937,0.40715389086824955,3517,0.2391304347826087,0.44293659621802006,0.0063425591681651695,221,-164,11,1.352968369127441,-2.1749999999999994,3.6,18,0.03044826614040034,159,5.075173815233827
DeepL Translator,40.43333333333333,37.5,93,23,70,15.182628962805559,0.36643513184566917,1213,1.36,0.07497219132369297,0.0018267743197095748,68,-60,12,1.427370827290976,-0.6321428571428571,0.0,0,0.0,494,6.20455776256869
Adidas Beau Jeu,170.8,115.0,773,51,722,163.19464860507324,0.9499106438013576,5124,1.5909090909090908,-5.2734149054505,0.07822588830010574,622,-369,6,2.8938611346877163,3.2071428571428564,3.8,19,0.022118742724097785,1425,7.262628600974241
Panasonic DP-UB820,20.2,15.0,76,5,71,16.156319712937925,0.762090552497072,606,-0.5131578947368421,-0.7826473859844272,0.175802823714896,17,-24,9,2.068081518053453,4.592857142857143,2.6,13,0.12264150943396228,39,3.6888794541139363
ImmunityBio COVID-19 vaccine,47.8,41.0,153,26,127,27.078158479975453,0.5548802967208085,1434,-0.803921568627451,-1.4353726362625139,0.21050844325460374,26,-95,10,2.7272578350035688,3.7178571428571434,3.1666666666666665,19,0.06489071038251366,112,4.727387818712341
