date,views
2017-11-09,131
2017-11-10,1657
2017-11-11,1019
2017-11-12,608
2017-11-13,477
2017-11-14,279
2017-11-15,298
2017-11-16,349
2017-11-17,222
2017-11-18,183
2017-11-19,251
2017-11-20,180
2017-11-21,180
2017-11-22,242
2017-11-23,168
2017-11-24,148
2017-11-25,153
2017-11-26,146
2017-11-27,173
2017-11-28,159
2017-11-29,181
2017-11-30,235
2017-12-01,407
2017-12-02,370
2017-12-03,265
2017-12-04,237
2017-12-05,198
2017-12-06,199
2017-12-07,197
2017-12-08,154
2017-12-09,170
2017-12-10,170
2017-12-11,165
2017-12-12,123
2017-12-13,155
2017-12-14,163
2017-12-15,208
2017-12-16,240
2017-12-17,349
2017-12-18,203
2017-12-19,237
2017-12-20,199
2017-12-21,161
2017-12-22,114
2017-12-23,126
2017-12-24,142
2017-12-25,172
2017-12-26,157
2017-12-27,133
2017-12-28,146
2017-12-29,123
2017-12-30,107
2017-12-31,114
2018-01-01,108
2018-01-02,123
2018-01-03,123
2018-01-04,151
2018-01-05,129
2018-01-06,135
2018-01-07,105
2018-01-08,136
2018-01-09,151
2018-01-10,138
2018-01-11,158
2018-01-12,123
2018-01-13,155
2018-01-14,146
2018-01-15,159
2018-01-16,151
2018-01-17,142
2018-01-18,132
2018-01-19,135
2018-01-20,107
2018-01-21,118
2018-01-22,121
2018-01-23,108
2018-01-24,135
2018-01-25,123
2018-01-26,136
2018-01-27,117
2018-01-28,186
2018-01-29,208
2018-01-30,235
2018-01-31,238
2018-02-01,216
2018-02-02,193
2018-02-03,250
2018-02-04,277
2018-02-05,240
2018-02-06,194
2018-02-07,216
2018-02-08,237
2018-02-09,260
2018-02-10,220
2018-02-11,196
2018-02-12,204
2018-02-13,181
2018-02-14,163
2018-02-15,161
2018-02-16,164
2018-02-17,171
2018-02-18,197
2018-02-19,148
2018-02-20,228
2018-02-21,189
2018-02-22,167
2018-02-23,198
2018-02-24,153
2018-02-25,235
2018-02-26,199
2018-02-27,195
2018-02-28,192
2018-03-01,5998
2018-03-02,881
2018-03-03,248
2018-03-04,206
2018-03-05,228
2018-03-06,327
2018-03-07,265
2018-03-08,261
2018-03-09,280
2018-03-10,256
2018-03-11,279
2018-03-12,260
2018-03-13,266
2018-03-14,243
2018-03-15,223
2018-03-16,308
2018-03-17,358
2018-03-18,274
2018-03-19,300
2018-03-20,310
2018-03-21,360
2018-03-22,318
2018-03-23,418
2018-03-24,1134
2018-03-25,2188
2018-03-26,1615
2018-03-27,978
2018-03-28,816
2018-03-29,501
2018-03-30,420
2018-03-31,429
2018-04-01,465
2018-04-02,405
2018-04-03,405
2018-04-04,468
2018-04-05,378
2018-04-06,344
2018-04-07,321
2018-04-08,329
2018-04-09,356
2018-04-10,347
2018-04-11,324
2018-04-12,352
2018-04-13,276
2018-04-14,275
2018-04-15,308
2018-04-16,291
2018-04-17,299
2018-04-18,331
2018-04-19,330
2018-04-20,327
2018-04-21,356
2018-04-22,384
2018-04-23,495
2018-04-24,464
2018-04-25,453
2018-04-26,398
2018-04-27,385
2018-04-28,367
2018-04-29,338
2018-04-30,422
2018-05-01,441
2018-05-02,562
2018-05-03,498
2018-05-04,560
2018-05-05,555
2018-05-06,625
2018-05-07,722
2018-05-08,784
2018-05-09,703
2018-05-10,686
2018-05-11,638
2018-05-12,566
2018-05-13,606
2018-05-14,815
2018-05-15,841
2018-05-16,889
2018-05-17,916
2018-05-18,962
2018-05-19,1503
2018-05-20,1331
2018-05-21,1173
2018-05-22,1148
2018-05-23,1192
2018-05-24,1151
2018-05-25,970
2018-05-26,1214
2018-05-27,1263
2018-05-28,1541
2018-05-29,1807
2018-05-30,1972
2018-05-31,1932
2018-06-01,2030
2018-06-02,2032
2018-06-03,2230
2018-06-04,3384
2018-06-05,3494
2018-06-06,5367
2018-06-07,7915
2018-06-08,5177
2018-06-09,4557
2018-06-10,5341
2018-06-11,5909
2018-06-12,6169
2018-06-13,8338
2018-06-14,17515
2018-06-15,14990
2018-06-16,14833
2018-06-17,14875
2018-06-18,12226
2018-06-19,11028
2018-06-20,13008
2018-06-21,16810
2018-06-22,9314
2018-06-23,8280
2018-06-24,8009
2018-06-25,6843
2018-06-26,8938
2018-06-27,8653
2018-06-28,7014
2018-06-29,5769
2018-06-30,11603
2018-07-01,13475
2018-07-02,10071
2018-07-03,8824
2018-07-04,5256
2018-07-05,3966
2018-07-06,8037
2018-07-07,8635
2018-07-08,4574
2018-07-09,3789
2018-07-10,6271
2018-07-11,7240
2018-07-12,4298
2018-07-13,3434
2018-07-14,4596
2018-07-15,11683
2018-07-16,5378
2018-07-17,3608
2018-07-18,2631
2018-07-19,2070
2018-07-20,1712
2018-07-21,1333
2018-07-22,1311
2018-07-23,1237
2018-07-24,933
2018-07-25,952
2018-07-26,1182
2018-07-27,911
2018-07-28,808
2018-07-29,720
2018-07-30,644
2018-07-31,625
2018-08-01,588
2018-08-02,548
2018-08-03,521
2018-08-04,465
2018-08-05,492
2018-08-06,449
2018-08-07,512
2018-08-08,436
2018-08-09,444
2018-08-10,422
2018-08-11,497
2018-08-12,437
2018-08-13,416
2018-08-14,397
2018-08-15,482
2018-08-16,397
2018-08-17,362
2018-08-18,350
2018-08-19,404
2018-08-20,360
2018-08-21,324
2018-08-22,345
2018-08-23,326
2018-08-24,346
2018-08-25,309
2018-08-26,319
2018-08-27,313
2018-08-28,301
2018-08-29,262
2018-08-30,279
2018-08-31,298
2018-09-01,280
2018-09-02,251
2018-09-03,245
2018-09-04,260
2018-09-05,319
2018-09-06,259
2018-09-07,282
2018-09-08,284
2018-09-09,294
2018-09-10,434
2018-09-11,306
2018-09-12,288
2018-09-13,256
2018-09-14,247
2018-09-15,204
2018-09-16,250
2018-09-17,309
2018-09-18,275
2018-09-19,269
2018-09-20,262
2018-09-21,246
2018-09-22,200
2018-09-23,231
2018-09-24,224
2018-09-25,245
2018-09-26,203
2018-09-27,264
2018-09-28,194
2018-09-29,200
2018-09-30,263
2018-10-01,233
2018-10-02,205
2018-10-03,245
2018-10-04,213
2018-10-05,185
2018-10-06,206
2018-10-07,214
2018-10-08,207
2018-10-09,16965
2018-10-10,1423
2018-10-11,492
2018-10-12,300
2018-10-13,284
2018-10-14,417
2018-10-15,249
2018-10-16,216
2018-10-17,210
2018-10-18,196
2018-10-19,199
2018-10-20,386
2018-10-21,188
2018-10-22,223
2018-10-23,207
2018-10-24,235
2018-10-25,217
2018-10-26,242
2018-10-27,173
2018-10-28,189
2018-10-29,184
2018-10-30,178
2018-10-31,166
2018-11-01,203
2018-11-02,158
2018-11-03,189
2018-11-04,184
2018-11-05,198
2018-11-06,195
2018-11-07,245
2018-11-08,210
2018-11-09,177
2018-11-10,172
2018-11-11,189
2018-11-12,199
2018-11-13,174
2018-11-14,211
2018-11-15,137
2018-11-16,135
2018-11-17,180
2018-11-18,189
2018-11-19,175
2018-11-20,156
2018-11-21,155
2018-11-22,185
2018-11-23,185
2018-11-24,179
2018-11-25,175
2018-11-26,180
2018-11-27,212
2018-11-28,178
2018-11-29,198
2018-11-30,168
2018-12-01,177
2018-12-02,191
2018-12-03,189
2018-12-04,162
2018-12-05,173
2018-12-06,163
2018-12-07,198
2018-12-08,192
2018-12-09,185
2018-12-10,148
2018-12-11,157
2018-12-12,172
2018-12-13,166
2018-12-14,182
2018-12-15,165
2018-12-16,156
2018-12-17,166
2018-12-18,166
2018-12-19,165
2018-12-20,152
2018-12-21,173
2018-12-22,162
2018-12-23,177
2018-12-24,124
2018-12-25,178
2018-12-26,154
2018-12-27,160
2018-12-28,181
2018-12-29,146
2018-12-30,148
2018-12-31,148
2019-01-01,112
2019-01-02,140
2019-01-03,126
2019-01-04,127
2019-01-05,149
2019-01-06,131
2019-01-07,116
2019-01-08,130
2019-01-09,132
2019-01-10,141
2019-01-11,163
2019-01-12,145
2019-01-13,148
2019-01-14,156
2019-01-15,131
2019-01-16,122
2019-01-17,161
2019-01-18,133
2019-01-19,138
2019-01-20,123
2019-01-21,141
2019-01-22,130
2019-01-23,130
2019-01-24,106
2019-01-25,142
2019-01-26,175
2019-01-27,151
2019-01-28,134
2019-01-29,138
2019-01-30,150
2019-01-31,148
2019-02-01,111
2019-02-02,124
2019-02-03,154
2019-02-04,142
2019-02-05,133
2019-02-06,139
2019-02-07,150
2019-02-08,131
2019-02-09,119
2019-02-10,137
2019-02-11,113
2019-02-12,167
2019-02-13,150
2019-02-14,234
2019-02-15,132
2019-02-16,112
2019-02-17,125
2019-02-18,124
2019-02-19,128
2019-02-20,128
2019-02-21,148
2019-02-22,115
2019-02-23,123
2019-02-24,126
2019-02-25,124
2019-02-26,156
2019-02-27,147
2019-02-28,105
2019-03-01,106
2019-03-02,135
2019-03-03,121
2019-03-04,122
2019-03-05,121
2019-03-06,116
2019-03-07,130
2019-03-08,123
2019-03-09,118
2019-03-10,144
2019-03-11,123
2019-03-12,135
2019-03-13,218
2019-03-14,142
2019-03-15,107
2019-03-16,132
2019-03-17,127
2019-03-18,126
2019-03-19,145
2019-03-20,153
2019-03-21,122
2019-03-22,119
2019-03-23,126
2019-03-24,160
2019-03-25,130
2019-03-26,144
2019-03-27,147
2019-03-28,176
2019-03-29,140
2019-03-30,138
2019-03-31,158
2019-04-01,144
2019-04-02,131
2019-04-03,125
2019-04-04,141
2019-04-05,141
2019-04-06,122
2019-04-07,135
2019-04-08,126
2019-04-09,133
2019-04-10,124
2019-04-11,134
2019-04-12,127
2019-04-13,128
2019-04-14,126
2019-04-15,119
2019-04-16,135
2019-04-17,145
2019-04-18,161
2019-04-19,115
2019-04-20,110
2019-04-21,135
2019-04-22,108
2019-04-23,107
2019-04-24,146
2019-04-25,138
2019-04-26,111
2019-04-27,137
2019-04-28,161
2019-04-29,144
2019-04-30,128
2019-05-01,125
2019-05-02,129
2019-05-03,106
2019-05-04,100
2019-05-05,116
2019-05-06,104
2019-05-07,117
2019-05-08,136
2019-05-09,127
2019-05-10,118
2019-05-11,132
2019-05-12,108
2019-05-13,122
2019-05-14,89
2019-05-15,125
2019-05-16,88
2019-05-17,118
2019-05-18,97
2019-05-19,119
2019-05-20,130
2019-05-21,147
2019-05-22,126
2019-05-23,128
2019-05-24,121
2019-05-25,114
2019-05-26,129
2019-05-27,129
2019-05-28,100
2019-05-29,125
2019-05-30,139
2019-05-31,127
2019-06-01,119
2019-06-02,107
2019-06-03,117
2019-06-04,107
2019-06-05,133
2019-06-06,106
2019-06-07,150
2019-06-08,148
2019-06-09,182
2019-06-10,135
2019-06-11,155
2019-06-12,146
2019-06-13,150
2019-06-14,134
2019-06-15,144
2019-06-16,140
2019-06-17,155
2019-06-18,148
2019-06-19,140
2019-06-20,179
2019-06-21,131
2019-06-22,151
2019-06-23,177
2019-06-24,153
2019-06-25,121
2019-06-26,144
2019-06-27,140
2019-06-28,153
2019-06-29,124
2019-06-30,150
2019-07-01,155
2019-07-02,158
2019-07-03,180
2019-07-04,127
2019-07-05,153
