date,views
2015-11-21,153
2015-11-22,93
2015-11-23,68
2015-11-24,73
2015-11-25,81
2015-11-26,62
2015-11-27,99
2015-11-28,85
2015-11-29,88
2015-11-30,117
2015-12-01,92
2015-12-02,83
2015-12-03,112
2015-12-04,149
2015-12-05,138
2015-12-06,140
2015-12-07,145
2015-12-08,162
2015-12-09,189
2015-12-10,143
2015-12-11,119
2015-12-12,121
2015-12-13,198
2015-12-14,211
2015-12-15,275
2015-12-16,279
2015-12-17,231
2015-12-18,182
2015-12-19,255
2015-12-20,199
2015-12-21,174
2015-12-22,229
2015-12-23,168
2015-12-24,175
2015-12-25,192
2015-12-26,192
2015-12-27,150
2015-12-28,195
2015-12-29,301
2015-12-30,252
2015-12-31,183
2016-01-01,344
2016-01-02,477
2016-01-03,443
2016-01-04,392
2016-01-05,360
2016-01-06,314
2016-01-07,327
2016-01-08,281
2016-01-09,378
2016-01-10,390
2016-01-11,446
2016-01-12,363
2016-01-13,395
2016-01-14,409
2016-01-15,382
2016-01-16,319
2016-01-17,343
2016-01-18,426
2016-01-19,454
2016-01-20,381
2016-01-21,317
2016-01-22,271
2016-01-23,284
2016-01-24,329
2016-01-25,413
2016-01-26,431
2016-01-27,555
2016-01-28,504
2016-01-29,444
2016-01-30,370
2016-01-31,429
2016-02-01,413
2016-02-02,415
2016-02-03,466
2016-02-04,419
2016-02-05,422
2016-02-06,329
2016-02-07,367
2016-02-08,341
2016-02-09,467
2016-02-10,499
2016-02-11,739
2016-02-12,1993
2016-02-13,1104
2016-02-14,1285
2016-02-15,1295
2016-02-16,1755
2016-02-17,1406
2016-02-18,1364
2016-02-19,1484
2016-02-20,959
2016-02-21,885
2016-02-22,874
2016-02-23,886
2016-02-24,1048
2016-02-25,872
2016-02-26,742
2016-02-27,720
2016-02-28,600
2016-02-29,678
2016-03-01,626
2016-03-02,617
2016-03-03,660
2016-03-04,525
2016-03-05,387
2016-03-06,375
2016-03-07,414
2016-03-08,441
2016-03-09,441
2016-03-10,377
2016-03-11,389
2016-03-12,324
2016-03-13,344
2016-03-14,386
2016-03-15,459
2016-03-16,390
2016-03-17,448
2016-03-18,415
2016-03-19,348
2016-03-20,406
2016-03-21,388
2016-03-22,408
2016-03-23,474
2016-03-24,503
2016-03-25,471
2016-03-26,507
2016-03-27,439
2016-03-28,487
2016-03-29,444
2016-03-30,458
2016-03-31,492
2016-04-01,501
2016-04-02,467
2016-04-03,520
2016-04-04,566
2016-04-05,530
2016-04-06,542
2016-04-07,721
2016-04-08,592
2016-04-09,586
2016-04-10,597
2016-04-11,659
2016-04-12,570
2016-04-13,561
2016-04-14,580
2016-04-15,717
2016-04-16,636
2016-04-17,621
2016-04-18,611
2016-04-19,671
2016-04-20,676
2016-04-21,677
2016-04-22,660
2016-04-23,675
2016-04-24,665
2016-04-25,792
2016-04-26,692
2016-04-27,543
2016-04-28,524
2016-04-29,510
2016-04-30,601
2016-05-01,575
2016-05-02,624
2016-05-03,658
2016-05-04,696
2016-05-05,734
2016-05-06,662
2016-05-07,564
2016-05-08,651
2016-05-09,861
2016-05-10,808
2016-05-11,745
2016-05-12,838
2016-05-13,855
2016-05-14,713
2016-05-15,793
2016-05-16,837
2016-05-17,786
2016-05-18,719
2016-05-19,817
2016-05-20,872
2016-05-21,778
2016-05-22,790
2016-05-23,756
2016-05-24,713
2016-05-25,710
2016-05-26,625
2016-05-27,608
2016-05-28,625
2016-05-29,638
2016-05-30,702
2016-05-31,679
2016-06-01,718
2016-06-02,792
2016-06-03,729
2016-06-04,912
2016-06-05,659
2016-06-06,994
2016-06-07,896
2016-06-08,921
2016-06-09,905
2016-06-10,931
2016-06-11,1199
2016-06-12,845
2016-06-13,834
2016-06-14,744
2016-06-15,798
2016-06-16,705
2016-06-17,696
2016-06-18,688
2016-06-19,839
2016-06-20,775
2016-06-21,782
2016-06-22,651
2016-06-23,746
2016-06-24,550
2016-06-25,512
2016-06-26,553
2016-06-27,453
2016-06-28,475
2016-06-29,621
2016-06-30,668
2016-07-01,484
2016-07-02,476
2016-07-03,676
2016-07-04,883
2016-07-05,779
2016-07-06,769
2016-07-07,693
2016-07-08,653
2016-07-09,628
2016-07-10,616
2016-07-11,679
2016-07-12,623
2016-07-13,597
2016-07-14,735
2016-07-15,709
2016-07-16,631
2016-07-17,632
2016-07-18,735
2016-07-19,641
2016-07-20,682
2016-07-21,757
2016-07-22,690
2016-07-23,642
2016-07-24,657
