date,views
2020-04-25,836
2020-04-26,43
2020-04-27,135
2020-04-28,101
2020-04-29,119
2020-04-30,139
2020-05-01,32
2020-05-02,37
2020-05-03,33
2020-05-04,33
2020-05-05,64
2020-05-06,38
2020-05-07,31
2020-05-08,22
2020-05-09,102
2020-05-10,123
2020-05-11,20
2020-05-12,17
2020-05-13,28
2020-05-14,17
2020-05-15,25
2020-05-16,21
2020-05-17,46
2020-05-18,16
2020-05-19,14
2020-05-20,18
2020-05-21,19
2020-05-22,21
2020-05-23,11
2020-05-24,22
2020-05-25,62
2020-05-26,34
2020-05-27,15
2020-05-28,16
2020-05-29,95
2020-05-30,22
2020-05-31,27
2020-06-01,15
2020-06-02,21
2020-06-03,7
2020-06-04,17
2020-06-05,103
2020-06-06,17
2020-06-07,24
2020-06-08,17
2020-06-09,19
2020-06-10,24
2020-06-11,84
2020-06-12,22
2020-06-13,18
2020-06-14,31
2020-06-15,23
2020-06-16,22
2020-06-17,20
2020-06-18,21
2020-06-19,21
2020-06-20,38
2020-06-21,24
2020-06-22,20
2020-06-23,26
2020-06-24,27
2020-06-25,14
2020-06-26,57
2020-06-27,20
2020-06-28,15
2020-06-29,21
2020-06-30,18
2020-07-01,16
2020-07-02,24
2020-07-03,22
2020-07-04,23
2020-07-05,17
2020-07-06,14
2020-07-07,25
2020-07-08,23
2020-07-09,47
2020-07-10,24
2020-07-11,89
2020-07-12,13
2020-07-13,20
2020-07-14,22
2020-07-15,17
2020-07-16,9
2020-07-17,14
2020-07-18,25
2020-07-19,21
2020-07-20,14
2020-07-21,18
2020-07-22,17
2020-07-23,14
2020-07-24,21
2020-07-25,20
2020-07-26,19
2020-07-27,36
2020-07-28,22
2020-07-29,17
2020-07-30,13
2020-07-31,11
2020-08-01,14
2020-08-02,9
2020-08-03,14
2020-08-04,13
2020-08-05,12
2020-08-06,11
2020-08-07,47
2020-08-08,18
2020-08-09,17
2020-08-10,7
2020-08-11,13
2020-08-12,25
2020-08-13,19
2020-08-14,14
2020-08-15,10
2020-08-16,24
2020-08-17,9
2020-08-18,27
2020-08-19,16
2020-08-20,17
2020-08-21,17
2020-08-22,9
2020-08-23,12
2020-08-24,14
2020-08-25,20
2020-08-26,12
2020-08-27,13
2020-08-28,16
2020-08-29,15
2020-08-30,11
2020-08-31,14
2020-09-01,15
2020-09-02,13
2020-09-03,13
2020-09-04,20
2020-09-05,23
2020-09-06,17
2020-09-07,14
2020-09-08,13
2020-09-09,16
2020-09-10,17
2020-09-11,22
2020-09-12,12
2020-09-13,29
2020-09-14,19
2020-09-15,16
2020-09-16,16
2020-09-17,18
2020-09-18,14
2020-09-19,14
2020-09-20,24
2020-09-21,13
2020-09-22,13
2020-09-23,18
2020-09-24,16
2020-09-25,15
2020-09-26,25
2020-09-27,10
2020-09-28,17
2020-09-29,14
2020-09-30,18
2020-10-01,26
2020-10-02,21
2020-10-03,14
2020-10-04,11
2020-10-05,8
2020-10-06,14
2020-10-07,11
2020-10-08,15
2020-10-09,14
2020-10-10,15
2020-10-11,13
2020-10-12,19
2020-10-13,7
2020-10-14,14
2020-10-15,12
2020-10-16,15
2020-10-17,14
2020-10-18,17
2020-10-19,15
2020-10-20,21
2020-10-21,15
2020-10-22,17
2020-10-23,12
2020-10-24,19
2020-10-25,15
2020-10-26,19
2020-10-27,16
2020-10-28,11
2020-10-29,18
2020-10-30,13
2020-10-31,12
2020-11-01,14
2020-11-02,10
2020-11-03,24
2020-11-04,22
2020-11-05,19
2020-11-06,10
2020-11-07,9
2020-11-08,7
2020-11-09,10
2020-11-10,17
2020-11-11,21
2020-11-12,17
2020-11-13,15
2020-11-14,24
2020-11-15,7
2020-11-16,16
2020-11-17,13
2020-11-18,13
2020-11-19,15
2020-11-20,13
2020-11-21,12
2020-11-22,16
2020-11-23,20
2020-11-24,15
2020-11-25,10
2020-11-26,21
2020-11-27,7
2020-11-28,7
2020-11-29,9
2020-11-30,20
2020-12-01,9
2020-12-02,14
2020-12-03,11
2020-12-04,11
2020-12-05,15
2020-12-06,9
2020-12-07,7
2020-12-08,17
2020-12-09,19
2020-12-10,10
2020-12-11,23
2020-12-12,13
2020-12-13,21
2020-12-14,15
2020-12-15,12
2020-12-16,15
2020-12-17,18
2020-12-18,19
2020-12-19,16
2020-12-20,22
2020-12-21,13
2020-12-22,8
2020-12-23,10
2020-12-24,19
2020-12-25,11
2020-12-26,15
2020-12-27,17
2020-12-28,19
2020-12-29,13
2020-12-30,9
2020-12-31,13
2021-01-01,7
2021-01-02,21
2021-01-03,17
2021-01-04,13
2021-01-05,22
2021-01-06,22
2021-01-07,15
2021-01-08,13
2021-01-09,12
2021-01-10,26
2021-01-11,23
2021-01-12,13
2021-01-13,12
2021-01-14,22
2021-01-15,17
2021-01-16,16
2021-01-17,7
2021-01-18,17
2021-01-19,22
2021-01-20,18
2021-01-21,14
2021-01-22,14
2021-01-23,25
2021-01-24,16
2021-01-25,13
2021-01-26,15
2021-01-27,18
2021-01-28,24
2021-01-29,17
2021-01-30,14
2021-01-31,7
2021-02-01,17
2021-02-02,16
2021-02-03,23
2021-02-04,19
2021-02-05,31
2021-02-06,16
2021-02-07,18
2021-02-08,16
2021-02-09,20
2021-02-10,12
2021-02-11,16
2021-02-12,21
2021-02-13,26
2021-02-14,15
2021-02-15,21
2021-02-16,22
2021-02-17,16
2021-02-18,31
2021-02-19,17
2021-02-20,27
2021-02-21,14
2021-02-22,17
2021-02-23,15
2021-02-24,22
2021-02-25,25
2021-02-26,24
2021-02-27,12
2021-02-28,19
2021-03-01,8
2021-03-02,17
2021-03-03,19
2021-03-04,27
2021-03-05,31
2021-03-06,11
2021-03-07,22
2021-03-08,24
2021-03-09,31
2021-03-10,13
2021-03-11,30
2021-03-12,17
2021-03-13,25
2021-03-14,21
2021-03-15,12
2021-03-16,17
2021-03-17,19
2021-03-18,20
2021-03-19,15
2021-03-20,24
2021-03-21,13
2021-03-22,17
2021-03-23,21
2021-03-24,16
2021-03-25,16
2021-03-26,7
2021-03-27,17
2021-03-28,10
2021-03-29,17
2021-03-30,18
2021-03-31,19
2021-04-01,19
2021-04-02,19
2021-04-03,41
2021-04-04,22
2021-04-05,19
2021-04-06,11
2021-04-07,19
2021-04-08,12
2021-04-09,23
2021-04-10,16
2021-04-11,11
2021-04-12,12
2021-04-13,19
2021-04-14,21
2021-04-15,15
2021-04-16,18
2021-04-17,10
2021-04-18,25
2021-04-19,13
2021-04-20,290
2021-04-21,442
2021-04-22,267
2021-04-23,157
2021-04-24,131
2021-04-25,101
2021-04-26,130
2021-04-27,125
2021-04-28,80
2021-04-29,88
2021-04-30,118
2021-05-01,141
2021-05-02,134
2021-05-03,152
2021-05-04,146
2021-05-05,99
2021-05-06,126
2021-05-07,88
2021-05-08,91
2021-05-09,80
2021-05-10,134
2021-05-11,109
2021-05-12,121
2021-05-13,67
2021-05-14,42
2021-05-15,36
2021-05-16,1056
2021-05-17,1228
2021-05-18,1129
2021-05-19,882
2021-05-20,992
2021-05-21,807
2021-05-22,740
2021-05-23,745
2021-05-24,952
2021-05-25,950
2021-05-26,1005
2021-05-27,935
2021-05-28,947
2021-05-29,951
2021-05-30,859
2021-05-31,823
2021-06-01,848
2021-06-02,894
2021-06-03,926
2021-06-04,1153
2021-06-05,886
2021-06-06,975
2021-06-07,933
2021-06-08,786
2021-06-09,829
2021-06-10,890
2021-06-11,745
2021-06-12,775
2021-06-13,738
2021-06-14,786
2021-06-15,744
2021-06-16,741
2021-06-17,730
2021-06-18,733
2021-06-19,680
2021-06-20,699
2021-06-21,609
2021-06-22,722
2021-06-23,740
2021-06-24,694
2021-06-25,601
2021-06-26,499
2021-06-27,572
2021-06-28,567
2021-06-29,670
2021-06-30,623
2021-07-01,661
2021-07-02,578
2021-07-03,582
2021-07-04,580
2021-07-05,734
2021-07-06,831
2021-07-07,622
2021-07-08,555
2021-07-09,563
2021-07-10,591
2021-07-11,478
2021-07-12,590
2021-07-13,531
2021-07-14,578
2021-07-15,552
2021-07-16,526
2021-07-17,478
2021-07-18,654
2021-07-19,804
2021-07-20,658
2021-07-21,639
2021-07-22,884
2021-07-23,1763
2021-07-24,1758
2021-07-25,1229
2021-07-26,1006
2021-07-27,765
2021-07-28,656
2021-07-29,667
2021-07-30,645
2021-07-31,544
2021-08-01,577
2021-08-02,643
2021-08-03,608
2021-08-04,563
2021-08-05,546
2021-08-06,605
2021-08-07,557
2021-08-08,770
2021-08-09,582
2021-08-10,720
2021-08-11,649
2021-08-12,902
2021-08-13,880
2021-08-14,742
2021-08-15,755
2021-08-16,630
2021-08-17,671
2021-08-18,624
2021-08-19,598
2021-08-20,487
2021-08-21,575
2021-08-22,538
2021-08-23,532
