date,views
2020-08-18,650
2020-08-19,680
2020-08-20,337
2020-08-21,231
2020-08-22,183
2020-08-23,181
2020-08-24,188
2020-08-25,179
2020-08-26,161
2020-08-27,152
2020-08-28,129
2020-08-29,162
2020-08-30,116
2020-08-31,121
2020-09-01,160
2020-09-02,120
2020-09-03,607
2020-09-04,117
2020-09-05,107
2020-09-06,98
2020-09-07,111
2020-09-08,119
2020-09-09,106
2020-09-10,112
2020-09-11,92
2020-09-12,100
2020-09-13,102
2020-09-14,122
2020-09-15,113
2020-09-16,104
2020-09-17,144
2020-09-18,142
2020-09-19,150
2020-09-20,123
2020-09-21,116
2020-09-22,155
2020-09-23,138
2020-09-24,128
2020-09-25,124
2020-09-26,95
2020-09-27,376
2020-09-28,98
2020-09-29,107
2020-09-30,83
2020-10-01,104
2020-10-02,95
2020-10-03,107
2020-10-04,87
2020-10-05,84
2020-10-06,108
2020-10-07,85
2020-10-08,81
2020-10-09,88
2020-10-10,84
2020-10-11,92
2020-10-12,116
2020-10-13,120
2020-10-14,92
2020-10-15,90
2020-10-16,106
2020-10-17,108
2020-10-18,112
2020-10-19,137
2020-10-20,262
2020-10-21,109
2020-10-22,115
2020-10-23,85
2020-10-24,94
2020-10-25,67
2020-10-26,110
2020-10-27,106
2020-10-28,93
2020-10-29,103
2020-10-30,94
2020-10-31,65
2020-11-01,1031
2020-11-02,106
2020-11-03,139
2020-11-04,108
2020-11-05,97
2020-11-06,104
2020-11-07,95
2020-11-08,106
2020-11-09,109
2020-11-10,117
2020-11-11,145
2020-11-12,144
2020-11-13,122
2020-11-14,102
2020-11-15,110
2020-11-16,115
2020-11-17,151
2020-11-18,156
2020-11-19,137
2020-11-20,134
2020-11-21,131
2020-11-22,139
2020-11-23,125
2020-11-24,133
2020-11-25,114
2020-11-26,146
2020-11-27,138
2020-11-28,130
2020-11-29,114
2020-11-30,134
2020-12-01,107
2020-12-02,148
2020-12-03,153
2020-12-04,116
2020-12-05,129
2020-12-06,114
2020-12-07,123
2020-12-08,139
2020-12-09,121
2020-12-10,139
2020-12-11,141
2020-12-12,124
2020-12-13,141
2020-12-14,124
2020-12-15,136
2020-12-16,150
2020-12-17,146
2020-12-18,143
2020-12-19,146
2020-12-20,131
2020-12-21,109
2020-12-22,113
2020-12-23,112
2020-12-24,118
2020-12-25,90
2020-12-26,91
2020-12-27,107
2020-12-28,113
2020-12-29,113
2020-12-30,111
2020-12-31,138
2021-01-01,121
2021-01-02,113
2021-01-03,117
2021-01-04,105
2021-01-05,121
2021-01-06,140
2021-01-07,99
2021-01-08,133
2021-01-09,105
2021-01-10,120
2021-01-11,145
2021-01-12,120
2021-01-13,119
2021-01-14,120
2021-01-15,122
2021-01-16,104
2021-01-17,126
2021-01-18,141
2021-01-19,158
2021-01-20,139
2021-01-21,136
2021-01-22,152
2021-01-23,118
2021-01-24,145
2021-01-25,142
2021-01-26,134
2021-01-27,151
2021-01-28,161
2021-01-29,125
2021-01-30,100
2021-01-31,106
2021-02-01,135
2021-02-02,105
2021-02-03,124
2021-02-04,125
2021-02-05,141
2021-02-06,90
2021-02-07,116
2021-02-08,141
2021-02-09,110
2021-02-10,140
2021-02-11,129
2021-02-12,117
2021-02-13,124
2021-02-14,116
2021-02-15,124
2021-02-16,140
2021-02-17,157
2021-02-18,148
2021-02-19,111
2021-02-20,121
2021-02-21,109
2021-02-22,120
2021-02-23,132
2021-02-24,145
2021-02-25,144
2021-02-26,139
2021-02-27,136
2021-02-28,116
2021-03-01,153
2021-03-02,141
2021-03-03,147
2021-03-04,138
2021-03-05,163
2021-03-06,148
2021-03-07,118
2021-03-08,126
2021-03-09,111
2021-03-10,109
2021-03-11,160
2021-03-12,138
2021-03-13,114
2021-03-14,111
2021-03-15,137
2021-03-16,129
