date,views
2015-07-01,6184
2015-07-02,4243
2015-07-03,3318
2015-07-04,2284
2015-07-05,2010
2015-07-06,2121
2015-07-07,1734
2015-07-08,1686
2015-07-09,1470
2015-07-10,1334
2015-07-11,1351
2015-07-12,1319
2015-07-13,1386
2015-07-14,1253
2015-07-15,1082
2015-07-16,1227
2015-07-17,1051
2015-07-18,860
2015-07-19,1344
2015-07-20,1030
2015-07-21,1215
2015-07-22,1054
2015-07-23,835
2015-07-24,746
2015-07-25,736
2015-07-26,1449
2015-07-27,1534
2015-07-28,1627
2015-07-29,1479
2015-07-30,1384
2015-07-31,1438
2015-08-01,1126
2015-08-02,1294
2015-08-03,1344
2015-08-04,1751
2015-08-05,1786
2015-08-06,2062
2015-08-07,2381
2015-08-08,1748
2015-08-09,1611
2015-08-10,1661
2015-08-11,1720
2015-08-12,1638
2015-08-13,1432
2015-08-14,1572
2015-08-15,1583
2015-08-16,1489
2015-08-17,1740
2015-08-18,1678
2015-08-19,1503
2015-08-20,1272
2015-08-21,1357
2015-08-22,1438
2015-08-23,1192
2015-08-24,1222
2015-08-25,1304
2015-08-26,1143
2015-08-27,1124
2015-08-28,1339
2015-08-29,1309
2015-08-30,1444
2015-08-31,1690
2015-09-01,1254
2015-09-02,1204
2015-09-03,1142
2015-09-04,1136
2015-09-05,1153
2015-09-06,1166
2015-09-07,1173
2015-09-08,1214
2015-09-09,1466
2015-09-10,1391
2015-09-11,1207
2015-09-12,1179
2015-09-13,1231
2015-09-14,1181
2015-09-15,1304
2015-09-16,1230
2015-09-17,1110
2015-09-18,1122
2015-09-19,1099
2015-09-20,1456
2015-09-21,2320
2015-09-22,1540
2015-09-23,1392
2015-09-24,1268
2015-09-25,1233
2015-09-26,1209
2015-09-27,1212
2015-09-28,1135
2015-09-29,1201
2015-09-30,1293
2015-10-01,1049
2015-10-02,914
2015-10-03,880
2015-10-04,995
2015-10-05,817
2015-10-06,764
2015-10-07,766
2015-10-08,679
2015-10-09,677
2015-10-10,798
2015-10-11,785
2015-10-12,844
2015-10-13,782
2015-10-14,792
2015-10-15,785
2015-10-16,776
2015-10-17,672
2015-10-18,665
2015-10-19,716
2015-10-20,1201
2015-10-21,1218
2015-10-22,1098
2015-10-23,921
2015-10-24,928
2015-10-25,997
2015-10-26,1004
2015-10-27,1012
2015-10-28,1087
2015-10-29,894
2015-10-30,772
2015-10-31,660
2015-11-01,746
2015-11-02,752
2015-11-03,705
2015-11-04,622
2015-11-05,837
2015-11-06,926
2015-11-07,997
2015-11-08,846
2015-11-09,794
2015-11-10,926
2015-11-11,1109
2015-11-12,1001
2015-11-13,1152
2015-11-14,944
2015-11-15,897
2015-11-16,1046
2015-11-17,1136
2015-11-18,902
2015-11-19,924
2015-11-20,1091
2015-11-21,844
2015-11-22,880
2015-11-23,871
2015-11-24,775
2015-11-25,837
2015-11-26,820
2015-11-27,738
2015-11-28,685
2015-11-29,784
2015-11-30,833
2015-12-01,1004
2015-12-02,846
2015-12-03,771
2015-12-04,750
2015-12-05,718
2015-12-06,700
2015-12-07,820
2015-12-08,835
2015-12-09,840
2015-12-10,791
2015-12-11,753
2015-12-12,675
2015-12-13,872
2015-12-14,1003
2015-12-15,1058
2015-12-16,956
2015-12-17,795
2015-12-18,786
2015-12-19,765
2015-12-20,912
2015-12-21,895
2015-12-22,812
2015-12-23,916
2015-12-24,954
2015-12-25,845
2015-12-26,845
2015-12-27,807
2015-12-28,833
2015-12-29,893
2015-12-30,775
2015-12-31,720
2016-01-01,720
2016-01-02,742
2016-01-03,689
2016-01-04,700
2016-01-05,700
2016-01-06,782
2016-01-07,683
2016-01-08,601
2016-01-09,616
2016-01-10,726
2016-01-11,1108
2016-01-12,823
2016-01-13,698
2016-01-14,686
2016-01-15,738
2016-01-16,933
2016-01-17,867
2016-01-18,862
2016-01-19,773
2016-01-20,732
2016-01-21,718
2016-01-22,772
2016-01-23,695
2016-01-24,679
2016-01-25,649
2016-01-26,678
2016-01-27,751
2016-01-28,924
2016-01-29,1053
2016-01-30,1126
2016-01-31,926
2016-02-01,994
2016-02-02,1169
2016-02-03,875
2016-02-04,1190
2016-02-05,1249
2016-02-06,1335
2016-02-07,998
2016-02-08,1025
2016-02-09,1044
2016-02-10,1015
2016-02-11,896
2016-02-12,855
2016-02-13,947
2016-02-14,984
2016-02-15,1072
2016-02-16,1274
2016-02-17,1092
2016-02-18,952
2016-02-19,845
2016-02-20,797
2016-02-21,776
2016-02-22,723
2016-02-23,761
2016-02-24,774
2016-02-25,809
2016-02-26,761
2016-02-27,678
2016-02-28,839
2016-02-29,693
2016-03-01,663
2016-03-02,606
2016-03-03,630
2016-03-04,643
2016-03-05,641
2016-03-06,632
2016-03-07,660
2016-03-08,655
2016-03-09,600
2016-03-10,626
2016-03-11,586
2016-03-12,495
2016-03-13,569
2016-03-14,625
2016-03-15,668
2016-03-16,650
2016-03-17,593
2016-03-18,520
2016-03-19,499
2016-03-20,622
2016-03-21,689
2016-03-22,634
2016-03-23,716
2016-03-24,661
2016-03-25,744
2016-03-26,682
2016-03-27,604
2016-03-28,647
2016-03-29,701
2016-03-30,763
2016-03-31,678
2016-04-01,933
2016-04-02,998
2016-04-03,996
2016-04-04,859
2016-04-05,870
2016-04-06,831
2016-04-07,683
2016-04-08,662
2016-04-09,639
2016-04-10,771
2016-04-11,746
2016-04-12,767
2016-04-13,740
2016-04-14,599
2016-04-15,580
2016-04-16,638
2016-04-17,632
2016-04-18,728
2016-04-19,688
2016-04-20,796
2016-04-21,811
2016-04-22,627
2016-04-23,606
2016-04-24,935
2016-04-25,826
2016-04-26,768
2016-04-27,976
2016-04-28,918
2016-04-29,1768
2016-04-30,955
2016-05-01,873
2016-05-02,743
2016-05-03,703
2016-05-04,862
2016-05-05,1057
2016-05-06,1170
2016-05-07,878
2016-05-08,821
2016-05-09,1047
2016-05-10,882
2016-05-11,727
2016-05-12,838
2016-05-13,1241
2016-05-14,1032
2016-05-15,994
2016-05-16,1018
2016-05-17,882
2016-05-18,836
2016-05-19,733
2016-05-20,656
2016-05-21,621
2016-05-22,660
2016-05-23,762
2016-05-24,809
2016-05-25,734
2016-05-26,632
2016-05-27,572
2016-05-28,557
2016-05-29,565
2016-05-30,630
2016-05-31,634
2016-06-01,576
2016-06-02,515
2016-06-03,582
2016-06-04,602
2016-06-05,610
2016-06-06,673
2016-06-07,610
2016-06-08,636
2016-06-09,602
2016-06-10,596
2016-06-11,566
2016-06-12,588
2016-06-13,806
2016-06-14,812
2016-06-15,798
2016-06-16,823
2016-06-17,606
2016-06-18,525
2016-06-19,519
2016-06-20,665
2016-06-21,597
2016-06-22,578
2016-06-23,515
2016-06-24,500
2016-06-25,473
2016-06-26,473
2016-06-27,508
2016-06-28,535
2016-06-29,544
2016-06-30,674
2016-07-01,1026
2016-07-02,648
2016-07-03,610
2016-07-04,642
2016-07-05,586
2016-07-06,533
2016-07-07,526
2016-07-08,549
2016-07-09,445
2016-07-10,465
2016-07-11,514
2016-07-12,500
2016-07-13,478
2016-07-14,488
2016-07-15,617
2016-07-16,476
2016-07-17,530
2016-07-18,516
2016-07-19,592
2016-07-20,576
2016-07-21,551
2016-07-22,573
2016-07-23,463
2016-07-24,475
2016-07-25,546
2016-07-26,516
2016-07-27,620
2016-07-28,603
2016-07-29,535
2016-07-30,563
2016-07-31,633
2016-08-01,672
2016-08-02,834
2016-08-03,960
2016-08-04,1044
2016-08-05,1275
2016-08-06,789
2016-08-07,665
2016-08-08,642
2016-08-09,615
2016-08-10,599
2016-08-11,611
2016-08-12,593
2016-08-13,533
2016-08-14,547
2016-08-15,606
2016-08-16,628
2016-08-17,703
2016-08-18,521
2016-08-19,1047
2016-08-20,962
2016-08-21,1649
2016-08-22,1163
2016-08-23,1038
2016-08-24,975
2016-08-25,952
2016-08-26,1002
2016-08-27,1003
2016-08-28,854
2016-08-29,984
2016-08-30,846
2016-08-31,845
2016-09-01,704
2016-09-02,920
2016-09-03,807
2016-09-04,798
2016-09-05,875
2016-09-06,909
2016-09-07,1140
2016-09-08,1068
2016-09-09,940
2016-09-10,723
2016-09-11,801
2016-09-12,881
2016-09-13,1085
2016-09-14,1302
2016-09-15,1324
2016-09-16,1196
2016-09-17,1174
2016-09-18,1006
2016-09-19,1163
2016-09-20,1005
2016-09-21,879
2016-09-22,882
2016-09-23,885
2016-09-24,841
2016-09-25,828
2016-09-26,879
2016-09-27,910
2016-09-28,1010
2016-09-29,1059
2016-09-30,786
2016-10-01,676
2016-10-02,733
2016-10-03,795
2016-10-04,686
2016-10-05,728
2016-10-06,753
2016-10-07,686
2016-10-08,641
2016-10-09,576
2016-10-10,652
2016-10-11,581
2016-10-12,801
