date,views
2015-12-30,2
2016-05-20,150
2016-05-21,335
2016-05-22,222
2016-05-23,263
2016-05-24,210
2016-05-25,178
2016-05-26,142
2016-05-27,166
2016-05-28,168
2016-05-29,159
2016-05-30,177
2016-05-31,153
2016-06-01,204
2016-06-02,228
2016-06-03,189
2016-06-04,164
2016-06-05,162
2016-06-06,210
2016-06-07,157
2016-06-08,192
2016-06-09,171
2016-06-10,196
2016-06-11,157
2016-06-12,153
2016-06-13,181
2016-06-14,154
2016-06-15,170
2016-06-16,163
2016-06-17,187
2016-06-18,131
2016-06-19,187
2016-06-20,187
2016-06-21,162
2016-06-22,179
2016-06-23,185
2016-06-24,135
2016-06-25,134
2016-06-26,137
2016-06-27,198
2016-06-28,234
2016-06-29,166
2016-06-30,177
2016-07-01,183
2016-07-02,142
2016-07-03,174
2016-07-04,198
2016-07-05,170
2016-07-06,182
2016-07-07,217
2016-07-08,193
2016-07-09,186
2016-07-10,162
2016-07-11,198
2016-07-12,208
2016-07-13,194
2016-07-14,148
2016-07-15,176
2016-07-16,179
2016-07-17,175
2016-07-18,204
2016-07-19,178
2016-07-20,197
2016-07-21,238
2016-07-22,210
2016-07-23,201
2016-07-24,200
2016-07-25,239
2016-07-26,252
2016-07-27,216
2016-07-28,258
2016-07-29,235
2016-07-30,224
2016-07-31,203
2016-08-01,249
2016-08-02,235
2016-08-03,220
2016-08-04,223
2016-08-05,237
2016-08-06,193
2016-08-07,210
2016-08-08,242
2016-08-09,263
2016-08-10,252
2016-08-11,225
2016-08-12,203
2016-08-13,189
2016-08-14,204
2016-08-15,257
2016-08-16,216
2016-08-17,221
2016-08-18,203
2016-08-19,225
2016-08-20,189
2016-08-21,217
2016-08-22,245
2016-08-23,251
2016-08-24,242
2016-08-25,229
2016-08-26,220
2016-08-27,197
2016-08-28,232
2016-08-29,247
2016-08-30,290
2016-08-31,585
2016-09-01,431
2016-09-02,341
2016-09-03,302
2016-09-04,287
2016-09-05,313
2016-09-06,349
2016-09-07,308
2016-09-08,307
2016-09-09,282
2016-09-10,236
2016-09-11,256
2016-09-12,252
2016-09-13,268
2016-09-14,228
2016-09-15,241
2016-09-16,211
2016-09-17,222
2016-09-18,274
2016-09-19,270
2016-09-20,236
2016-09-21,276
2016-09-22,279
2016-09-23,263
2016-09-24,264
2016-09-25,215
2016-09-26,303
2016-09-27,283
2016-09-28,275
2016-09-29,261
2016-09-30,248
2016-10-01,184
2016-10-02,241
2016-10-03,278
2016-10-04,269
2016-10-05,237
2016-10-06,254
2016-10-07,251
2016-10-08,204
2016-10-09,232
2016-10-10,230
2016-10-11,280
2016-10-12,383
2016-10-13,421
