date,views
2019-08-28,1
2021-12-01,1
2023-08-18,1
2023-09-03,1
2023-09-06,1
2023-09-10,1
2023-09-12,1
2023-09-13,1
2023-09-16,1
2023-09-17,1
2023-09-21,1
2023-09-22,1
2023-09-23,1
2023-09-25,1
2023-09-29,2
2023-10-05,1
2023-10-06,1
2023-10-08,3
2023-11-07,1
2023-11-11,1
2023-11-12,1
2023-11-14,1
2023-11-16,1
2023-11-19,1
2023-11-20,1
2023-11-23,2
2023-11-24,2
2023-11-26,1
2023-11-29,2
2023-11-30,1
2023-12-01,1
2023-12-04,2
2023-12-07,1
2023-12-12,2
2023-12-18,1
2024-03-19,1
2024-06-10,1
2024-06-11,1
2024-06-18,1
2024-06-19,1
2024-06-20,1
2024-06-21,1
2024-08-06,2
2024-10-23,1
2025-01-11,1
2025-01-12,1
2025-02-26,1
2025-03-05,1
2025-03-21,1
2025-04-05,1
2025-04-08,1
2025-04-10,1
2025-04-14,1
2025-04-15,1
2025-04-16,1
2025-04-28,1
2025-05-10,1
2025-06-05,1
2025-06-09,2
2025-06-18,1
2025-07-22,1
2025-10-04,1
2025-10-31,1
2025-11-18,1
2025-12-26,1
2026-01-07,1
2026-03-19,1
2026-04-10,1
2026-04-16,1
2026-04-18,2
2026-04-27,1
2026-05-04,1
2026-05-19,1
2026-05-20,2
2026-05-21,1
2026-05-22,1
2026-05-24,1
2026-05-27,1
2026-05-29,1
2026-06-04,1
2026-06-06,7
2026-06-07,3
