date,views
2018-01-16,101
2018-01-18,67
2018-01-19,24
2018-01-20,18
2018-01-21,15
2018-01-22,12
2018-01-23,7
2018-01-24,15
2018-01-25,6
2018-01-26,2
2018-01-27,6
2018-01-28,1
2018-01-29,10
2018-01-30,5
2018-01-31,11
2018-02-01,3
2018-02-02,14
2018-02-03,10
2018-02-04,8
2018-02-05,2
2018-02-06,6
2018-02-07,16
2018-02-08,6
2018-02-09,8
2018-02-10,8
2018-02-11,4
2018-02-12,5
2018-02-13,8
2018-02-14,2
2018-02-15,6
2018-02-16,8
2018-02-17,4
2018-02-18,8
2018-02-19,4
2018-02-20,2
2018-02-21,6
2018-02-22,3
2018-02-23,2
2018-02-24,13
2018-02-25,6
2018-02-26,6
2018-02-27,6
2018-02-28,7
2018-03-01,2
2018-03-02,5
2018-03-03,9
2018-03-04,8
2018-03-05,21
2018-03-06,9
2018-03-07,13
2018-03-08,12
2018-03-09,10
2018-03-10,8
2018-03-11,6
2018-03-12,6
2018-03-13,4
2018-03-14,10
2018-03-15,9
2018-03-16,9
2018-03-17,20
2018-03-18,4
2018-03-19,8
2018-03-20,12
2018-03-21,12
2018-03-22,10
2018-03-23,7
2018-03-24,11
2018-03-25,4
2018-03-26,10
2018-03-27,32
2018-03-28,29
2018-03-29,14
2018-03-30,14
2018-03-31,10
2018-04-01,11
2018-04-02,16
2018-04-03,16
2018-04-04,16
2018-04-05,8
2018-04-06,53
2018-04-07,6
2018-04-08,13
2018-04-09,20
2018-04-10,18
2018-04-11,23
2018-04-12,18
2018-04-13,7
2018-04-14,9
2018-04-15,8
2018-04-16,9
2018-04-17,16
2018-04-18,27
2018-04-19,20
2018-04-20,11
2018-04-21,17
2018-04-22,9
2018-04-23,13
2018-04-24,19
2018-04-25,15
2018-04-26,20
2018-04-27,22
2018-04-28,6
2018-04-29,19
2018-04-30,21
2018-05-01,16
2018-05-02,19
2018-05-03,15
2018-05-04,21
2018-05-05,15
2018-05-06,12
2018-05-07,5
2018-05-08,15
2018-05-09,20
2018-05-10,18
2018-05-11,12
2018-05-12,5
2018-05-13,12
2018-05-14,8
2018-05-15,15
2018-05-16,17
2018-05-17,18
2018-05-18,19
2018-05-19,23
2018-05-20,34
2018-05-21,23
2018-05-22,27
2018-05-23,21
2018-05-24,25
2018-05-25,22
2018-05-26,11
2018-05-27,16
2018-05-28,20
2018-05-29,14
2018-05-30,17
2018-05-31,16
2018-06-01,22
2018-06-02,23
2018-06-03,13
2018-06-04,17
2018-06-05,28
2018-06-06,27
2018-06-07,36
2018-06-08,25
2018-06-09,17
2018-06-10,12
2018-06-11,24
2018-06-12,28
2018-06-13,31
2018-06-14,26
2018-06-15,14
2018-06-16,17
2018-06-17,13
2018-06-18,26
2018-06-19,16
2018-06-20,27
2018-06-21,27
2018-06-22,17
2018-06-23,16
2018-06-24,14
2018-06-25,17
2018-06-26,21
2018-06-27,25
2018-06-28,40
2018-06-29,27
2018-06-30,26
2018-07-01,25
2018-07-02,20
2018-07-03,19
2018-07-04,13
2018-07-05,32
2018-07-06,26
2018-07-07,7
2018-07-08,19
2018-07-09,21
2018-07-10,30
2018-07-11,18
2018-07-12,24
2018-07-13,18
2018-07-14,20
2018-07-15,8
2018-07-16,24
2018-07-17,27
2018-07-18,12
2018-07-19,14
2018-07-20,24
2018-07-21,19
2018-07-22,12
2018-07-23,14
2018-07-24,21
2018-07-25,18
2018-07-26,22
2018-07-27,23
2018-07-28,15
2018-07-29,22
2018-07-30,17
2018-07-31,26
2018-08-01,32
2018-08-02,24
2018-08-03,17
2018-08-04,12
2018-08-05,13
2018-08-06,24
2018-08-07,32
2018-08-08,28
2018-08-09,27
2018-08-10,27
2018-08-11,23
2018-08-12,34
2018-08-13,20
2018-08-14,25
2018-08-15,25
2018-08-16,14
2018-08-17,26
2018-08-18,8
2018-08-19,15
2018-08-20,26
2018-08-21,30
2018-08-22,23
2018-08-23,28
2018-08-24,32
2018-08-25,26
2018-08-26,25
2018-08-27,22
2018-08-28,16
2018-08-29,36
2018-08-30,27
2018-08-31,24
2018-09-01,19
