date,views
2015-07-01,17
2015-07-02,13
2015-07-03,15
2015-07-04,22
2015-07-05,8
2015-07-06,17
2015-07-07,30
2015-07-08,14
2015-07-09,24
2015-07-10,12
2015-07-11,11
2015-07-12,9
2015-07-13,14
2015-07-14,18
2015-07-15,18
2015-07-16,25
2015-07-17,19
2015-07-18,13
2015-07-19,4
2015-07-20,6
2015-07-21,15
2015-07-22,10
2015-07-23,9
2015-07-24,17
2015-07-25,8
2015-07-26,11
2015-07-27,11
2015-07-28,10
2015-07-29,10
2015-07-30,11
2015-07-31,14
2015-08-01,7
2015-08-02,7
2015-08-03,7
2015-08-04,13
2015-08-05,10
2015-08-06,11
2015-08-07,12
2015-08-08,6
2015-08-09,8
2015-08-10,14
2015-08-11,10
2015-08-12,10
2015-08-13,9
2015-08-14,13
2015-08-15,12
2015-08-16,11
2015-08-17,5
2015-08-18,15
2015-08-19,10
2015-08-20,9
2015-08-21,14
2015-08-22,10
2015-08-23,14
2015-08-24,12
2015-08-25,19
2015-08-26,14
2015-08-27,10
2015-08-28,10
2015-08-29,6
2015-08-30,22
2015-08-31,12
2015-09-01,12
2015-09-02,16
2015-09-03,16
2015-09-04,46
2015-09-05,17
2015-09-06,14
2015-09-07,14
2015-09-08,23
2015-09-09,13
2015-09-10,13
2015-09-11,11
2015-09-12,3
2015-09-13,12
2015-09-14,22
2015-09-15,14
2015-09-16,9
2015-09-17,12
2015-09-18,9
2015-09-19,9
2015-09-20,6
2015-09-21,12
2015-09-22,9
2015-09-23,4
2015-09-24,13
2015-09-25,8
2015-09-26,12
2015-09-27,10
2015-09-28,15
2015-09-29,10
2015-09-30,8
2015-10-01,11
2015-10-02,8
2015-10-03,12
2015-10-04,18
2015-10-05,10
2015-10-06,10
2015-10-07,16
2015-10-08,12
2015-10-09,6
2015-10-10,17
2015-10-11,13
2015-10-12,14
2015-10-13,6
2015-10-14,16
2015-10-15,11
2015-10-16,18
2015-10-17,15
2015-10-18,12
2015-10-19,11
2015-10-20,11
2015-10-21,12
2015-10-22,9
2015-10-23,14
2015-10-24,12
2015-10-25,18
2015-10-26,15
2015-10-27,16
2015-10-28,16
2015-10-29,17
2015-10-30,16
2015-10-31,11
2015-11-01,6
2015-11-02,14
2015-11-03,11
2015-11-04,12
2015-11-05,7
2015-11-06,14
2015-11-07,14
2015-11-08,18
2015-11-09,18
2015-11-10,13
2015-11-11,18
2015-11-12,16
2015-11-13,8
2015-11-14,11
2015-11-15,16
2015-11-16,15
2015-11-17,4
2015-11-18,12
2015-11-19,10
2015-11-20,12
2015-11-21,10
2015-11-22,15
2015-11-23,9
2015-11-24,14
2015-11-25,9
2015-11-26,18
2015-11-27,11
2015-11-28,11
2015-11-29,10
2015-11-30,2
2015-12-01,14
2015-12-02,14
2015-12-03,8
2015-12-04,15
2015-12-05,15
2015-12-06,12
2015-12-07,17
2015-12-08,9
2015-12-09,12
2015-12-10,10
2015-12-11,3
2015-12-12,18
2015-12-13,12
2015-12-14,6
2015-12-15,6
2015-12-16,15
2015-12-17,12
2015-12-18,9
2015-12-19,16
2015-12-20,12
2015-12-21,8
2015-12-22,7
2015-12-23,8
2015-12-24,12
2015-12-25,8
2015-12-26,8
2015-12-27,10
2015-12-28,11
2015-12-29,8
2015-12-30,8
2015-12-31,10
2016-01-01,7
2016-01-02,10
2016-01-03,6
2016-01-04,17
2016-01-05,11
2016-01-06,11
2016-01-07,7
2016-01-08,16
2016-01-09,10
2016-01-10,9
2016-01-11,15
2016-01-12,13
2016-01-13,17
2016-01-14,14
2016-01-15,8
2016-01-16,14
2016-01-17,6
2016-01-18,8
2016-01-19,25
2016-01-20,26
2016-01-21,12
2016-01-22,16
2016-01-23,16
2016-01-24,12
2016-01-25,16
2016-01-26,11
2016-01-27,10
2016-01-28,9
2016-01-29,7
2016-01-30,12
2016-01-31,8
2016-02-01,17
2016-02-02,24
2016-02-03,18
2016-02-04,17
2016-02-05,11
2016-02-06,10
2016-02-07,8
2016-02-08,16
2016-02-09,11
2016-02-10,12
2016-02-11,19
2016-02-12,13
2016-02-13,10
2016-02-14,7
2016-02-15,13
2016-02-16,10
2016-02-17,16
2016-02-18,8
2016-02-19,12
2016-02-20,15
2016-02-21,13
2016-02-22,12
2016-02-23,17
2016-02-24,20
2016-02-25,11
2016-02-26,10
2016-02-27,13
2016-02-28,10
2016-02-29,8
2016-03-01,21
2016-03-02,11
2016-03-03,20
2016-03-04,14
2016-03-05,6
2016-03-06,7
2016-03-07,6
2016-03-08,12
2016-03-09,4
2016-03-10,10
2016-03-11,10
2016-03-12,10
2016-03-13,10
2016-03-14,9
2016-03-15,9
2016-03-16,7
2016-03-17,6
2016-03-18,9
2016-03-19,2
2016-03-20,11
2016-03-21,7
2016-03-22,10
2016-03-23,11
2016-03-24,8
2016-03-25,11
2016-03-26,1
2016-03-27,6
2016-03-28,6
2016-03-29,7
2016-03-30,9
2016-03-31,16
2016-04-01,3
2016-04-02,11
2016-04-03,8
2016-04-04,11
2016-04-05,5
2016-04-06,5
2016-04-07,13
2016-04-08,10
2016-04-09,7
2016-04-10,9
2016-04-11,5
2016-04-12,10
2016-04-13,18
2016-04-14,21
2016-04-15,10
2016-04-16,9
2016-04-17,9
2016-04-18,14
2016-04-19,16
2016-04-20,12
2016-04-21,8
2016-04-22,12
2016-04-23,13
2016-04-24,13
2016-04-25,13
2016-04-26,11
2016-04-27,6
2016-04-28,12
2016-04-29,8
2016-04-30,7
2016-05-01,8
2016-05-02,10
2016-05-03,10
2016-05-04,14
2016-05-05,12
2016-05-06,5
2016-05-07,13
2016-05-08,9
2016-05-09,7
2016-05-10,9
2016-05-11,13
2016-05-12,14
2016-05-13,12
2016-05-14,10
2016-05-15,11
2016-05-16,11
2016-05-17,14
2016-05-18,9
2016-05-19,10
2016-05-20,12
2016-05-21,5
2016-05-22,8
2016-05-23,7
2016-05-24,11
2016-05-25,9
2016-05-26,13
2016-05-27,3
2016-05-28,8
2016-05-29,5
2016-05-30,11
2016-05-31,6
2016-06-01,6
2016-06-02,8
2016-06-03,4
2016-06-04,5
2016-06-05,6
2016-06-06,8
2016-06-07,11
2016-06-08,7
2016-06-09,2
2016-06-10,7
2016-06-11,6
2016-06-12,3
2016-06-13,4
2016-06-14,9
2016-06-15,5
2016-06-16,7
2016-06-17,6
2016-06-18,4
2016-06-19,3
2016-06-20,8
2016-06-21,5
2016-06-22,10
2016-06-23,3
2016-06-24,6
2016-06-25,8
2016-06-26,9
2016-06-27,8
2016-06-28,11
2016-06-29,10
2016-06-30,10
2016-07-01,5
2016-07-02,10
2016-07-03,8
2016-07-04,6
2016-07-05,6
2016-07-06,11
2016-07-07,13
2016-07-08,7
2016-07-09,6
2016-07-10,11
2016-07-11,5
2016-07-12,7
2016-07-13,10
2016-07-14,5
2016-07-15,8
2016-07-16,6
2016-07-17,7
2016-07-18,4
2016-07-19,9
2016-07-20,5
2016-07-21,11
2016-07-22,8
2016-07-23,5
2016-07-24,4
2016-07-25,9
2016-07-26,11
2016-07-27,7
2016-07-28,16
2016-07-29,9
2016-07-30,8
2016-07-31,9
2016-08-01,7
2016-08-02,11
2016-08-03,8
2016-08-04,6
2016-08-05,5
2016-08-06,8
2016-08-07,5
2016-08-08,5
2016-08-09,10
2016-08-10,7
2016-08-11,3
2016-08-12,5
2016-08-13,1
2016-08-14,11
2016-08-15,6
2016-08-16,4
2016-08-17,6
2016-08-18,7
2016-08-19,7
2016-08-20,9
2016-08-21,4
2016-08-22,13
2016-08-23,6
2016-08-24,9
2016-08-25,6
2016-08-26,6
2016-08-27,10
2016-08-28,11
2016-08-29,6
2016-08-30,5
2016-08-31,8
2016-09-01,13
2016-09-02,7
2016-09-03,4
2016-09-04,3
2016-09-05,4
2016-09-06,13
2016-09-07,13
2016-09-08,5
2016-09-09,7
2016-09-10,8
2016-09-11,6
2016-09-12,5
2016-09-13,7
2016-09-14,11
2016-09-15,17
2016-09-16,10
2016-09-17,7
2016-09-18,12
2016-09-19,4
2016-09-20,7
2016-09-21,4
2016-09-22,11
2016-09-23,6
2016-09-24,9
2016-09-25,11
2016-09-26,11
2016-09-27,10
2016-09-28,9
2016-09-29,11
2016-09-30,6
2016-10-01,8
2016-10-02,3
2016-10-03,5
2016-10-04,7
2016-10-05,12
2016-10-06,6
2016-10-07,8
2016-10-08,6
2016-10-09,6
2016-10-10,9
2016-10-11,10
2016-10-12,7
2016-10-13,4
2016-10-14,14
2016-10-15,5
2016-10-16,4
2016-10-17,13
2016-10-18,6
2016-10-19,4
2016-10-20,9
2016-10-21,16
2016-10-22,14
2016-10-23,11
2016-10-24,10
2016-10-25,8
2016-10-26,6
2016-10-27,5
2016-10-28,13
2016-10-29,13
2016-10-30,11
2016-10-31,11
2016-11-01,7
2016-11-02,10
2016-11-03,21
2016-11-04,10
2016-11-05,5
2016-11-06,10
2016-11-07,11
2016-11-08,7
2016-11-09,6
2016-11-10,13
2016-11-11,4
2016-11-12,12
2016-11-13,8
2016-11-14,9
2016-11-15,7
2016-11-16,8
2016-11-17,4
2016-11-18,8
2016-11-19,7
2016-11-20,7
2016-11-21,8
2016-11-22,6
2016-11-23,11
2016-11-24,7
2016-11-25,5
2016-11-26,3
2016-11-27,6
2016-11-28,5
2016-11-29,5
2016-11-30,9
2016-12-01,6
2016-12-02,3
2016-12-03,8
2016-12-04,13
2016-12-05,5
2016-12-06,6
2016-12-07,6
2016-12-08,4
2016-12-09,4
2016-12-10,7
2016-12-11,7
2016-12-12,10
2016-12-13,10
2016-12-14,5
2016-12-15,9
2016-12-16,7
2016-12-17,8
2016-12-18,4
2016-12-19,3
2016-12-20,13
2016-12-21,5
2016-12-22,8
2016-12-23,6
2016-12-24,3
2016-12-25,2
2016-12-26,5
2016-12-27,7
2016-12-28,9
2016-12-29,5
2016-12-30,6
2016-12-31,8
2017-01-01,5
2017-01-02,10
2017-01-03,6
2017-01-04,8
2017-01-05,5
2017-01-06,8
2017-01-07,8
2017-01-08,7
2017-01-09,9
2017-01-10,11
2017-01-11,9
2017-01-12,4
2017-01-13,6
2017-01-14,9
2017-01-15,13
2017-01-16,9
2017-01-17,9
2017-01-18,14
2017-01-19,10
2017-01-20,7
2017-01-21,6
2017-01-22,6
2017-01-23,12
2017-01-24,18
2017-01-25,10
2017-01-26,21
2017-01-27,13
2017-01-28,13
2017-01-29,13
2017-01-30,16
2017-01-31,17
2017-02-01,16
2017-02-02,18
2017-02-03,14
2017-02-04,9
2017-02-05,9
2017-02-06,16
2017-02-07,13
2017-02-08,12
2017-02-09,14
2017-02-10,11
2017-02-11,8
2017-02-12,8
2017-02-13,9
2017-02-14,16
2017-02-15,10
2017-02-16,9
2017-02-17,12
2017-02-18,10
2017-02-19,10
2017-02-20,14
2017-02-21,11
2017-02-22,13
2017-02-23,5
2017-02-24,10
2017-02-25,11
2017-02-26,12
2017-02-27,11
2017-02-28,11
2017-03-01,9
2017-03-02,10
2017-03-03,7
2017-03-04,8
2017-03-05,5
2017-03-06,5
2017-03-07,4
2017-03-08,7
2017-03-09,7
2017-03-10,4
2017-03-11,5
2017-03-12,8
2017-03-13,10
2017-03-14,7
2017-03-15,13
2017-03-16,8
2017-03-17,7
2017-03-18,10
2017-03-19,11
2017-03-20,3
2017-03-21,11
2017-03-22,10
2017-03-23,9
2017-03-24,9
2017-03-25,5
2017-03-26,8
2017-03-27,16
2017-03-28,12
2017-03-29,10
2017-03-30,7
2017-03-31,8
2017-04-01,12
2017-04-02,13
2017-04-03,11
2017-04-04,10
2017-04-05,9
2017-04-06,10
2017-04-07,7
2017-04-08,14
2017-04-09,6
2017-04-10,4
2017-04-11,13
2017-04-12,10
2017-04-13,8
2017-04-14,8
2017-04-15,4
2017-04-16,10
2017-04-17,7
2017-04-18,4
2017-04-19,10
2017-04-20,8
2017-04-21,4
2017-04-22,12
2017-04-23,5
2017-04-24,5
2017-04-25,4
2017-04-26,14
2017-04-27,5
2017-04-28,12
2017-04-29,16
2017-04-30,4
2017-05-01,12
2017-05-02,9
2017-05-03,6
2017-05-04,3
2017-05-05,11
2017-05-06,11
2017-05-07,9
2017-05-08,9
2017-05-09,10
2017-05-10,3
2017-05-11,9
2017-05-12,7
2017-05-13,8
2017-05-14,10
2017-05-15,5
2017-05-16,11
2017-05-17,6
2017-05-18,8
2017-05-19,4
2017-05-20,2
2017-05-21,12
2017-05-22,8
2017-05-23,7
2017-05-24,5
2017-05-25,12
2017-05-26,4
2017-05-27,6
2017-05-28,8
2017-05-29,7
2017-05-30,7
2017-05-31,16
2017-06-01,5
2017-06-02,9
2017-06-03,8
2017-06-04,5
2017-06-05,11
2017-06-06,7
2017-06-07,5
2017-06-08,5
2017-06-09,7
2017-06-10,7
2017-06-11,11
2017-06-12,9
2017-06-13,10
2017-06-14,7
2017-06-15,6
2017-06-16,12
2017-06-17,5
2017-06-18,8
2017-06-19,12
2017-06-20,7
2017-06-21,6
2017-06-22,12
2017-06-23,12
2017-06-24,9
2017-06-25,7
2017-06-26,10
2017-06-27,7
2017-06-28,7
2017-06-29,7
2017-06-30,9
2017-07-01,11
2017-07-02,4
2017-07-03,4
2017-07-04,3
2017-07-05,2
2017-07-06,11
2017-07-07,5
2017-07-08,4
2017-07-09,6
2017-07-10,11
2017-07-11,10
2017-07-12,2
2017-07-13,4
2017-07-14,11
2017-07-15,9
2017-07-16,5
2017-07-17,7
2017-07-18,12
2017-07-19,9
2017-07-20,7
2017-07-21,6
2017-07-22,6
2017-07-23,10
2017-07-24,6
2017-07-25,2
2017-07-26,7
2017-07-27,10
2017-07-28,18
2017-07-29,16
2017-07-30,6
2017-07-31,18
2017-08-01,13
2017-08-02,10
2017-08-03,10
2017-08-04,8
2017-08-05,8
2017-08-06,15
2017-08-07,17
2017-08-08,20
2017-08-09,11
2017-08-10,17
2017-08-11,9
2017-08-12,7
2017-08-13,9
2017-08-14,11
2017-08-15,10
2017-08-16,10
2017-08-17,6
2017-08-18,11
2017-08-19,12
2017-08-20,5
2017-08-21,14
2017-08-22,12
2017-08-23,9
2017-08-24,9
2017-08-25,11
2017-08-26,8
2017-08-27,7
2017-08-28,16
2017-08-29,3
2017-08-30,8
2017-08-31,6
2017-09-01,5
2017-09-02,7
2017-09-03,4
2017-09-04,8
2017-09-05,9
2017-09-06,4
2017-09-07,14
2017-09-08,3
2017-09-09,9
2017-09-10,6
2017-09-11,7
2017-09-12,8
2017-09-13,6
2017-09-14,9
2017-09-15,11
2017-09-16,5
2017-09-17,5
2017-09-18,9
2017-09-19,7
2017-09-20,3
2017-09-21,11
2017-09-22,2
2017-09-23,5
2017-09-24,9
2017-09-25,3
2017-09-26,6
2017-09-27,5
2017-09-28,14
2017-09-29,10
2017-09-30,7
2017-10-01,3
2017-10-02,11
2017-10-03,9
2017-10-04,5
2017-10-05,4
2017-10-06,3
2017-10-07,2
2017-10-08,9
2017-10-09,8
2017-10-10,3
2017-10-11,9
2017-10-12,6
2017-10-13,3
2017-10-14,4
2017-10-15,15
2017-10-16,7
2017-10-17,6
2017-10-18,2
2017-10-19,4
2017-10-20,5
2017-10-21,2
2017-10-22,15
2017-10-23,7
2017-10-24,6
2017-10-25,6
2017-10-26,10
2017-10-27,7
2017-10-28,9
2017-10-29,7
2017-10-30,7
2017-10-31,4
2017-11-01,10
2017-11-02,7
2017-11-03,8
2017-11-04,8
2017-11-05,4
2017-11-06,5
2017-11-07,6
2017-11-08,6
2017-11-09,3
2017-11-10,5
