date,views
2017-04-09,335
2017-04-10,625
2017-04-11,770
2017-04-12,817
2017-04-13,1466
2017-04-14,2235
2017-04-15,2974
2017-04-16,3345
2017-04-17,3517
2017-04-18,4521
2017-04-19,5808
2017-04-20,6788
2017-04-21,7981
2017-04-22,8514
2017-04-23,8263
2017-04-24,11455
2017-04-25,13412
2017-04-26,16519
2017-04-27,21696
2017-04-28,26316
2017-04-29,31464
2017-04-30,33258
2017-05-01,36269
2017-05-02,32213
2017-05-03,33860
2017-05-04,39242
2017-05-05,36941
2017-05-06,40416
2017-05-07,47466
2017-05-08,51817
2017-05-09,52049
2017-05-10,59934
2017-05-11,75655
2017-05-12,77062
2017-05-13,89018
2017-05-14,94379
2017-05-15,86798
2017-05-16,83474
2017-05-17,95464
2017-05-18,95422
2017-05-19,84524
2017-05-20,80859
2017-05-21,86564
2017-05-22,94052
2017-05-23,98859
2017-05-24,106126
2017-05-25,97479
2017-05-26,96411
2017-05-27,94637
2017-05-28,91173
2017-05-29,90621
2017-05-30,91069
2017-05-31,85201
2017-06-01,77951
2017-06-02,73790
2017-06-03,71550
2017-06-04,68585
2017-06-05,68419
2017-06-06,66236
2017-06-07,63038
2017-06-08,61187
2017-06-09,58154
2017-06-10,67138
2017-06-11,61654
2017-06-12,63075
2017-06-13,61570
2017-06-14,52824
2017-06-15,49541
2017-06-16,54607
2017-06-17,58242
2017-06-18,55434
2017-06-19,58436
2017-06-20,61196
2017-06-21,57748
2017-06-22,54035
2017-06-23,47565
2017-06-24,50438
2017-06-25,47538
2017-06-26,46588
2017-06-27,46777
2017-06-28,44897
2017-06-29,46549
2017-06-30,45304
2017-07-01,42545
2017-07-02,40091
2017-07-03,36724
2017-07-04,35690
2017-07-05,33167
2017-07-06,37047
2017-07-07,36664
2017-07-08,39682
2017-07-09,34425
2017-07-10,33275
2017-07-11,29579
2017-07-12,28738
2017-07-13,27856
2017-07-14,26991
2017-07-15,26963
2017-07-16,28027
2017-07-17,24293
2017-07-18,24337
2017-07-19,25927
2017-07-20,26921
2017-07-21,21838
2017-07-22,21508
2017-07-23,21904
2017-07-24,20190
2017-07-25,18631
2017-07-26,18417
2017-07-27,17789
2017-07-28,17372
2017-07-29,18336
2017-07-30,22081
2017-07-31,18135
2017-08-01,17348
2017-08-02,17776
2017-08-03,16611
2017-08-04,15816
2017-08-05,16206
2017-08-06,16935
2017-08-07,17225
2017-08-08,14609
2017-08-09,13971
2017-08-10,14837
2017-08-11,15933
2017-08-12,14890
2017-08-13,15221
2017-08-14,13485
2017-08-15,13748
2017-08-16,12371
2017-08-17,12383
2017-08-18,12032
2017-08-19,12971
2017-08-20,14898
2017-08-21,13361
2017-08-22,13014
2017-08-23,12688
2017-08-24,12109
2017-08-25,11773
2017-08-26,11576
2017-08-27,11678
2017-08-28,10812
2017-08-29,10084
2017-08-30,9915
2017-08-31,10442
2017-09-01,10513
2017-09-02,11018
2017-09-03,11572
2017-09-04,9919
2017-09-05,10215
2017-09-06,10091
2017-09-07,9606
2017-09-08,9295
2017-09-09,9172
2017-09-10,9672
2017-09-11,8329
2017-09-12,8425
2017-09-13,8461
2017-09-14,8399
2017-09-15,8027
2017-09-16,7622
2017-09-17,8464
2017-09-18,7986
2017-09-19,7830
2017-09-20,7048
2017-09-21,7725
2017-09-22,7128
2017-09-23,7088
2017-09-24,7073
2017-09-25,7041
2017-09-26,6959
2017-09-27,7799
2017-09-28,7484
2017-09-29,7440
2017-09-30,6735
2017-10-01,6783
2017-10-02,6589
2017-10-03,6076
2017-10-04,5984
2017-10-05,5945
2017-10-06,5768
2017-10-07,5703
2017-10-08,5829
2017-10-09,6197
2017-10-10,6089
2017-10-11,4880
2017-10-12,5085
2017-10-13,5311
2017-10-14,5465
2017-10-15,5837
2017-10-16,6279
2017-10-17,5342
2017-10-18,5183
2017-10-19,5060
2017-10-20,5527
2017-10-21,4987
2017-10-22,5362
2017-10-23,5412
2017-10-24,5746
2017-10-25,5261
2017-10-26,4868
2017-10-27,4550
2017-10-28,4322
2017-10-29,4698
2017-10-30,4540
2017-10-31,4431
2017-11-01,4303
2017-11-02,4609
2017-11-03,4282
2017-11-04,4073
2017-11-05,4016
2017-11-06,4189
2017-11-07,4047
2017-11-08,4207
2017-11-09,4505
2017-11-10,3729
2017-11-11,3809
2017-11-12,3838
2017-11-13,4273
2017-11-14,3869
2017-11-15,3654
2017-11-16,3342
2017-11-17,4503
2017-11-18,3379
2017-11-19,3662
2017-11-20,3547
2017-11-21,3297
2017-11-22,3149
2017-11-23,3150
2017-11-24,3535
2017-11-25,3411
2017-11-26,3535
2017-11-27,3442
2017-11-28,3506
2017-11-29,3347
2017-11-30,3020
2017-12-01,3282
2017-12-02,2728
2017-12-03,2956
2017-12-04,3123
2017-12-05,3089
2017-12-06,3079
2017-12-07,3342
2017-12-08,3137
2017-12-09,2824
2017-12-10,2869
2017-12-11,3223
2017-12-12,3230
2017-12-13,3840
2017-12-14,3531
2017-12-15,3116
2017-12-16,2729
2017-12-17,2776
2017-12-18,3226
2017-12-19,3257
2017-12-20,3272
2017-12-21,3112
2017-12-22,2974
2017-12-23,3124
2017-12-24,3279
2017-12-25,4390
2017-12-26,4403
2017-12-27,3493
2017-12-28,3229
2017-12-29,3084
2017-12-30,3101
2017-12-31,3131
2018-01-01,3157
2018-01-02,3127
2018-01-03,2797
2018-01-04,2677
2018-01-05,2648
2018-01-06,2555
2018-01-07,2706
2018-01-08,3264
2018-01-09,2868
2018-01-10,2931
2018-01-11,2880
2018-01-12,2743
2018-01-13,2285
2018-01-14,2395
2018-01-15,2447
2018-01-16,2522
2018-01-17,2552
2018-01-18,2620
2018-01-19,2583
2018-01-20,2191
2018-01-21,2265
2018-01-22,2501
2018-01-23,2367
2018-01-24,2343
2018-01-25,2422
2018-01-26,2465
2018-01-27,2023
2018-01-28,2191
2018-01-29,2335
2018-01-30,2214
2018-01-31,2166
2018-02-01,2238
2018-02-02,2293
2018-02-03,1865
2018-02-04,1988
2018-02-05,1985
2018-02-06,2211
2018-02-07,2177
2018-02-08,2316
2018-02-09,2196
2018-02-10,2143
2018-02-11,2146
2018-02-12,2300
2018-02-13,2115
2018-02-14,1972
2018-02-15,1864
2018-02-16,1836
2018-02-17,1726
2018-02-18,1708
2018-02-19,1871
2018-02-20,1977
2018-02-21,2053
2018-02-22,1865
2018-02-23,1904
2018-02-24,1648
2018-02-25,1701
2018-02-26,1866
2018-02-27,1825
2018-02-28,1954
2018-03-01,1983
2018-03-02,1752
2018-03-03,1590
2018-03-04,1775
2018-03-05,1802
2018-03-06,1889
2018-03-07,1841
2018-03-08,1745
2018-03-09,1768
2018-03-10,1565
2018-03-11,1783
2018-03-12,1735
2018-03-13,1792
2018-03-14,1772
2018-03-15,1748
2018-03-16,1580
2018-03-17,1455
2018-03-18,1660
2018-03-19,1804
2018-03-20,1766
2018-03-21,1683
2018-03-22,1783
2018-03-23,1850
2018-03-24,1485
2018-03-25,1536
2018-03-26,1639
2018-03-27,1503
2018-03-28,1494
2018-03-29,1571
2018-03-30,1427
2018-03-31,1344
2018-04-01,1464
2018-04-02,1456
2018-04-03,1445
2018-04-04,1550
2018-04-05,1473
2018-04-06,1503
2018-04-07,1367
2018-04-08,1473
2018-04-09,1656
2018-04-10,1666
2018-04-11,1564
2018-04-12,1515
2018-04-13,1425
2018-04-14,1286
2018-04-15,1669
2018-04-16,1682
2018-04-17,1546
2018-04-18,1574
2018-04-19,1493
2018-04-20,1463
2018-04-21,1162
2018-04-22,1196
2018-04-23,1431
2018-04-24,1678
2018-04-25,1479
2018-04-26,1376
2018-04-27,1297
2018-04-28,1091
2018-04-29,1128
2018-04-30,1373
2018-05-01,1409
2018-05-02,1333
2018-05-03,1734
2018-05-04,1318
2018-05-05,1135
2018-05-06,1217
2018-05-07,1464
2018-05-08,1493
2018-05-09,1591
2018-05-10,1466
2018-05-11,1304
2018-05-12,1138
2018-05-13,1157
