date,views
2016-05-18,56
2016-05-19,34
2016-05-20,16
2016-05-21,6
2016-05-22,6
2016-05-23,5
2016-05-24,6
2016-05-25,4
2016-05-26,11
2016-05-27,4
2016-05-28,1
2016-05-29,5
2016-05-30,3
2016-05-31,9
2016-06-01,117
2016-06-02,182
2016-06-03,128
2016-06-04,100
2016-06-05,150
2016-06-06,163
2016-06-07,192
2016-06-08,140
2016-06-09,109
2016-06-10,148
2016-06-11,102
2016-06-12,98
2016-06-13,137
2016-06-14,145
2016-06-15,171
2016-06-16,129
2016-06-17,110
2016-06-18,94
2016-06-19,128
2016-06-20,102
2016-06-21,105
2016-06-22,91
2016-06-23,110
2016-06-24,182
2016-06-25,87
2016-06-26,78
2016-06-27,95
2016-06-28,100
2016-06-29,100
2016-06-30,90
2016-07-01,111
2016-07-02,91
2016-07-03,70
2016-07-04,101
2016-07-05,138
2016-07-06,130
2016-07-07,139
2016-07-08,156
2016-07-09,106
2016-07-10,95
2016-07-11,92
2016-07-12,100
2016-07-13,97
2016-07-14,99
2016-07-15,86
2016-07-16,88
2016-07-17,84
2016-07-18,106
2016-07-19,89
2016-07-20,103
2016-07-21,112
2016-07-22,91
2016-07-23,91
2016-07-24,82
2016-07-25,97
2016-07-26,107
2016-07-27,106
2016-07-28,106
2016-07-29,91
2016-07-30,80
2016-07-31,86
2016-08-01,94
2016-08-02,105
2016-08-03,109
2016-08-04,109
2016-08-05,143
2016-08-06,88
2016-08-07,92
2016-08-08,94
2016-08-09,102
2016-08-10,98
2016-08-11,103
2016-08-12,89
2016-08-13,63
2016-08-14,74
2016-08-15,118
2016-08-16,323
2016-08-17,323
2016-08-18,233
2016-08-19,266
2016-08-20,186
2016-08-21,222
2016-08-22,240
2016-08-23,270
2016-08-24,234
2016-08-25,227
2016-08-26,206
2016-08-27,168
2016-08-28,179
2016-08-29,202
2016-08-30,203
2016-08-31,175
2016-09-01,181
2016-09-02,167
2016-09-03,147
2016-09-04,174
2016-09-05,121
2016-09-06,168
2016-09-07,115
2016-09-08,159
2016-09-09,160
2016-09-10,140
2016-09-11,151
2016-09-12,135
2016-09-13,134
2016-09-14,253
2016-09-15,263
2016-09-16,219
2016-09-17,206
2016-09-18,215
2016-09-19,456
2016-09-20,449
2016-09-21,1527
2016-09-22,1293
2016-09-23,1042
2016-09-24,891
2016-09-25,924
2016-09-26,1072
2016-09-27,885
2016-09-28,756
2016-09-29,753
2016-09-30,577
2016-10-01,324
2016-10-02,344
2016-10-03,420
2016-10-04,2010
2016-10-05,1718
2016-10-06,1141
2016-10-07,676
2016-10-08,542
2016-10-09,518
2016-10-10,635
2016-10-11,823
2016-10-12,828
2016-10-13,767
2016-10-14,535
2016-10-15,500
2016-10-16,488
2016-10-17,544
2016-10-18,548
2016-10-19,801
2016-10-20,786
2016-10-21,682
2016-10-22,1258
2016-10-23,1115
2016-10-24,867
2016-10-25,674
2016-10-26,824
2016-10-27,596
2016-10-28,600
2016-10-29,492
2016-10-30,704
2016-10-31,624
2016-11-01,497
2016-11-02,550
2016-11-03,579
2016-11-04,589
2016-11-05,503
2016-11-06,566
2016-11-07,589
2016-11-08,529
2016-11-09,399
2016-11-10,445
2016-11-11,369
2016-11-12,470
2016-11-13,486
2016-11-14,428
2016-11-15,418
2016-11-16,457
2016-11-17,465
2016-11-18,407
2016-11-19,420
2016-11-20,392
2016-11-21,391
2016-11-22,386
2016-11-23,448
2016-11-24,408
2016-11-25,465
2016-11-26,412
2016-11-27,461
2016-11-28,497
2016-11-29,462
2016-11-30,502
2016-12-01,455
2016-12-02,382
2016-12-03,359
2016-12-04,491
2016-12-05,492
2016-12-06,446
2016-12-07,411
2016-12-08,412
