date,views
2015-07-01,413
2015-07-02,500
2015-07-03,373
2015-07-04,432
2015-07-05,322
2015-07-06,485
2015-07-07,517
2015-07-08,625
2015-07-09,557
2015-07-10,553
2015-07-11,461
2015-07-12,450
2015-07-13,603
2015-07-14,595
2015-07-15,488
2015-07-16,618
2015-07-17,512
2015-07-18,559
2015-07-19,534
2015-07-20,629
2015-07-21,611
2015-07-22,560
2015-07-23,529
2015-07-24,434
2015-07-25,403
2015-07-26,346
2015-07-27,522
2015-07-28,567
2015-07-29,579
2015-07-30,560
2015-07-31,479
2015-08-01,446
2015-08-02,529
2015-08-03,529
2015-08-04,678
2015-08-05,685
2015-08-06,719
2015-08-07,871
2015-08-08,735
2015-08-09,799
2015-08-10,796
2015-08-11,845
2015-08-12,853
2015-08-13,650
2015-08-14,675
2015-08-15,481
2015-08-16,589
2015-08-17,650
2015-08-18,632
2015-08-19,701
2015-08-20,671
2015-08-21,692
2015-08-22,428
2015-08-23,478
2015-08-24,651
2015-08-25,615
2015-08-26,588
2015-08-27,709
2015-08-28,848
2015-08-29,515
2015-08-30,576
2015-08-31,831
2015-09-01,612
2015-09-02,601
2015-09-03,644
2015-09-04,729
2015-09-05,632
2015-09-06,521
2015-09-07,604
2015-09-08,668
2015-09-09,568
2015-09-10,658
2015-09-11,811
2015-09-12,527
2015-09-13,481
2015-09-14,666
2015-09-15,734
2015-09-16,880
2015-09-17,710
2015-09-18,996
2015-09-19,852
2015-09-20,713
2015-09-21,1589
2015-09-22,1115
2015-09-23,980
2015-09-24,1172
2015-09-25,1599
2015-09-26,995
2015-09-27,891
2015-09-28,1375
2015-09-29,1185
2015-09-30,848
2015-10-01,861
2015-10-02,938
2015-10-03,710
2015-10-04,668
2015-10-05,935
2015-10-06,875
2015-10-07,807
2015-10-08,915
2015-10-09,894
2015-10-10,821
2015-10-11,599
2015-10-12,726
2015-10-13,901
2015-10-14,1095
2015-10-15,1122
2015-10-16,881
2015-10-17,675
2015-10-18,688
2015-10-19,914
2015-10-20,784
2015-10-21,706
2015-10-22,690
2015-10-23,702
2015-10-24,622
2015-10-25,619
2015-10-26,838
2015-10-27,907
2015-10-28,928
2015-10-29,903
2015-10-30,898
2015-10-31,579
2015-11-01,673
2015-11-02,833
2015-11-03,920
2015-11-04,968
2015-11-05,902
2015-11-06,864
2015-11-07,622
2015-11-08,720
2015-11-09,792
2015-11-10,784
2015-11-11,891
2015-11-12,777
2015-11-13,670
2015-11-14,537
2015-11-15,655
2015-11-16,835
2015-11-17,846
2015-11-18,767
2015-11-19,830
2015-11-20,793
2015-11-21,636
2015-11-22,680
2015-11-23,947
2015-11-24,872
2015-11-25,881
2015-11-26,857
2015-11-27,844
2015-11-28,761
2015-11-29,815
2015-11-30,1063
2015-12-01,1013
2015-12-02,1047
2015-12-03,971
2015-12-04,981
2015-12-05,1489
2015-12-06,1089
2015-12-07,1547
2015-12-08,1599
2015-12-09,1619
2015-12-10,1051
2015-12-11,1015
2015-12-12,676
2015-12-13,735
2015-12-14,909
2015-12-15,945
2015-12-16,953
2015-12-17,901
2015-12-18,991
2015-12-19,800
2015-12-20,865
2015-12-21,939
2015-12-22,1129
2015-12-23,834
2015-12-24,683
2015-12-25,740
2015-12-26,790
2015-12-27,748
2015-12-28,860
2015-12-29,814
2015-12-30,889
2015-12-31,811
2016-01-01,1035
2016-01-02,1058
2016-01-03,1282
2016-01-04,1882
2016-01-05,2313
2016-01-06,4564
2016-01-07,4226
2016-01-08,2565
2016-01-09,1877
2016-01-10,1676
2016-01-11,2435
2016-01-12,2358
2016-01-13,1675
2016-01-14,1433
2016-01-15,1285
2016-01-16,1144
2016-01-17,1248
2016-01-18,1213
2016-01-19,1395
2016-01-20,1170
2016-01-21,1071
2016-01-22,1012
2016-01-23,692
2016-01-24,859
2016-01-25,1037
2016-01-26,880
2016-01-27,944
2016-01-28,1093
2016-01-29,1033
2016-01-30,837
2016-01-31,814
2016-02-01,1148
2016-02-02,881
2016-02-03,896
2016-02-04,802
2016-02-05,864
2016-02-06,688
2016-02-07,731
2016-02-08,997
2016-02-09,879
2016-02-10,954
2016-02-11,1341
2016-02-12,908
2016-02-13,667
2016-02-14,706
2016-02-15,906
2016-02-16,948
2016-02-17,992
2016-02-18,932
2016-02-19,830
2016-02-20,1847
2016-02-21,2517
2016-02-22,3110
2016-02-23,2523
2016-02-24,1943
2016-02-25,1745
2016-02-26,1470
2016-02-27,1572
2016-02-28,2109
2016-02-29,4284
2016-03-01,3936
2016-03-02,3353
2016-03-03,2761
2016-03-04,2561
2016-03-05,2173
2016-03-06,1880
2016-03-07,2260
2016-03-08,2288
2016-03-09,2021
2016-03-10,2192
2016-03-11,2220
2016-03-12,1755
2016-03-13,1687
2016-03-14,2372
2016-03-15,2906
2016-03-16,4148
2016-03-17,2916
2016-03-18,2718
2016-03-19,2083
2016-03-20,1975
2016-03-21,2072
2016-03-22,2039
2016-03-23,2164
2016-03-24,2184
2016-03-25,1918
2016-03-26,1641
2016-03-27,1682
2016-03-28,3207
2016-03-29,3622
2016-03-30,2559
2016-03-31,2675
2016-04-01,2456
2016-04-02,3014
2016-04-03,2659
2016-04-04,3036
2016-04-05,4498
2016-04-06,4431
2016-04-07,3377
2016-04-08,2944
2016-04-09,2306
2016-04-10,2437
2016-04-11,3357
2016-04-12,2495
2016-04-13,2436
2016-04-14,2080
2016-04-15,1651
2016-04-16,1466
2016-04-17,1654
2016-04-18,1865
2016-04-19,1909
2016-04-20,1952
2016-04-21,2314
2016-04-22,2226
2016-04-23,2128
2016-04-24,2079
2016-04-25,2468
2016-04-26,2548
2016-04-27,2104
2016-04-28,1979
2016-04-29,1890
2016-04-30,1371
2016-05-01,1636
2016-05-02,1834
2016-05-03,1931
2016-05-04,2036
2016-05-05,2003
2016-05-06,2074
2016-05-07,1903
2016-05-08,1856
2016-05-09,2429
2016-05-10,2020
2016-05-11,1897
2016-05-12,1790
2016-05-13,1724
2016-05-14,1542
2016-05-15,1628
2016-05-16,1847
2016-05-17,1742
2016-05-18,1922
2016-05-19,1845
2016-05-20,1628
2016-05-21,1710
2016-05-22,1690
2016-05-23,2018
2016-05-24,1871
2016-05-25,1885
2016-05-26,1599
2016-05-27,1624
2016-05-28,1347
2016-05-29,1436
2016-05-30,1567
2016-05-31,1600
2016-06-01,1608
2016-06-02,1444
2016-06-03,1445
2016-06-04,1335
2016-06-05,1299
2016-06-06,1602
2016-06-07,1611
2016-06-08,1657
2016-06-09,1655
2016-06-10,1489
2016-06-11,1309
2016-06-12,1450
2016-06-13,3299
2016-06-14,3061
2016-06-15,2612
2016-06-16,2397
2016-06-17,2124
2016-06-18,1845
2016-06-19,1743
2016-06-20,1974
2016-06-21,1953
2016-06-22,1826
2016-06-23,1721
