date,views
2021-08-01,2
2021-12-28,1
2022-06-02,1
2022-07-15,2
2022-07-16,1
2023-07-22,1
2023-09-10,2
2023-09-12,10908
2023-09-13,20083
2023-09-14,8566
2023-09-15,7084
2023-09-16,5863
2023-09-17,4602
2023-09-18,5336
2023-09-19,4652
2023-09-20,4184
2023-09-21,3916
2023-09-22,5424
2023-09-23,5124
2023-09-24,4565
2023-09-25,4279
2023-09-26,3822
2023-09-27,3437
2023-09-28,3505
2023-09-29,3295
2023-09-30,2844
2023-10-01,3251
2023-10-02,3035
2023-10-03,2816
2023-10-04,2883
2023-10-05,2776
2023-10-06,2536
2023-10-07,2501
2023-10-08,2240
2023-10-09,2434
2023-10-10,2410
2023-10-11,2398
2023-10-12,2505
2023-10-13,2287
2023-10-14,2111
2023-10-15,2397
2023-10-16,2505
2023-10-17,2419
2023-10-18,2396
2023-10-19,2290
2023-10-20,2159
2023-10-21,2107
2023-10-22,2323
2023-10-23,2254
2023-10-24,2142
2023-10-25,2163
2023-10-26,1921
2023-10-27,1941
2023-10-28,2090
2023-10-29,2039
2023-10-30,2028
2023-10-31,2178
2023-11-01,2239
2023-11-02,2099
2023-11-03,1680
2023-11-04,1819
2023-11-05,1792
2023-11-06,1868
2023-11-07,1983
2023-11-08,1835
2023-11-09,1953
2023-11-10,1697
2023-11-11,1646
2023-11-12,1740
2023-11-13,1934
2023-11-14,1902
2023-11-15,1747
2023-11-16,1524
2023-11-17,1599
2023-11-18,1463
2023-11-19,1759
2023-11-20,1959
2023-11-21,1783
2023-11-22,1956
2023-11-23,2316
2023-11-24,2081
2023-11-25,1756
2023-11-26,1849
2023-11-27,2316
2023-11-28,1991
2023-11-29,1817
2023-11-30,1839
2023-12-01,1645
2023-12-02,1464
2023-12-03,1524
2023-12-04,1589
2023-12-05,1516
2023-12-06,1719
2023-12-07,1627
2023-12-08,1446
2023-12-09,1538
2023-12-10,1517
2023-12-11,1685
2023-12-12,1617
2023-12-13,1643
2023-12-14,1608
2023-12-15,1503
2023-12-16,1457
2023-12-17,1485
2023-12-18,1852
2023-12-19,1495
2023-12-20,1638
2023-12-21,1638
2023-12-22,1615
2023-12-23,1575
2023-12-24,1717
2023-12-25,1950
2023-12-26,1980
2023-12-27,2047
2023-12-28,1964
2023-12-29,1775
2023-12-30,1928
2023-12-31,1619
2024-01-01,1602
2024-01-02,1804
2024-01-03,1948
2024-01-04,1921
2024-01-05,1894
2024-01-06,1870
2024-01-07,1950
2024-01-08,2024
2024-01-09,2021
2024-01-10,2096
2024-01-11,1972
2024-01-12,1681
2024-01-13,1796
