date,views
2015-07-01,343
2015-07-02,304
2015-07-03,270
2015-07-04,265
2015-07-05,296
2015-07-06,332
2015-07-07,374
2015-07-08,354
2015-07-09,313
2015-07-10,339
2015-07-11,270
2015-07-12,279
2015-07-13,283
2015-07-14,321
2015-07-15,341
2015-07-16,321
2015-07-17,333
2015-07-18,260
2015-07-19,270
2015-07-20,280
2015-07-21,356
2015-07-22,341
2015-07-23,308
2015-07-24,301
2015-07-25,277
2015-07-26,280
2015-07-27,320
2015-07-28,358
2015-07-29,366
2015-07-30,396
2015-07-31,444
2015-08-01,609
2015-08-02,300
2015-08-03,259
2015-08-04,343
2015-08-05,346
2015-08-06,313
2015-08-07,275
2015-08-08,250
2015-08-09,277
2015-08-10,288
2015-08-11,315
2015-08-12,342
2015-08-13,292
2015-08-14,307
2015-08-15,249
2015-08-16,513
2015-08-17,373
2015-08-18,350
2015-08-19,337
2015-08-20,268
2015-08-21,311
2015-08-22,285
2015-08-23,266
2015-08-24,335
2015-08-25,338
2015-08-26,309
2015-08-27,360
2015-08-28,337
2015-08-29,371
2015-08-30,316
2015-08-31,286
2015-09-01,320
2015-09-02,375
2015-09-03,380
2015-09-04,333
2015-09-05,265
2015-09-06,325
2015-09-07,561
2015-09-08,879
2015-09-09,722
2015-09-10,701
2015-09-11,466
2015-09-12,385
2015-09-13,331
2015-09-14,391
2015-09-15,415
2015-09-16,470
2015-09-17,459
2015-09-18,426
2015-09-19,337
2015-09-20,310
2015-09-21,336
2015-09-22,389
2015-09-23,432
2015-09-24,412
2015-09-25,358
2015-09-26,325
2015-09-27,356
2015-09-28,318
2015-09-29,376
2015-09-30,404
2015-10-01,391
2015-10-02,384
2015-10-03,274
2015-10-04,311
2015-10-05,359
2015-10-06,360
2015-10-07,422
2015-10-08,351
2015-10-09,328
2015-10-10,249
2015-10-11,281
2015-10-12,342
2015-10-13,398
2015-10-14,398
2015-10-15,329
2015-10-16,367
2015-10-17,266
2015-10-18,271
2015-10-19,346
2015-10-20,327
2015-10-21,426
2015-10-22,396
2015-10-23,331
2015-10-24,310
2015-10-25,290
2015-10-26,348
2015-10-27,373
2015-10-28,328
2015-10-29,344
2015-10-30,296
2015-10-31,264
2015-11-01,257
2015-11-02,310
2015-11-03,341
2015-11-04,318
2015-11-05,390
2015-11-06,320
2015-11-07,247
2015-11-08,274
2015-11-09,323
2015-11-10,308
2015-11-11,354
2015-11-12,302
2015-11-13,327
2015-11-14,245
2015-11-15,279
2015-11-16,311
2015-11-17,360
2015-11-18,387
2015-11-19,372
2015-11-20,316
2015-11-21,231
2015-11-22,336
2015-11-23,303
2015-11-24,298
2015-11-25,287
2015-11-26,257
2015-11-27,241
2015-11-28,262
2015-11-29,316
2015-11-30,279
2015-12-01,268
2015-12-02,331
2015-12-03,324
2015-12-04,374
2015-12-05,280
2015-12-06,286
2015-12-07,305
2015-12-08,306
2015-12-09,446
2015-12-10,387
2015-12-11,339
2015-12-12,292
