date,views
2020-09-26,135
2020-09-27,93
2020-09-28,80
2020-09-29,77
2020-09-30,71
2020-10-01,90
2020-10-02,63
2020-10-03,69
2020-10-04,61
2020-10-05,71
2020-10-06,60
2020-10-07,89
2020-10-08,65
2020-10-09,69
2020-10-10,52
2020-10-11,86
2020-10-12,60
2020-10-13,53
2020-10-14,90
2020-10-15,51
2020-10-16,65
2020-10-17,69
2020-10-18,58
2020-10-19,90
2020-10-20,105
2020-10-21,82
2020-10-22,48
2020-10-23,90
2020-10-24,50
2020-10-25,61
2020-10-26,89
2020-10-27,110
2020-10-28,55
2020-10-29,77
2020-10-30,58
2020-10-31,81
2020-11-01,74
2020-11-02,80
2020-11-03,74
2020-11-04,59
2020-11-05,71
2020-11-06,60
2020-11-07,95
2020-11-08,81
2020-11-09,73
2020-11-10,69
2020-11-11,79
2020-11-12,92
2020-11-13,73
2020-11-14,78
2020-11-15,86
2020-11-16,75
2020-11-17,131
2020-11-18,128
2020-11-19,110
2020-11-20,112
2020-11-21,109
2020-11-22,100
2020-11-23,114
2020-11-24,83
2020-11-25,95
2020-11-26,84
2020-11-27,66
2020-11-28,90
2020-11-29,94
2020-11-30,87
2020-12-01,104
2020-12-02,79
2020-12-03,118
2020-12-04,106
2020-12-05,87
2020-12-06,88
2020-12-07,84
2020-12-08,92
2020-12-09,80
2020-12-10,68
2020-12-11,79
2020-12-12,66
2020-12-13,67
2020-12-14,82
2020-12-15,65
2020-12-16,74
2020-12-17,94
2020-12-18,77
2020-12-19,89
2020-12-20,111
2020-12-21,86
2020-12-22,107
2020-12-23,80
2020-12-24,114
2020-12-25,317
2020-12-26,352
2020-12-27,268
2020-12-28,215
2020-12-29,156
2020-12-30,143
2020-12-31,140
2021-01-01,223
2021-01-02,149
2021-01-03,219
2021-01-04,156
2021-01-05,151
2021-01-06,135
2021-01-07,137
2021-01-08,113
2021-01-09,148
2021-01-10,154
2021-01-11,140
2021-01-12,134
2021-01-13,119
2021-01-14,164
2021-01-15,99
2021-01-16,124
2021-01-17,117
2021-01-18,88
2021-01-19,117
2021-01-20,98
2021-01-21,96
2021-01-22,91
2021-01-23,102
2021-01-24,98
2021-01-25,99
2021-01-26,89
2021-01-27,97
2021-01-28,149
2021-01-29,89
2021-01-30,96
2021-01-31,108
2021-02-01,126
2021-02-02,103
2021-02-03,97
2021-02-04,107
2021-02-05,100
2021-02-06,74
2021-02-07,96
2021-02-08,123
2021-02-09,84
2021-02-10,81
2021-02-11,76
2021-02-12,91
2021-02-13,79
2021-02-14,97
2021-02-15,87
2021-02-16,76
2021-02-17,91
2021-02-18,86
2021-02-19,103
2021-02-20,98
2021-02-21,92
2021-02-22,97
2021-02-23,105
2021-02-24,94
2021-02-25,77
2021-02-26,90
2021-02-27,79
2021-02-28,116
2021-03-01,129
2021-03-02,68
2021-03-03,73
2021-03-04,66
2021-03-05,74
2021-03-06,88
2021-03-07,72
2021-03-08,91
2021-03-09,127
2021-03-10,123
2021-03-11,73
2021-03-12,64
2021-03-13,87
2021-03-14,72
2021-03-15,88
2021-03-16,59
2021-03-17,89
2021-03-18,75
2021-03-19,67
2021-03-20,71
2021-03-21,68
2021-03-22,92
2021-03-23,92
2021-03-24,86
2021-03-25,65
2021-03-26,86
2021-03-27,77
2021-03-28,104
2021-03-29,77
2021-03-30,90
2021-03-31,99
2021-04-01,103
2021-04-02,80
2021-04-03,85
2021-04-04,82
2021-04-05,80
2021-04-06,93
2021-04-07,87
2021-04-08,91
2021-04-09,96
2021-04-10,56
2021-04-11,89
2021-04-12,76
2021-04-13,102
2021-04-14,70
2021-04-15,81
2021-04-16,94
2021-04-17,100
2021-04-18,115
2021-04-19,172
2021-04-20,271
2021-04-21,157
2021-04-22,113
2021-04-23,136
2021-04-24,132
2021-04-25,91
2021-04-26,113
2021-04-27,107
2021-04-28,87
2021-04-29,94
2021-04-30,87
2021-05-01,99
2021-05-02,111
2021-05-03,142
2021-05-04,73
2021-05-05,107
2021-05-06,68
2021-05-07,70
2021-05-08,62
2021-05-09,68
2021-05-10,89
2021-05-11,85
2021-05-12,77
2021-05-13,66
2021-05-14,78
2021-05-15,77
2021-05-16,94
2021-05-17,107
2021-05-18,79
2021-05-19,82
2021-05-20,64
2021-05-21,60
2021-05-22,72
2021-05-23,65
2021-05-24,65
2021-05-25,87
2021-05-26,57
2021-05-27,62
2021-05-28,73
2021-05-29,63
2021-05-30,57
2021-05-31,70
2021-06-01,86
2021-06-02,78
2021-06-03,67
2021-06-04,60
2021-06-05,47
2021-06-06,62
2021-06-07,86
2021-06-08,58
2021-06-09,42
2021-06-10,41
2021-06-11,42
2021-06-12,49
2021-06-13,76
2021-06-14,146
2021-06-15,56
2021-06-16,35
2021-06-17,75
2021-06-18,80
2021-06-19,43
2021-06-20,58
2021-06-21,72
2021-06-22,117
2021-06-23,182
2021-06-24,128
2021-06-25,95
2021-06-26,89
2021-06-27,88
2021-06-28,89
2021-06-29,65
2021-06-30,60
2021-07-01,79
2021-07-02,68
2021-07-03,80
2021-07-04,50
2021-07-05,78
2021-07-06,63
2021-07-07,77
2021-07-08,45
2021-07-09,76
2021-07-10,70
2021-07-11,70
2021-07-12,92
2021-07-13,61
2021-07-14,87
2021-07-15,67
2021-07-16,46
2021-07-17,73
2021-07-18,99
2021-07-19,74
2021-07-20,66
2021-07-21,77
2021-07-22,69
2021-07-23,74
2021-07-24,72
2021-07-25,60
2021-07-26,63
2021-07-27,61
2021-07-28,69
2021-07-29,82
2021-07-30,110
2021-07-31,63
2021-08-01,123
2021-08-02,121
2021-08-03,92
2021-08-04,99
2021-08-05,115
2021-08-06,94
2021-08-07,114
2021-08-08,118
2021-08-09,107
2021-08-10,93
2021-08-11,112
2021-08-12,119
2021-08-13,88
2021-08-14,128
2021-08-15,103
2021-08-16,95
2021-08-17,94
2021-08-18,87
2021-08-19,86
2021-08-20,96
2021-08-21,120
2021-08-22,112
2021-08-23,91
2021-08-24,102
2021-08-25,66
2021-08-26,107
2021-08-27,86
2021-08-28,93
2021-08-29,100
2021-08-30,90
2021-08-31,80
2021-09-01,69
2021-09-02,80
2021-09-03,58
2021-09-04,74
2021-09-05,74
2021-09-06,73
2021-09-07,82
2021-09-08,102
2021-09-09,141
2021-09-10,88
2021-09-11,79
2021-09-12,100
2021-09-13,84
2021-09-14,71
2021-09-15,77
2021-09-16,78
2021-09-17,145
2021-09-18,122
2021-09-19,106
2021-09-20,76
2021-09-21,74
2021-09-22,70
2021-09-23,89
2021-09-24,99
2021-09-25,92
2021-09-26,82
2021-09-27,78
2021-09-28,107
2021-09-29,65
2021-09-30,90
2021-10-01,85
2021-10-02,141
2021-10-03,83
2021-10-04,80
2021-10-05,84
2021-10-06,60
2021-10-07,56
2021-10-08,56
2021-10-09,78
2021-10-10,65
2021-10-11,58
2021-10-12,85
2021-10-13,84
2021-10-14,76
2021-10-15,60
2021-10-16,75
2021-10-17,90
2021-10-18,78
2021-10-19,61
2021-10-20,66
2021-10-21,55
2021-10-22,62
2021-10-23,76
2021-10-24,67
2021-10-25,76
2021-10-26,99
2021-10-27,65
2021-10-28,72
2021-10-29,66
2021-10-30,48
2021-10-31,119
2021-11-01,119
2021-11-02,83
2021-11-03,97
2021-11-04,123
2021-11-05,79
2021-11-06,159
2021-11-07,114
2021-11-08,85
2021-11-09,106
2021-11-10,88
2021-11-11,84
2021-11-12,85
2021-11-13,107
2021-11-14,79
2021-11-15,73
2021-11-16,44
2021-11-17,86
2021-11-18,87
2021-11-19,65
2021-11-20,102
2021-11-21,81
2021-11-22,84
2021-11-23,78
2021-11-24,70
2021-11-25,83
2021-11-26,103
2021-11-27,108
2021-11-28,88
2021-11-29,153
2021-11-30,93
2021-12-01,91
2021-12-02,72
2021-12-03,63
2021-12-04,78
2021-12-05,106
2021-12-06,94
2021-12-07,102
2021-12-08,82
2021-12-09,86
2021-12-10,96
2021-12-11,67
2021-12-12,85
2021-12-13,96
2021-12-14,71
2021-12-15,70
2021-12-16,56
2021-12-17,78
2021-12-18,83
2021-12-19,58
2021-12-20,86
2021-12-21,103
2021-12-22,79
2021-12-23,67
2021-12-24,80
2021-12-25,166
2021-12-26,201
2021-12-27,164
2021-12-28,175
2021-12-29,119
2021-12-30,115
2021-12-31,102
2022-01-01,158
2022-01-02,136
2022-01-03,146
2022-01-04,97
2022-01-05,119
2022-01-06,137
2022-01-07,107
2022-01-08,107
2022-01-09,131
2022-01-10,110
2022-01-11,132
2022-01-12,94
2022-01-13,92
2022-01-14,118
2022-01-15,122
2022-01-16,131
2022-01-17,113
2022-01-18,116
2022-01-19,109
2022-01-20,134
2022-01-21,109
2022-01-22,106
2022-01-23,98
2022-01-24,97
2022-01-25,98
2022-01-26,74
2022-01-27,95
2022-01-28,100
2022-01-29,80
2022-01-30,98
2022-01-31,85
2022-02-01,92
2022-02-02,89
2022-02-03,89
2022-02-04,83
2022-02-05,75
2022-02-06,103
2022-02-07,85
2022-02-08,80
2022-02-09,67
2022-02-10,76
2022-02-11,94
2022-02-12,84
2022-02-13,104
2022-02-14,81
2022-02-15,112
2022-02-16,91
2022-02-17,80
2022-02-18,122
2022-02-19,96
2022-02-20,98
2022-02-21,94
2022-02-22,114
2022-02-23,64
2022-02-24,99
2022-02-25,69
2022-02-26,85
2022-02-27,98
2022-02-28,98
2022-03-01,54
2022-03-02,80
2022-03-03,58
2022-03-04,81
2022-03-05,89
2022-03-06,80
2022-03-07,84
2022-03-08,85
2022-03-09,152
2022-03-10,236
2022-03-11,153
2022-03-12,121
2022-03-13,112
2022-03-14,80
2022-03-15,87
2022-03-16,66
2022-03-17,89
2022-03-18,99
2022-03-19,79
2022-03-20,87
2022-03-21,86
2022-03-22,92
2022-03-23,61
2022-03-24,71
2022-03-25,60
2022-03-26,69
2022-03-27,75
2022-03-28,61
2022-03-29,68
2022-03-30,102
2022-03-31,80
2022-04-01,57
2022-04-02,138
2022-04-03,56
2022-04-04,80
2022-04-05,63
2022-04-06,71
2022-04-07,100
2022-04-08,96
2022-04-09,77
2022-04-10,87
2022-04-11,110
2022-04-12,92
2022-04-13,69
2022-04-14,87
2022-04-15,78
2022-04-16,79
2022-04-17,92
2022-04-18,94
2022-04-19,82
2022-04-20,67
2022-04-21,70
2022-04-22,56
2022-04-23,60
2022-04-24,68
2022-04-25,61
2022-04-26,92
2022-04-27,87
2022-04-28,74
2022-04-29,79
2022-04-30,91
2022-05-01,72
2022-05-02,81
2022-05-03,65
2022-05-04,72
2022-05-05,90
2022-05-06,60
2022-05-07,60
2022-05-08,63
2022-05-09,56
2022-05-10,58
2022-05-11,79
2022-05-12,54
2022-05-13,72
2022-05-14,58
2022-05-15,57
2022-05-16,58
2022-05-17,65
2022-05-18,73
2022-05-19,60
2022-05-20,66
2022-05-21,41
2022-05-22,60
2022-05-23,61
2022-05-24,78
2022-05-25,70
2022-05-26,41
2022-05-27,51
2022-05-28,44
2022-05-29,65
2022-05-30,52
2022-05-31,57
2022-06-01,56
2022-06-02,184
2022-06-03,135
2022-06-04,164
2022-06-05,135
2022-06-06,51
2022-06-07,53
2022-06-08,54
2022-06-09,39
2022-06-10,49
2022-06-11,65
2022-06-12,55
2022-06-13,56
2022-06-14,56
2022-06-15,43
2022-06-16,60
2022-06-17,43
2022-06-18,93
2022-06-19,97
2022-06-20,130
2022-06-21,81
2022-06-22,100
