date,views
2020-12-24,15
2020-12-25,13
2020-12-26,9
2020-12-27,18
2020-12-28,19
2020-12-29,21
2020-12-30,34
2020-12-31,26
2021-01-01,34
2021-01-02,80
2021-01-03,98
2021-01-04,134
2021-01-05,134
2021-01-06,139
2021-01-07,82
2021-01-08,119
2021-01-09,106
2021-01-10,97
2021-01-11,120
2021-01-12,114
2021-01-13,106
2021-01-14,114
2021-01-15,110
2021-01-16,91
2021-01-17,1210
2021-01-18,4393
2021-01-19,4515
2021-01-20,4256
2021-01-21,3638
2021-01-22,3631
2021-01-23,3183
2021-01-24,2888
2021-01-25,4654
2021-01-26,4533
2021-01-27,4259
2021-01-28,3986
2021-01-29,4129
2021-01-30,3333
2021-01-31,3028
2021-02-01,2925
2021-02-02,2972
2021-02-03,4432
2021-02-04,3708
2021-02-05,3292
2021-02-06,2768
2021-02-07,2648
2021-02-08,2870
2021-02-09,2759
2021-02-10,2632
2021-02-11,2565
2021-02-12,2387
2021-02-13,2068
2021-02-14,1944
2021-02-15,2400
2021-02-16,2393
2021-02-17,2630
2021-02-18,2756
2021-02-19,2796
2021-02-20,2477
2021-02-21,2320
2021-02-22,2686
2021-02-23,2450
2021-02-24,3108
2021-02-25,3591
2021-02-26,3875
2021-02-27,3438
2021-02-28,4004
2021-03-01,3850
2021-03-02,3464
2021-03-03,3978
2021-03-04,3911
2021-03-05,3614
2021-03-06,3326
2021-03-07,3283
2021-03-08,3377
2021-03-09,3478
2021-03-10,3517
2021-03-11,4656
2021-03-12,5366
2021-03-13,4507
2021-03-14,4494
2021-03-15,5684
2021-03-16,7423
2021-03-17,6996
2021-03-18,6543
2021-03-19,5845
2021-03-20,5481
2021-03-21,8224
2021-03-22,5633
2021-03-23,5529
2021-03-24,5986
2021-03-25,6151
2021-03-26,5940
2021-03-27,5260
2021-03-28,8760
2021-03-29,6603
2021-03-30,7361
2021-03-31,7371
2021-04-01,7497
2021-04-02,7051
2021-04-03,6299
2021-04-04,6041
2021-04-05,6525
2021-04-06,8345
2021-04-07,16844
2021-04-08,10789
2021-04-09,9651
2021-04-10,7979
2021-04-11,7727
2021-04-12,8797
2021-04-13,13224
2021-04-14,12876
2021-04-15,10788
2021-04-16,9556
2021-04-17,8063
2021-04-18,7105
2021-04-19,7080
2021-04-20,7505
2021-04-21,7334
2021-04-22,8071
2021-04-23,7133
2021-04-24,6417
2021-04-25,5933
2021-04-26,6980
2021-04-27,6952
2021-04-28,7517
2021-04-29,6888
2021-04-30,6971
2021-05-01,7504
2021-05-02,6579
2021-05-03,7923
2021-05-04,8090
2021-05-05,8264
2021-05-06,8935
2021-05-07,8472
2021-05-08,7272
2021-05-09,6503
2021-05-10,7408
2021-05-11,7666
2021-05-12,9404
2021-05-13,10844
2021-05-14,9005
2021-05-15,8153
2021-05-16,7716
2021-05-17,9104
2021-05-18,8402
2021-05-19,8411
2021-05-20,8067
2021-05-21,9770
2021-05-22,6970
2021-05-23,8221
2021-05-24,8751
2021-05-25,11248
2021-05-26,10425
2021-05-27,10240
2021-05-28,9167
