date,views
2016-07-14,403
2016-07-15,1216
2016-07-16,432
2016-07-17,55
2016-07-18,55
2016-07-19,31
2016-07-20,32
2016-07-21,51
2016-07-22,108
2016-07-23,50
2016-07-24,39
2016-07-25,49
2016-07-26,48
2016-07-27,37
2016-07-28,33
2016-07-29,20
2016-07-30,12
2016-07-31,25
2016-08-01,33
2016-08-02,65
2016-08-03,147
2016-08-04,176
2016-08-05,161
2016-08-06,140
2016-08-07,138
2016-08-08,319
2016-08-09,636
2016-08-10,581
2016-08-11,405
2016-08-12,390
2016-08-13,316
2016-08-14,385
2016-08-15,513
2016-08-16,388
2016-08-17,369
2016-08-18,465
2016-08-19,471
2016-08-20,350
2016-08-21,352
2016-08-22,460
2016-08-23,538
2016-08-24,388
2016-08-25,354
2016-08-26,386
2016-08-27,383
2016-08-28,377
2016-08-29,506
2016-08-30,383
2016-08-31,486
2016-09-01,712
2016-09-02,745
2016-09-03,503
2016-09-04,595
2016-09-05,782
2016-09-06,759
2016-09-07,781
2016-09-08,970
2016-09-09,950
2016-09-10,580
2016-09-11,651
2016-09-12,779
2016-09-13,647
2016-09-14,474
2016-09-15,430
2016-09-16,522
2016-09-17,510
2016-09-18,589
2016-09-19,614
2016-09-20,629
2016-09-21,641
2016-09-22,604
2016-09-23,584
2016-09-24,475
2016-09-25,532
2016-09-26,653
2016-09-27,611
2016-09-28,724
2016-09-29,863
2016-09-30,5972
2016-10-01,5358
2016-10-02,3894
2016-10-03,3117
2016-10-04,2166
2016-10-05,1587
2016-10-06,1828
2016-10-07,1515
2016-10-08,1512
2016-10-09,1721
2016-10-10,1675
2016-10-11,1673
2016-10-12,1500
2016-10-13,1603
2016-10-14,1681
2016-10-15,1610
2016-10-16,1588
2016-10-17,1722
2016-10-18,1406
2016-10-19,1897
2016-10-20,3408
2016-10-21,3624
2016-10-22,2797
2016-10-23,2560
2016-10-24,2986
2016-10-25,3033
2016-10-26,2679
2016-10-27,3158
2016-10-28,2633
2016-10-29,2666
2016-10-30,3043
2016-10-31,2766
2016-11-01,2896
2016-11-02,4168
2016-11-03,6475
2016-11-04,9500
2016-11-05,8408
2016-11-06,9622
2016-11-07,10606
2016-11-08,9213
2016-11-09,6331
2016-11-10,11754
2016-11-11,28318
2016-11-12,22585
2016-11-13,14312
2016-11-14,14553
2016-11-15,13605
2016-11-16,11082
2016-11-17,8851
2016-11-18,6964
2016-11-19,5191
2016-11-20,5512
2016-11-21,5043
2016-11-22,5864
2016-11-23,5086
2016-11-24,5465
2016-11-25,6812
2016-11-26,4582
2016-11-27,4256
2016-11-28,5440
2016-11-29,4493
2016-11-30,4282
2016-12-01,4024
2016-12-02,3813
2016-12-03,4059
2016-12-04,4538
2016-12-05,4436
2016-12-06,4802
2016-12-07,4054
2016-12-08,3946
2016-12-09,3572
2016-12-10,2839
2016-12-11,3440
2016-12-12,4053
2016-12-13,3505
2016-12-14,3500
2016-12-15,3355
2016-12-16,4300
2016-12-17,4013
2016-12-18,3424
2016-12-19,4486
2016-12-20,5013
2016-12-21,4316
2016-12-22,3870
2016-12-23,3734
2016-12-24,3432
2016-12-25,4487
2016-12-26,4491
2016-12-27,4276
2016-12-28,3286
2016-12-29,2823
2016-12-30,2573
2016-12-31,2118
2017-01-01,2138
2017-01-02,2329
2017-01-03,2116
2017-01-04,2356
2017-01-05,1916
2017-01-06,1688
2017-01-07,2604
2017-01-08,2552
2017-01-09,2635
2017-01-10,2428
2017-01-11,2148
2017-01-12,2193
2017-01-13,2525
2017-01-14,2158
2017-01-15,1997
2017-01-16,2308
2017-01-17,2178
2017-01-18,2168
2017-01-19,1853
2017-01-20,1626
2017-01-21,1687
2017-01-22,1654
2017-01-23,1622
2017-01-24,1843
2017-01-25,1907
2017-01-26,1924
2017-01-27,1740
2017-01-28,1814
2017-01-29,1717
2017-01-30,1566
2017-01-31,1655
2017-02-01,1714
2017-02-02,1664
2017-02-03,1484
2017-02-04,1417
2017-02-05,1297
2017-02-06,1513
2017-02-07,1530
2017-02-08,1419
2017-02-09,1351
2017-02-10,1462
2017-02-11,1806
2017-02-12,1599
2017-02-13,1823
2017-02-14,1802
2017-02-15,1568
2017-02-16,1428
2017-02-17,1417
2017-02-18,1346
2017-02-19,1303
2017-02-20,1538
2017-02-21,1596
2017-02-22,2080
2017-02-23,1737
2017-02-24,1593
2017-02-25,1583
2017-02-26,1619
2017-02-27,1665
2017-02-28,1485
2017-03-01,1342
2017-03-02,1629
2017-03-03,1930
2017-03-04,1981
2017-03-05,1751
2017-03-06,1697
2017-03-07,1554
2017-03-08,1236
2017-03-09,1197
2017-03-10,1443
2017-03-11,1382
2017-03-12,1375
2017-03-13,1224
2017-03-14,1147
2017-03-15,940
2017-03-16,1129
2017-03-17,1170
2017-03-18,1320
2017-03-19,1374
2017-03-20,1263
2017-03-21,1346
2017-03-22,1326
2017-03-23,1387
2017-03-24,1193
2017-03-25,1259
2017-03-26,1340
2017-03-27,1311
2017-03-28,1364
2017-03-29,2110
2017-03-30,1663
2017-03-31,1280
2017-04-01,1104
2017-04-02,1043
2017-04-03,1130
2017-04-04,1127
2017-04-05,1220
2017-04-06,1615
2017-04-07,1229
2017-04-08,1075
2017-04-09,1190
2017-04-10,1514
2017-04-11,1342
2017-04-12,1093
2017-04-13,3475
2017-04-14,5874
2017-04-15,2802
2017-04-16,2100
2017-04-17,2248
2017-04-18,1946
2017-04-19,3443
2017-04-20,2574
2017-04-21,1735
2017-04-22,1660
2017-04-23,2034
2017-04-24,4586
2017-04-25,2166
2017-04-26,1615
2017-04-27,1713
2017-04-28,1685
2017-04-29,1964
2017-04-30,1731
2017-05-01,1600
2017-05-02,1368
2017-05-03,1113
2017-05-04,1036
2017-05-05,965
2017-05-06,984
2017-05-07,942
2017-05-08,980
2017-05-09,1025
2017-05-10,900
2017-05-11,820
2017-05-12,854
2017-05-13,827
2017-05-14,788
2017-05-15,810
2017-05-16,801
2017-05-17,771
2017-05-18,756
2017-05-19,698
2017-05-20,734
2017-05-21,751
2017-05-22,703
2017-05-23,762
2017-05-24,695
2017-05-25,767
2017-05-26,711
2017-05-27,630
2017-05-28,651
2017-05-29,792
2017-05-30,769
2017-05-31,620
2017-06-01,695
2017-06-02,626
2017-06-03,693
2017-06-04,678
2017-06-05,712
2017-06-06,688
2017-06-07,635
2017-06-08,606
2017-06-09,589
2017-06-10,632
2017-06-11,627
2017-06-12,661
2017-06-13,738
2017-06-14,753
2017-06-15,681
2017-06-16,821
2017-06-17,868
2017-06-18,831
2017-06-19,895
2017-06-20,688
2017-06-21,716
2017-06-22,682
2017-06-23,732
2017-06-24,640
2017-06-25,734
2017-06-26,8927
2017-06-27,10666
2017-06-28,5789
2017-06-29,3498
2017-06-30,2566
2017-07-01,2224
2017-07-02,2377
2017-07-03,1953
2017-07-04,1627
2017-07-05,1538
2017-07-06,1539
2017-07-07,1318
2017-07-08,1221
2017-07-09,1238
2017-07-10,1306
2017-07-11,1220
2017-07-12,1157
2017-07-13,1084
2017-07-14,1052
2017-07-15,1081
2017-07-16,1072
2017-07-17,1128
2017-07-18,1083
2017-07-19,1002
2017-07-20,1029
2017-07-21,1085
2017-07-22,1563
2017-07-23,1248
2017-07-24,1237
2017-07-25,1511
2017-07-26,1447
2017-07-27,1361
2017-07-28,1167
2017-07-29,1901
2017-07-30,1519
2017-07-31,1165
2017-08-01,1344
2017-08-02,1468
2017-08-03,1210
2017-08-04,1117
2017-08-05,1022
2017-08-06,1168
2017-08-07,1101
2017-08-08,883
2017-08-09,912
2017-08-10,892
2017-08-11,919
2017-08-12,1116
2017-08-13,919
2017-08-14,873
2017-08-15,880
2017-08-16,836
2017-08-17,815
2017-08-18,798
2017-08-19,1000
2017-08-20,1092
2017-08-21,903
2017-08-22,2413
2017-08-23,2070
2017-08-24,1532
2017-08-25,1408
2017-08-26,1380
2017-08-27,1152
2017-08-28,1178
2017-08-29,1052
2017-08-30,1000
2017-08-31,928
2017-09-01,985
2017-09-02,949
