date,views
2015-07-01,86
2015-07-02,144
2015-07-03,97
2015-07-04,113
2015-07-05,74
2015-07-06,106
2015-07-07,107
2015-07-08,151
2015-07-09,174
2015-07-10,99
2015-07-11,103
2015-07-12,100
2015-07-13,107
2015-07-14,131
2015-07-15,84
2015-07-16,177
2015-07-17,107
2015-07-18,95
2015-07-19,128
2015-07-20,99
2015-07-21,127
2015-07-22,115
2015-07-23,101
2015-07-24,124
2015-07-25,110
2015-07-26,99
2015-07-27,127
2015-07-28,109
2015-07-29,86
2015-07-30,93
2015-07-31,118
2015-08-01,116
2015-08-02,101
2015-08-03,115
2015-08-04,100
2015-08-05,97
2015-08-06,104
2015-08-07,103
2015-08-08,101
2015-08-09,108
2015-08-10,115
2015-08-11,105
2015-08-12,134
2015-08-13,121
2015-08-14,119
2015-08-15,111
2015-08-16,88
2015-08-17,111
2015-08-18,104
2015-08-19,118
2015-08-20,104
2015-08-21,92
2015-08-22,89
2015-08-23,101
2015-08-24,93
2015-08-25,97
2015-08-26,96
2015-08-27,121
2015-08-28,96
2015-08-29,113
2015-08-30,108
2015-08-31,94
2015-09-01,120
2015-09-02,187
2015-09-03,112
2015-09-04,125
2015-09-05,124
2015-09-06,155
2015-09-07,140
2015-09-08,136
2015-09-09,123
2015-09-10,143
2015-09-11,142
2015-09-12,117
2015-09-13,126
2015-09-14,140
2015-09-15,77
2015-09-16,107
2015-09-17,93
2015-09-18,109
2015-09-19,96
2015-09-20,90
2015-09-21,110
2015-09-22,115
2015-09-23,113
2015-09-24,90
2015-09-25,78
2015-09-26,82
2015-09-27,113
2015-09-28,126
2015-09-29,115
2015-09-30,118
2015-10-01,97
2015-10-02,98
2015-10-03,110
2015-10-04,129
2015-10-05,136
2015-10-06,110
2015-10-07,112
2015-10-08,134
2015-10-09,106
2015-10-10,105
2015-10-11,115
2015-10-12,121
2015-10-13,114
2015-10-14,123
2015-10-15,149
2015-10-16,166
2015-10-17,120
2015-10-18,135
2015-10-19,150
2015-10-20,162
2015-10-21,132
2015-10-22,156
2015-10-23,158
2015-10-24,123
2015-10-25,156
2015-10-26,146
2015-10-27,233
2015-10-28,210
2015-10-29,1022
2015-10-30,1365
2015-10-31,483
