date,views
2017-03-10,8
2017-03-11,105
2017-03-12,96
2017-03-13,92
2017-03-14,50
2017-03-15,58
2017-03-16,58
2017-03-17,52
2017-03-18,45
2017-03-19,42
2017-03-20,50
2017-03-21,48
2017-03-22,50
2017-03-23,42
2017-03-24,39
2017-03-25,46
2017-03-26,35
2017-03-27,30
2017-03-28,39
2017-03-29,28
2017-03-30,30
2017-03-31,27
2017-04-01,32
2017-04-02,21
2017-04-03,34
2017-04-04,32
2017-04-05,35
2017-04-06,39
2017-04-07,16
2017-04-08,29
2017-04-09,23
2017-04-10,28
2017-04-11,29
2017-04-12,40
2017-04-13,34
2017-04-14,19
2017-04-15,25
2017-04-16,26
2017-04-17,22
2017-04-18,27
2017-04-19,30
2017-04-20,23
2017-04-21,25
2017-04-22,18
2017-04-23,16
2017-04-24,29
2017-04-25,22
2017-04-26,15
2017-04-27,28
2017-04-28,24
2017-04-29,26
2017-04-30,18
2017-05-01,26
2017-05-02,26
2017-05-03,26
2017-05-04,23
2017-05-05,24
2017-05-06,13
2017-05-07,21
2017-05-08,33
2017-05-09,23
2017-05-10,18
2017-05-11,24
2017-05-12,25
2017-05-13,17
2017-05-14,19
2017-05-15,18
2017-05-16,18
2017-05-17,24
2017-05-18,18
2017-05-19,17
2017-05-20,17
2017-05-21,23
2017-05-22,16
2017-05-23,21
2017-05-24,16
2017-05-25,17
2017-05-26,15
2017-05-27,15
2017-05-28,12
2017-05-29,17
2017-05-30,10
2017-05-31,30
2017-06-01,17
2017-06-02,13
2017-06-03,22
2017-06-04,16
2017-06-05,15
2017-06-06,15
2017-06-07,20
2017-06-08,14
2017-06-09,10
2017-06-10,8
2017-06-11,20
2017-06-12,24
2017-06-13,27
2017-06-14,18
2017-06-15,12
2017-06-16,29
2017-06-17,19
2017-06-18,14
2017-06-19,29
2017-06-20,22
2017-06-21,13
2017-06-22,22
2017-06-23,16
2017-06-24,19
2017-06-25,15
2017-06-26,15
2017-06-27,19
2017-06-28,9
2017-06-29,17
2017-06-30,11
2017-07-01,21
2017-07-02,15
2017-07-03,19
2017-07-04,16
2017-07-05,11
2017-07-06,13
2017-07-07,11
2017-07-08,22
2017-07-09,20
2017-07-10,38
2017-07-11,26
2017-07-12,19
2017-07-13,25
2017-07-14,23
2017-07-15,26
2017-07-16,21
2017-07-17,29
2017-07-18,17
2017-07-19,18
2017-07-20,24
2017-07-21,21
2017-07-22,16
2017-07-23,31
2017-07-24,28
2017-07-25,20
2017-07-26,31
2017-07-27,21
2017-07-28,19
2017-07-29,24
2017-07-30,19
2017-07-31,28
2017-08-01,27
2017-08-02,25
2017-08-03,24
2017-08-04,22
2017-08-05,14
2017-08-06,27
2017-08-07,19
2017-08-08,18
2017-08-09,17
2017-08-10,31
2017-08-11,19
2017-08-12,21
2017-08-13,9
2017-08-14,12
2017-08-15,13
2017-08-16,12
2017-08-17,10
2017-08-18,11
2017-08-19,11
2017-08-20,12
2017-08-21,9
2017-08-22,11
2017-08-23,11
2017-08-24,14
2017-08-25,9
2017-08-26,7
2017-08-27,8
2017-08-28,9
2017-08-29,11
2017-08-30,11
2017-08-31,11
2017-09-01,11
2017-09-02,10
2017-09-03,11
2017-09-04,7
2017-09-05,10
2017-09-06,8
2017-09-07,8
2017-09-08,5
2017-09-09,8
2017-09-10,13
2017-09-11,12
2017-09-12,14
2017-09-13,13
2017-09-14,19
2017-09-15,9
2017-09-16,10
2017-09-17,13
2017-09-18,15
2017-09-19,17
2017-09-20,9
2017-09-21,18
2017-09-22,5
2017-09-23,10
2017-09-24,13
2017-09-25,12
2017-09-26,7
2017-09-27,12
2017-09-28,4
2017-09-29,16
2017-09-30,10
2017-10-01,7
2017-10-02,8
2017-10-03,15
2017-10-04,11
2017-10-05,11
2017-10-06,11
2017-10-07,10
2017-10-08,8
2017-10-09,10
2017-10-10,7
2017-10-11,9
2017-10-12,13
2017-10-13,9
2017-10-14,13
2017-10-15,7
2017-10-16,9
2017-10-17,6
2017-10-18,7
2017-10-19,11
2017-10-20,12
2017-10-21,10
2017-10-22,10
2017-10-23,11
2017-10-24,14
2017-10-25,9
2017-10-26,12
2017-10-27,7
2017-10-28,14
2017-10-29,19
2017-10-30,18
2017-10-31,23
2017-11-01,23
2017-11-02,12
2017-11-03,11
2017-11-04,13
2017-11-05,18
2017-11-06,13
2017-11-07,12
2017-11-08,13
2017-11-09,15
2017-11-10,15
2017-11-11,14
2017-11-12,13
2017-11-13,15
2017-11-14,11
2017-11-15,12
2017-11-16,10
2017-11-17,16
2017-11-18,17
2017-11-19,4
2017-11-20,24
2017-11-21,12
2017-11-22,14
2017-11-23,12
2017-11-24,15
2017-11-25,12
2017-11-26,9
2017-11-27,13
2017-11-28,6
2017-11-29,13
2017-11-30,10
2017-12-01,13
2017-12-02,13
2017-12-03,14
2017-12-04,12
2017-12-05,22
2017-12-06,9
2017-12-07,13
2017-12-08,7
2017-12-09,5
2017-12-10,8
2017-12-11,8
2017-12-12,13
2017-12-13,4
2017-12-14,9
2017-12-15,5
2017-12-16,17
2017-12-17,8
2017-12-18,12
2017-12-19,12
2017-12-20,12
2017-12-21,3
2017-12-22,9
2017-12-23,11
2017-12-24,7
2017-12-25,8
2017-12-26,20
2017-12-27,14
2017-12-28,14
2017-12-29,12
2017-12-30,12
2017-12-31,8
2018-01-01,16
2018-01-02,14
2018-01-03,16
2018-01-04,8
2018-01-05,11
2018-01-06,17
2018-01-07,10
2018-01-08,15
2018-01-09,13
2018-01-10,10
2018-01-11,17
2018-01-12,15
2018-01-13,4
2018-01-14,12
2018-01-15,15
2018-01-16,16
2018-01-17,14
2018-01-18,76
2018-01-19,33
2018-01-20,14
2018-01-21,27
2018-01-22,18
2018-01-23,19
2018-01-24,16
2018-01-25,11
2018-01-26,22
2018-01-27,5
2018-01-28,3
2018-01-29,3
2018-01-30,2
2018-01-31,4
2018-02-02,3
2018-02-03,1
2018-02-04,1
2018-02-05,4
2018-02-06,1
2018-02-09,1
2018-02-10,1
2018-02-11,2
2018-02-12,3
2018-02-13,4
2018-02-14,1
2018-02-16,1
2018-02-17,1
2018-02-18,6
2018-02-19,6
2018-02-20,8
2018-02-21,3
2018-02-22,1
2018-02-23,1
2018-02-24,3
2018-02-25,2
2018-02-26,3
2018-02-27,1
2018-02-28,3
2018-03-01,4
2018-03-03,2
2018-03-04,2
2018-03-06,1
2018-03-07,1
2018-03-08,2
2018-03-10,2
2018-03-12,3
2018-03-13,1
2018-03-14,2
2018-03-15,5
2018-03-17,2
2018-03-18,1
2018-03-19,9
2018-03-20,2
2018-03-23,1
2018-03-24,3
2018-03-25,2
