date,views
2016-10-20,117504
2016-10-21,62155
2016-10-22,30215
2016-10-23,20477
2016-10-24,17196
2016-10-25,12423
2016-10-26,10204
2016-10-27,10281
2016-10-28,9835
2016-10-29,8808
2016-10-30,10401
2016-10-31,10922
2016-11-01,10962
2016-11-02,11933
2016-11-03,9579
2016-11-04,9249
2016-11-05,8485
2016-11-06,9639
2016-11-07,8451
2016-11-08,7726
2016-11-09,5701
2016-11-10,6809
2016-11-11,8897
2016-11-12,8475
2016-11-13,8695
2016-11-14,9983
2016-11-15,10061
2016-11-16,8993
2016-11-17,8252
2016-11-18,8974
2016-11-19,9585
2016-11-20,8379
2016-11-21,7574
2016-11-22,8301
2016-11-23,8346
2016-11-24,8215
2016-11-25,8757
2016-11-26,7307
2016-11-27,7822
2016-11-28,8755
2016-11-29,7865
2016-11-30,7878
2016-12-01,6810
2016-12-02,9448
2016-12-03,7056
2016-12-04,7530
2016-12-05,7442
2016-12-06,7314
2016-12-07,8678
2016-12-08,19347
2016-12-09,15877
2016-12-10,10098
2016-12-11,9387
2016-12-12,9545
2016-12-13,10039
2016-12-14,9052
2016-12-15,8263
2016-12-16,8324
2016-12-17,8377
2016-12-18,7765
2016-12-19,8639
2016-12-20,9080
2016-12-21,7858
2016-12-22,7160
2016-12-23,6355
2016-12-24,5903
2016-12-25,7104
2016-12-26,8458
2016-12-27,8424
2016-12-28,8019
2016-12-29,7584
2016-12-30,7662
2016-12-31,7242
2017-01-01,9514
2017-01-02,11320
2017-01-03,12421
2017-01-04,13047
2017-01-05,10984
2017-01-06,9146
2017-01-07,8473
2017-01-08,9492
2017-01-09,12497
2017-01-10,12611
2017-01-11,14844
2017-01-12,21943
2017-01-13,165448
2017-01-14,79776
2017-01-15,50316
2017-01-16,42286
2017-01-17,33032
2017-01-18,26133
2017-01-19,22611
2017-01-20,18619
2017-01-21,17305
2017-01-22,19281
2017-01-23,17635
2017-01-24,12772
2017-01-25,12171
2017-01-26,10763
2017-01-27,11216
2017-01-28,11365
2017-01-29,11833
2017-01-30,12539
2017-01-31,11179
2017-02-01,13877
2017-02-02,13500
2017-02-03,12288
2017-02-04,11882
2017-02-05,12823
2017-02-06,18372
2017-02-07,12051
2017-02-08,11753
2017-02-09,10653
2017-02-10,10365
2017-02-11,9722
2017-02-12,11117
2017-02-13,11792
2017-02-14,11852
2017-02-15,11742
2017-02-16,12112
2017-02-17,14282
2017-02-18,14620
2017-02-19,13917
2017-02-20,14909
2017-02-21,16286
2017-02-22,16398
2017-02-23,18917
2017-02-24,20927
2017-02-25,18729
2017-02-26,19481
2017-02-27,21271
2017-02-28,20689
2017-03-01,26590
2017-03-02,45908
2017-03-03,92238
2017-03-04,76834
2017-03-05,73011
2017-03-06,56025
2017-03-07,50958
2017-03-08,36135
2017-03-09,29834
2017-03-10,26129
2017-03-11,25283
2017-03-12,24782
2017-03-13,24962
2017-03-14,20702
2017-03-15,19279
2017-03-16,16652
2017-03-17,17609
2017-03-18,16150
2017-03-19,16025
2017-03-20,18384
2017-03-21,16544
2017-03-22,14935
2017-03-23,13480
2017-03-24,12935
2017-03-25,12168
2017-03-26,13098
2017-03-27,12339
2017-03-28,12054
2017-03-29,11186
2017-03-30,11064
2017-03-31,10888
2017-04-01,10291
2017-04-02,10778
2017-04-03,10829
2017-04-04,10356
2017-04-05,9734
2017-04-06,9716
2017-04-07,9162
2017-04-08,9053
2017-04-09,10190
2017-04-10,10524
2017-04-11,9404
2017-04-12,9401
2017-04-13,9894
2017-04-14,11777
2017-04-15,9581
2017-04-16,9140
2017-04-17,9197
2017-04-18,8921
2017-04-19,8145
2017-04-20,8026
2017-04-21,7470
2017-04-22,7202
2017-04-23,8283
2017-04-24,8593
2017-04-25,7834
2017-04-26,7768
2017-04-27,9502
2017-04-28,10251
2017-04-29,10372
2017-04-30,10566
2017-05-01,11160
2017-05-02,10754
2017-05-03,10234
2017-05-04,8727
2017-05-05,8546
2017-05-06,8355
2017-05-07,8849
2017-05-08,8945
2017-05-09,8587
2017-05-10,8078
2017-05-11,7999
2017-05-12,7749
2017-05-13,7770
2017-05-14,7914
2017-05-15,8036
2017-05-16,7281
2017-05-17,7859
2017-05-18,8048
2017-05-19,7475
2017-05-20,7255
2017-05-21,8195
2017-05-22,8386
2017-05-23,8184
2017-05-24,8084
2017-05-25,7927
2017-05-26,8322
2017-05-27,6446
2017-05-28,7330
2017-05-29,7627
2017-05-30,7502
2017-05-31,7054
2017-06-01,6506
2017-06-02,6701
2017-06-03,6872
2017-06-04,7882
2017-06-05,8401
2017-06-06,8774
2017-06-07,8206
2017-06-08,7426
2017-06-09,6753
2017-06-10,7427
2017-06-11,8941
2017-06-12,11478
2017-06-13,14708
2017-06-14,14873
2017-06-15,13990
2017-06-16,11423
2017-06-17,11122
2017-06-18,10616
2017-06-19,9618
2017-06-20,9548
2017-06-21,8895
2017-06-22,8755
2017-06-23,8181
2017-06-24,8757
2017-06-25,9181
2017-06-26,9985
2017-06-27,9806
2017-06-28,9134
2017-06-29,8702
2017-06-30,8571
2017-07-01,7954
2017-07-02,8205
2017-07-03,8255
2017-07-04,8012
2017-07-05,7772
2017-07-06,8041
2017-07-07,7841
2017-07-08,7754
2017-07-09,8187
2017-07-10,9271
2017-07-11,8727
2017-07-12,8230
2017-07-13,7501
2017-07-14,7517
2017-07-15,8053
2017-07-16,8339
2017-07-17,8031
2017-07-18,7995
2017-07-19,8288
2017-07-20,8065
2017-07-21,8500
2017-07-22,9516
2017-07-23,9076
2017-07-24,8509
2017-07-25,8357
2017-07-26,10199
2017-07-27,8756
2017-07-28,8079
2017-07-29,8048
2017-07-30,8335
2017-07-31,7795
2017-08-01,7709
2017-08-02,7835
2017-08-03,7233
2017-08-04,7278
2017-08-05,7312
2017-08-06,7810
2017-08-07,7499
2017-08-08,6937
2017-08-09,6618
2017-08-10,6704
2017-08-11,7296
2017-08-12,7665
2017-08-13,8019
2017-08-14,7595
2017-08-15,7681
2017-08-16,7105
2017-08-17,7081
2017-08-18,7205
2017-08-19,7711
2017-08-20,8370
2017-08-21,7452
2017-08-22,7627
2017-08-23,7449
2017-08-24,7064
