date,views
2021-01-17,3800
2021-01-18,8049
2021-01-19,7788
2021-01-20,7450
2021-01-21,7972
2021-01-22,9413
2021-01-23,8384
2021-01-24,7692
2021-01-25,9307
2021-01-26,10329
2021-01-27,11082
2021-01-28,12253
2021-01-29,12182
2021-01-30,11434
2021-01-31,10123
2021-02-01,9487
2021-02-02,9708
2021-02-03,11481
2021-02-04,10222
2021-02-05,8740
2021-02-06,8175
2021-02-07,8821
2021-02-08,11223
2021-02-09,9248
2021-02-10,9551
2021-02-11,8993
2021-02-12,7367
2021-02-13,7044
2021-02-14,6661
2021-02-15,9217
2021-02-16,11949
2021-02-17,10080
2021-02-18,9657
2021-02-19,8789
2021-02-20,8292
2021-02-21,9945
2021-02-22,11166
2021-02-23,11401
2021-02-24,12580
2021-02-25,11678
2021-02-26,14824
2021-02-27,13476
2021-02-28,12674
2021-03-01,13622
2021-03-02,15302
2021-03-03,16502
2021-03-04,17007
2021-03-05,15090
2021-03-06,13507
2021-03-07,13242
2021-03-08,13225
2021-03-09,13518
2021-03-10,18168
2021-03-11,25224
2021-03-12,30280
2021-03-13,22953
2021-03-14,25712
2021-03-15,44500
2021-03-16,50714
2021-03-17,33783
2021-03-18,28679
2021-03-19,22159
2021-03-20,18615
2021-03-21,21079
2021-03-22,25221
2021-03-23,18980
2021-03-24,16423
2021-03-25,15635
2021-03-26,13311
2021-03-27,11532
2021-03-28,10674
2021-03-29,12347
2021-03-30,17452
2021-03-31,18673
2021-04-01,16524
2021-04-02,15976
2021-04-03,15873
2021-04-04,15031
2021-04-05,14151
2021-04-06,17884
2021-04-07,23561
2021-04-08,23226
2021-04-09,20347
2021-04-10,16123
2021-04-11,15418
2021-04-12,15940
2021-04-13,24931
2021-04-14,21182
2021-04-15,17135
2021-04-16,14202
2021-04-17,13313
2021-04-18,12681
2021-04-19,17300
2021-04-20,16175
2021-04-21,16889
2021-04-22,17231
2021-04-23,17191
2021-04-24,17749
2021-04-25,16763
2021-04-26,19962
2021-04-27,19048
2021-04-28,19936
2021-04-29,16556
2021-04-30,13957
2021-05-01,15977
2021-05-02,17504
2021-05-03,16331
