date,views
2015-07-01,90
2015-07-02,66
2015-07-03,45
2015-07-04,48
2015-07-05,41
2015-07-06,51
2015-07-07,55
2015-07-08,45
2015-07-09,42
2015-07-10,45
2015-07-11,29
2015-07-12,38
2015-07-13,47
2015-07-14,48
2015-07-15,55
2015-07-16,38
2015-07-17,41
2015-07-18,48
2015-07-19,38
2015-07-20,53
2015-07-21,43
2015-07-22,39
2015-07-23,49
2015-07-24,32
2015-07-25,32
2015-07-26,41
2015-07-27,41
2015-07-28,50
2015-07-29,45
2015-07-30,50
2015-07-31,40
2015-08-01,29
2015-08-02,35
2015-08-03,35
2015-08-04,29
2015-08-05,33
2015-08-06,38
2015-08-07,42
2015-08-08,38
2015-08-09,46
2015-08-10,40
2015-08-11,39
2015-08-12,58
2015-08-13,57
2015-08-14,32
2015-08-15,28
2015-08-16,33
2015-08-17,47
2015-08-18,46
2015-08-19,34
2015-08-20,56
2015-08-21,30
2015-08-22,28
2015-08-23,118
2015-08-24,219
2015-08-25,146
2015-08-26,105
2015-08-27,161
2015-08-28,130
2015-08-29,127
2015-08-30,116
2015-08-31,124
2015-09-01,118
2015-09-02,116
2015-09-03,131
2015-09-04,119
2015-09-05,82
2015-09-06,114
2015-09-07,130
2015-09-08,118
2015-09-09,130
2015-09-10,105
2015-09-11,96
2015-09-12,119
2015-09-13,86
2015-09-14,119
2015-09-15,139
2015-09-16,131
2015-09-17,146
2015-09-18,112
2015-09-19,94
2015-09-20,108
2015-09-21,111
2015-09-22,210
2015-09-23,322
2015-09-24,536
2015-09-25,258
2015-09-26,183
2015-09-27,205
2015-09-28,208
2015-09-29,130
2015-09-30,196
2015-10-01,154
2015-10-02,128
2015-10-03,115
2015-10-04,99
2015-10-05,116
2015-10-06,161
2015-10-07,105
2015-10-08,99
2015-10-09,133
2015-10-10,98
2015-10-11,114
2015-10-12,132
2015-10-13,125
2015-10-14,190
2015-10-15,290
2015-10-16,190
2015-10-17,158
2015-10-18,177
2015-10-19,160
2015-10-20,170
2015-10-21,227
2015-10-22,191
2015-10-23,149
2015-10-24,143
2015-10-25,150
2015-10-26,183
2015-10-27,237
2015-10-28,191
2015-10-29,199
2015-10-30,134
2015-10-31,163
2015-11-01,142
2015-11-02,242
2015-11-03,218
2015-11-04,225
2015-11-05,269
2015-11-06,251
2015-11-07,207
2015-11-08,196
2015-11-09,249
2015-11-10,252
2015-11-11,239
2015-11-12,189
2015-11-13,161
2015-11-14,110
2015-11-15,181
2015-11-16,215
2015-11-17,218
2015-11-18,219
2015-11-19,250
2015-11-20,178
2015-11-21,174
2015-11-22,186
2015-11-23,256
2015-11-24,274
2015-11-25,207
2015-11-26,227
2015-11-27,273
2015-11-28,233
2015-11-29,252
2015-11-30,291
2015-12-01,242
2015-12-02,229
2015-12-03,211
2015-12-04,219
2015-12-05,196
2015-12-06,195
2015-12-07,240
2015-12-08,225
2015-12-09,260
2015-12-10,246
2015-12-11,227
2015-12-12,211
2015-12-13,277
2015-12-14,249
2015-12-15,254
2015-12-16,277
2015-12-17,237
2015-12-18,187
2015-12-19,185
2015-12-20,186
2015-12-21,219
2015-12-22,225
2015-12-23,226
2015-12-24,175
2015-12-25,197
2015-12-26,242
2015-12-27,241
2015-12-28,240
2015-12-29,198
2015-12-30,196
2015-12-31,156
2016-01-01,147
2016-01-02,184
2016-01-03,173
2016-01-04,172
2016-01-05,205
2016-01-06,220
2016-01-07,195
2016-01-08,185
2016-01-09,196
2016-01-10,167
2016-01-11,191
2016-01-12,178
2016-01-13,161
2016-01-14,191
2016-01-15,167
2016-01-16,142
2016-01-17,152
2016-01-18,174
2016-01-19,197
2016-01-20,160
2016-01-21,151
2016-01-22,144
2016-01-23,144
2016-01-24,156
2016-01-25,185
2016-01-26,180
2016-01-27,212
2016-01-28,181
2016-01-29,155
2016-01-30,156
2016-01-31,182
2016-02-01,178
2016-02-02,183
2016-02-03,188
2016-02-04,219
2016-02-05,171
2016-02-06,154
2016-02-07,177
2016-02-08,151
2016-02-09,189
2016-02-10,215
2016-02-11,206
2016-02-12,196
2016-02-13,186
2016-02-14,206
2016-02-15,289
2016-02-16,241
2016-02-17,173
2016-02-18,181
2016-02-19,164
2016-02-20,149
2016-02-21,187
2016-02-22,172
2016-02-23,187
2016-02-24,162
2016-02-25,136
2016-02-26,133
2016-02-27,133
2016-02-28,253
2016-02-29,205
2016-03-01,210
2016-03-02,243
2016-03-03,246
2016-03-04,213
2016-03-05,144
2016-03-06,233
2016-03-07,218
2016-03-08,208
2016-03-09,228
2016-03-10,199
2016-03-11,171
2016-03-12,165
2016-03-13,208
2016-03-14,210
2016-03-15,180
2016-03-16,153
2016-03-17,183
2016-03-18,152
2016-03-19,141
2016-03-20,150
2016-03-21,224
2016-03-22,174
2016-03-23,192
2016-03-24,231
2016-03-25,194
2016-03-26,160
2016-03-27,150
2016-03-28,190
2016-03-29,192
2016-03-30,241
2016-03-31,144
2016-04-01,159
2016-04-02,146
2016-04-03,153
2016-04-04,171
2016-04-05,162
2016-04-06,187
2016-04-07,163
2016-04-08,212
2016-04-09,153
2016-04-10,159
2016-04-11,245
2016-04-12,211
2016-04-13,276
2016-04-14,293
2016-04-15,298
2016-04-16,170
2016-04-17,171
2016-04-18,200
2016-04-19,190
2016-04-20,197
2016-04-21,160
2016-04-22,156
2016-04-23,153
2016-04-24,159
2016-04-25,172
2016-04-26,196
2016-04-27,189
2016-04-28,184
2016-04-29,166
2016-04-30,162
2016-05-01,187
2016-05-02,189
2016-05-03,184
2016-05-04,195
2016-05-05,214
2016-05-06,204
2016-05-07,140
2016-05-08,146
2016-05-09,207
2016-05-10,204
2016-05-11,224
2016-05-12,232
2016-05-13,186
2016-05-14,198
2016-05-15,189
2016-05-16,225
2016-05-17,191
2016-05-18,182
2016-05-19,196
2016-05-20,197
2016-05-21,164
2016-05-22,186
2016-05-23,252
2016-05-24,607
2016-05-25,632
2016-05-26,368
2016-05-27,271
2016-05-28,244
2016-05-29,212
2016-05-30,238
2016-05-31,215
2016-06-01,189
2016-06-02,221
2016-06-03,201
2016-06-04,119
2016-06-05,183
2016-06-06,232
2016-06-07,188
2016-06-08,188
2016-06-09,182
2016-06-10,149
2016-06-11,118
2016-06-12,138
2016-06-13,157
2016-06-14,161
2016-06-15,171
2016-06-16,184
2016-06-17,189
2016-06-18,148
2016-06-19,165
2016-06-20,171
2016-06-21,200
2016-06-22,185
2016-06-23,167
2016-06-24,143
2016-06-25,135
2016-06-26,136
2016-06-27,148
2016-06-28,176
2016-06-29,190
2016-06-30,167
2016-07-01,157
2016-07-02,146
2016-07-03,129
2016-07-04,146
2016-07-05,140
2016-07-06,153
2016-07-07,126
2016-07-08,147
2016-07-09,118
2016-07-10,110
2016-07-11,140
2016-07-12,143
2016-07-13,167
2016-07-14,148
2016-07-15,130
2016-07-16,115
2016-07-17,118
2016-07-18,142
2016-07-19,157
2016-07-20,147
2016-07-21,141
2016-07-22,114
2016-07-23,104
2016-07-24,125
2016-07-25,125
2016-07-26,166
2016-07-27,115
2016-07-28,134
2016-07-29,136
2016-07-30,147
2016-07-31,127
2016-08-01,147
2016-08-02,121
2016-08-03,157
2016-08-04,135
2016-08-05,141
2016-08-06,90
2016-08-07,104
2016-08-08,137
2016-08-09,112
2016-08-10,152
2016-08-11,143
2016-08-12,119
2016-08-13,126
2016-08-14,96
2016-08-15,137
2016-08-16,147
2016-08-17,132
2016-08-18,139
2016-08-19,124
2016-08-20,154
2016-08-21,133
2016-08-22,182
2016-08-23,174
2016-08-24,164
2016-08-25,168
2016-08-26,147
2016-08-27,112
2016-08-28,148
2016-08-29,153
2016-08-30,168
2016-08-31,187
2016-09-01,205
2016-09-02,202
2016-09-03,129
2016-09-04,130
2016-09-05,123
2016-09-06,149
2016-09-07,212
2016-09-08,246
2016-09-09,324
2016-09-10,151
2016-09-11,158
2016-09-12,218
2016-09-13,206
2016-09-14,169
2016-09-15,186
2016-09-16,170
2016-09-17,133
2016-09-18,150
2016-09-19,170
2016-09-20,175
2016-09-21,189
2016-09-22,155
2016-09-23,175
2016-09-24,113
2016-09-25,142
2016-09-26,133
2016-09-27,164
2016-09-28,131
2016-09-29,161
2016-09-30,132
2016-10-01,143
2016-10-02,135
2016-10-03,164
2016-10-04,166
2016-10-05,180
2016-10-06,173
2016-10-07,149
2016-10-08,149
2016-10-09,144
2016-10-10,193
2016-10-11,205
2016-10-12,160
2016-10-13,169
2016-10-14,168
2016-10-15,179
2016-10-16,179
