date,views
2017-10-04,23
2017-10-05,408
2017-10-06,474
2017-10-07,209
2017-10-08,71
2017-10-09,61
2017-10-10,64
2017-10-11,43
2017-10-12,38
2017-10-13,28
2017-10-14,29
2017-10-15,14
2017-10-16,22
2017-10-17,16
2017-10-18,17
2017-10-19,20
2017-10-20,21
2017-10-21,14
2017-10-22,21
2017-10-23,33
2017-10-24,34
2017-10-25,13
2017-10-26,11
2017-10-27,10
2017-10-28,11
2017-10-29,10
2017-10-30,12
2017-10-31,9
2017-11-01,10
2017-11-02,32
2017-11-03,9
2017-11-04,18
2017-11-05,18
2017-11-06,20
2017-11-07,11
2017-11-08,11
2017-11-09,28
2017-11-10,18
2017-11-11,17
2017-11-12,7
2017-11-13,10
2017-11-14,15
2017-11-15,9
2017-11-16,16
2017-11-17,16
2017-11-18,8
2017-11-19,6
2017-11-20,10
2017-11-21,5
2017-11-22,7
2017-11-23,11
2017-11-24,2
2017-11-25,8
2017-11-26,5
2017-11-27,8
2017-11-28,4
2017-11-29,3
2017-11-30,2
2017-12-01,6
2017-12-02,5
2017-12-03,6
2017-12-04,7
2017-12-05,3
2017-12-06,7
2017-12-07,4
2017-12-08,4
2017-12-09,2
2017-12-10,3
2017-12-11,10
2017-12-12,5
2017-12-13,2
2017-12-14,9
2017-12-15,10
2017-12-16,3
2017-12-17,2
2017-12-18,7
2017-12-19,6
2017-12-20,3
2017-12-21,2
2017-12-22,5
2017-12-23,2
2017-12-24,4
2017-12-25,5
2017-12-26,9
2017-12-27,2
2017-12-28,4
2017-12-29,5
2017-12-30,5
2017-12-31,2
2018-01-01,2
2018-01-02,15
2018-01-03,7
2018-01-04,5
2018-01-05,6
2018-01-06,10
2018-01-07,3
2018-01-08,5
2018-01-09,3
2018-01-10,5
2018-01-11,6
2018-01-12,4
2018-01-13,5
2018-01-14,3
2018-01-15,3
2018-01-16,6
2018-01-17,7
2018-01-18,6
2018-01-19,7
2018-01-20,7
2018-01-21,5
2018-01-22,9
2018-01-23,1
2018-01-24,6
2018-01-25,8
2018-01-26,6
2018-01-27,3
2018-01-28,3
2018-01-29,5
2018-01-30,8
2018-01-31,1
2018-02-01,3
2018-02-02,3
2018-02-03,1
2018-02-04,5
2018-02-05,8
2018-02-06,4
2018-02-07,6
2018-02-08,5
2018-02-09,2
2018-02-10,4
2018-02-11,6
2018-02-12,8
2018-02-13,4
2018-02-14,4
2018-02-15,4
2018-02-16,4
2018-02-18,4
2018-02-19,6
2018-02-20,3
2018-02-21,4
2018-02-22,3
2018-02-23,3
2018-02-24,4
2018-02-25,3
2018-02-26,4
2018-02-27,7
2018-02-28,4
2018-03-01,3
2018-03-02,1
2018-03-03,4
2018-03-04,4
2018-03-05,1
2018-03-06,3
2018-03-07,3
2018-03-08,6
2018-03-09,4
2018-03-10,4
2018-03-11,5
2018-03-12,1
2018-03-13,4
2018-03-14,1
2018-03-15,6
2018-03-16,5
2018-03-17,14
2018-03-18,5
2018-03-19,2
2018-03-20,8
2018-03-21,4
2018-03-22,2
2018-03-23,8
2018-03-24,6
2018-03-25,3
2018-03-26,9
2018-03-27,4
2018-03-28,1
2018-03-29,2
2018-03-30,5
2018-03-31,7
2018-04-01,2
2018-04-02,9
2018-04-03,2
2018-04-04,3
2018-04-05,3
2018-04-06,3
2018-04-07,1
2018-04-08,4
2018-04-09,1
2018-04-10,3
2018-04-11,6
2018-04-12,8
2018-04-13,5
2018-04-14,5
2018-04-15,2
2018-04-16,5
2018-04-17,3
2018-04-18,7
2018-04-19,7
2018-04-20,6
2018-04-21,1
2018-04-22,4
2018-04-23,3
2018-04-24,6
2018-04-25,3
2018-04-26,2
2018-04-27,8
2018-04-28,2
2018-04-29,6
2018-04-30,9
2018-05-01,3
2018-05-02,8
2018-05-03,4
2018-05-04,6
2018-05-05,7
2018-05-06,2
2018-05-07,3
2018-05-08,1
2018-05-09,5
2018-05-10,4
2018-05-11,5
2018-05-12,5
2018-05-13,3
2018-05-14,6
2018-05-15,7
2018-05-16,3
2018-05-17,7
2018-05-18,3
2018-05-19,2
2018-05-20,4
2018-05-21,5
2018-05-22,5
2018-05-23,1
2018-05-24,2
2018-05-25,2
2018-05-26,2
2018-05-28,3
2018-05-29,6
2018-05-30,3
2018-05-31,2
2018-06-01,4
2018-06-02,2
2018-06-03,3
2018-06-04,3
2018-06-05,3
2018-06-06,6
2018-06-07,9
2018-06-08,4
2018-06-09,2
2018-06-10,4
2018-06-11,7
2018-06-12,6
2018-06-13,2
2018-06-14,1
2018-06-15,8
2018-06-16,9
2018-06-17,8
2018-06-18,3
2018-06-19,5
2018-06-20,3
2018-06-21,4
2018-06-22,4
2018-06-23,3
2018-06-24,4
2018-06-25,4
2018-06-26,2
2018-06-27,2
2018-06-28,2
2018-06-29,4
2018-06-30,5
2018-07-01,3
2018-07-02,2
2018-07-03,3
2018-07-04,2
2018-07-05,3
2018-07-06,4
2018-07-07,2
2018-07-08,2
2018-07-09,5
2018-07-10,3
2018-07-11,3
2018-07-12,2
2018-07-13,2
2018-07-14,2
2018-07-15,2
2018-07-16,3
2018-07-17,1
2018-07-18,3
2018-07-19,11
2018-07-20,8
2018-07-21,4
2018-07-22,3
2018-07-23,1
2018-07-24,7
2018-07-25,6
2018-07-26,2
2018-07-27,5
2018-07-28,4
2018-07-29,5
2018-07-30,5
2018-07-31,3
2018-08-01,3
2018-08-02,4
2018-08-03,3
2018-08-05,1
2018-08-06,6
2018-08-07,6
2018-08-08,15
2018-08-09,7
2018-08-10,8
2018-08-11,1
2018-08-12,2
2018-08-13,2
2018-08-14,5
2018-08-15,5
2018-08-16,5
2018-08-17,8
2018-08-18,4
2018-08-19,5
2018-08-20,7
2018-08-21,6
2018-08-22,4
2018-08-23,3
2018-08-24,6
2018-08-25,7
2018-08-26,4
2018-08-27,3
2018-08-28,7
2018-08-30,2
2018-08-31,4
2018-09-01,4
2018-09-03,7
2018-09-04,4
2018-09-05,5
2018-09-06,1
2018-09-07,3
2018-09-08,4
2018-09-09,4
2018-09-10,5
2018-09-11,3
2018-09-12,6
2018-09-13,4
2018-09-14,7
2018-09-15,2
2018-09-16,4
2018-09-17,8
2018-09-18,1
2018-09-19,2
2018-09-20,5
2018-09-21,2
2018-09-22,5
2018-09-23,4
2018-09-24,6
2018-09-25,2
2018-09-26,6
2018-09-27,4
2018-09-28,3
2018-09-30,4
2018-10-01,4
2018-10-02,5
2018-10-03,4
2018-10-04,3
2018-10-05,4
2018-10-06,2
2018-10-07,6
2018-10-08,6
2018-10-09,9
2018-10-10,10
2018-10-11,14
2018-10-12,4
2018-10-13,9
2018-10-14,2
2018-10-15,3
2018-10-16,6
2018-10-17,11
2018-10-18,5
2018-10-19,3
2018-10-20,6
2018-10-21,6
2018-10-22,2
2018-10-23,5
2018-10-24,4
2018-10-25,6
2018-10-26,10
2018-10-27,6
2018-10-28,6
2018-10-29,9
2018-10-30,9
2018-10-31,3
2018-11-01,7
2018-11-02,6
2018-11-03,6
2018-11-04,8
2018-11-05,5
2018-11-06,9
2018-11-07,7
2018-11-08,3
2018-11-09,4
2018-11-10,1
2018-11-11,5
2018-11-12,7
2018-11-13,7
2018-11-14,5
2018-11-15,10
2018-11-16,7
2018-11-17,5
2018-11-18,4
2018-11-19,7
2018-11-20,3
2018-11-21,9
2018-11-22,5
2018-11-23,7
2018-11-24,8
2018-11-25,8
2018-11-26,7
2018-11-27,4
2018-11-28,4
2018-11-29,7
2018-11-30,5
2018-12-01,9
2018-12-02,3
2018-12-03,4
2018-12-04,7
2018-12-05,6
2018-12-06,7
2018-12-07,5
2018-12-08,6
2018-12-09,5
2018-12-10,8
2018-12-11,5
2018-12-12,6
2018-12-13,5
2018-12-14,5
2018-12-15,2
2018-12-16,2
2018-12-17,1
2018-12-18,5
2018-12-19,8
2018-12-20,6
2018-12-21,5
2018-12-22,4
2018-12-23,5
2018-12-24,5
2018-12-25,7
2018-12-26,4
2018-12-27,11
2018-12-28,5
2018-12-29,4
2018-12-30,5
