date,views
2015-11-12,3
2015-11-17,2
2015-12-12,1
2015-12-17,1
2016-01-24,1
2016-03-05,1
2016-07-26,1
2016-08-03,78
2016-08-23,1
2017-01-18,1
2017-02-24,1
2017-03-21,6
2017-03-22,16
2017-03-23,17
2017-03-24,28
2017-03-25,23
2017-03-26,32
2017-03-27,21
2017-03-28,22
2017-03-29,18
2017-03-30,21
2017-03-31,16
2017-04-01,16
2017-04-02,20
2017-04-03,25
2017-04-04,22
2017-04-05,23
2017-04-06,31
2017-04-07,22
2017-04-08,24
2017-04-09,20
2017-04-10,27
2017-04-11,26
2017-04-12,15
2017-04-13,22
2017-04-14,23
2017-04-15,19
2017-04-16,21
2017-04-17,20
2017-04-18,22
2017-04-19,19
2017-04-20,48
2017-04-21,28
2017-04-22,19
2017-04-23,8
2017-04-24,12
2017-04-25,23
2017-04-26,15
2017-04-27,19
2017-04-28,27
2017-04-29,26
2017-04-30,18
2017-05-01,44
2017-05-02,33
2017-05-03,41
2017-05-04,30
2017-05-05,36
2017-05-06,18
2017-05-07,17
2017-05-08,27
2017-05-09,27
2017-05-10,29
2017-05-11,22
2017-05-12,22
2017-05-13,22
2017-05-14,28
2017-05-15,16
2017-05-16,23
2017-05-17,28
2017-05-18,24
2017-05-19,24
2017-05-20,26
2017-05-21,19
2017-05-22,25
2017-05-23,11
2017-05-24,19
2017-05-25,11
2017-05-26,12
2017-05-27,38
2017-05-28,30
2017-05-29,21
2017-05-30,23
2017-05-31,37
2017-06-01,20
2017-06-02,19
2017-06-03,23
2017-06-04,48
2017-06-05,29
2017-06-06,34
2017-06-07,25
2017-06-08,14
2017-06-09,31
2017-06-10,14
2017-06-11,48
2017-06-12,71
2017-06-13,50
2017-06-14,52
2017-06-15,26
2017-06-16,15
2017-06-17,22
2017-06-18,21
2017-06-19,22
2017-06-20,24
2017-06-21,33
2017-06-22,29
2017-06-23,21
2017-06-24,32
2017-06-25,28
2017-06-26,48
2017-06-27,29
2017-06-28,36
2017-06-29,28
2017-06-30,21
2017-07-01,16
2017-07-02,19
2017-07-03,34
2017-07-04,32
2017-07-05,28
2017-07-06,299
2017-07-07,64
2017-07-08,62
2017-07-09,206
2017-07-17,2
2017-08-04,1
2017-10-21,1
2017-10-25,15
2017-10-26,206
2017-11-07,1
2017-11-08,1
2018-05-08,1
2018-08-24,2
2018-12-07,20
2018-12-08,54
2018-12-09,59
2018-12-10,42
2018-12-11,64
2018-12-12,63
2018-12-13,44
2018-12-14,37
2018-12-15,34
2018-12-16,38
2018-12-17,56
2018-12-18,57
2018-12-19,46
2018-12-20,67
2018-12-21,44
2018-12-22,40
2018-12-23,48
2018-12-24,52
2018-12-25,44
2018-12-26,55
2018-12-27,74
2018-12-28,67
2018-12-29,50
2018-12-30,53
2018-12-31,44
2019-01-01,72
2019-01-02,91
2019-01-03,71
2019-01-04,60
2019-01-05,55
2019-01-06,56
2019-01-07,49
2019-01-08,65
2019-01-09,69
2019-01-10,54
2019-01-11,48
2019-01-12,47
2019-01-13,49
2019-01-14,55
2019-01-15,41
2019-01-16,43
2019-01-17,47
2019-01-18,40
2019-01-19,39
2019-01-20,60
2019-01-21,61
2019-01-22,82
2019-01-23,59
2019-01-24,58
2019-01-25,69
2019-01-26,37
2019-01-27,48
2019-01-28,45
2019-01-29,53
2019-01-30,52
2019-01-31,78
2019-02-01,74
2019-02-02,80
2019-02-03,73
2019-02-04,61
2019-02-05,77
2019-02-06,65
2019-02-07,60
2019-02-08,61
2019-02-09,47
2019-02-10,72
2019-02-11,75
2019-02-12,66
2019-02-13,56
2019-02-14,50
2019-02-15,49
2019-02-16,46
2019-02-17,51
2019-02-18,59
2019-02-19,52
2019-02-20,68
2019-02-21,65
2019-02-22,78
2019-02-23,51
2019-02-24,61
2019-02-25,114
2019-02-26,47
2019-02-27,43
2019-02-28,55
2019-03-01,55
2019-03-02,45
2019-03-03,50
2019-03-04,49
2019-03-05,90
2019-03-06,49
2019-03-07,40
2019-03-08,41
2019-03-09,40
2019-03-10,45
2019-03-11,59
2019-03-12,61
2019-03-13,69
2019-03-14,35
2019-03-15,49
2019-03-16,38
2019-03-17,32
2019-03-18,54
2019-03-19,59
2019-03-20,51
2019-03-21,29
2019-03-22,24
2019-03-23,39
2019-03-24,42
2019-03-25,53
2019-03-26,101
2019-03-27,45
2019-03-28,49
2019-03-29,32
2019-03-30,35
2019-03-31,52
2019-04-01,44
2019-04-02,43
2019-04-03,55
2019-04-04,44
2019-04-05,53
2019-04-06,42
2019-04-07,44
2019-04-08,52
2019-04-09,44
2019-04-10,48
2019-04-11,47
2019-04-12,59
2019-04-13,48
2019-04-14,45
2019-04-15,56
2019-04-16,607
2019-04-17,1266
2019-04-18,1576
2019-04-19,1126
2019-04-20,536
2019-04-21,473
2019-04-22,488
2019-04-23,401
2019-04-24,365
2019-04-25,309
2019-04-26,312
